Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.077,0.053,0.00,4.00
2,Pursuer,0.500,0.500,0.000,0.132,0.107,0.00,19.00
3,Runner,0.667,0.333,0.000,0.153,0.168,0.00,261.00
4,Runner,0.750,0.250,0.000,0.135,0.145,8.34,487.00
5,Pursuer,0.600,0.400,0.000,0.157,0.158,0.00,827.00
6,Runner,0.667,0.333,0.000,0.000,0.000,0.02,1.00
7,Draw,0.571,0.286,0.143,0.149,0.160,10.52,999.00
8,Draw,0.500,0.250,0.250,0.149,0.154,8.10,999.00
9,Draw,0.444,0.222,0.333,0.152,0.155,3.36,999.00
10,Draw,0.400,0.200,0.400,0.151,0.145,0.00,999.00
11,Draw,0.364,0.182,0.455,0.148,0.145,0.00,999.00
12,Draw,0.333,0.167,0.500,0.153,0.144,0.00,999.00
13,Draw,0.308,0.154,0.538,0.143,0.161,0.00,999.00
14,Draw,0.286,0.143,0.571,0.160,0.151,0.00,999.00
15,Draw,0.267,0.133,0.600,0.146,0.146,0.00,999.00
16,Draw,0.250,0.125,0.625,0.157,0.151,0.00,999.00
17,Draw,0.235,0.118,0.647,0.146,0.138,0.00,999.00
18,Draw,0.222,0.111,0.667,0.159,0.146,0.00,999.00
19,Draw,0.211,0.105,0.684,0.147,0.155,0.00,999.00
20,Draw,0.200,0.100,0.700,0.149,0.157,0.00,999.00
21,Pursuer,0.190,0.143,0.667,0.157,0.151,0.00,307.00
22,Pursuer,0.182,0.182,0.636,0.146,0.148,0.00,611.00
23,Draw,0.174,0.174,0.652,0.144,0.150,1.26,999.00
24,Draw,0.167,0.167,0.667,0.142,0.160,0.08,999.00
25,Runner,0.200,0.160,0.640,0.000,0.000,0.00,0.00
26,Draw,0.192,0.154,0.654,0.144,0.141,0.00,999.00
27,Draw,0.185,0.148,0.667,0.155,0.149,0.00,999.00
