Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Pursuer,0.000,1.000,0.000,0.145,0.149,0.00,748.00
2,Draw,0.000,0.500,0.500,0.153,0.146,0.00,999.00
3,Draw,0.000,0.333,0.667,0.151,0.144,0.00,999.00
4,Draw,0.000,0.250,0.750,0.143,0.164,13.64,999.00
5,Draw,0.000,0.200,0.800,0.158,0.149,0.00,999.00
6,Draw,0.000,0.167,0.833,0.144,0.158,0.00,999.00
7,Draw,0.000,0.143,0.857,0.144,0.148,0.34,999.00
8,Draw,0.000,0.125,0.875,0.151,0.139,0.00,999.00
9,Draw,0.000,0.111,0.889,0.142,0.144,0.00,999.00
10,Draw,0.000,0.100,0.900,0.149,0.145,0.00,999.00
11,Draw,0.000,0.091,0.909,0.153,0.143,0.00,999.00
12,Draw,0.000,0.083,0.917,0.160,0.138,9.94,999.00
13,Draw,0.000,0.077,0.923,0.149,0.147,0.00,999.00
14,Draw,0.000,0.071,0.929,0.160,0.143,0.00,999.00
15,Draw,0.000,0.067,0.933,0.144,0.149,0.00,999.00
16,Draw,0.000,0.063,0.938,0.158,0.147,0.00,999.00
17,Runner,0.059,0.059,0.882,0.000,0.000,0.00,0.00
18,Pursuer,0.056,0.111,0.833,0.331,0.204,0.00,2.00
19,Runner,0.105,0.105,0.789,0.138,0.139,0.00,282.00
20,Pursuer,0.100,0.150,0.750,0.000,0.000,0.00,1.00
21,Runner,0.143,0.143,0.714,0.140,0.149,0.00,638.00
22,Draw,0.136,0.136,0.727,0.154,0.149,0.00,999.00
23,Runner,0.174,0.130,0.696,0.163,0.143,0.00,893.00
24,Draw,0.167,0.125,0.708,0.144,0.146,0.00,999.00
25,Draw,0.160,0.120,0.720,0.150,0.152,0.00,999.00
26,Draw,0.154,0.115,0.731,0.160,0.148,7.90,999.00
27,Draw,0.148,0.111,0.741,0.150,0.150,0.00,999.00
28,Draw,0.143,0.107,0.750,0.147,0.157,0.00,999.00
29,Draw,0.138,0.103,0.759,0.147,0.151,5.40,999.00
30,Draw,0.133,0.100,0.767,0.160,0.153,0.00,999.00
31,Draw,0.129,0.097,0.774,0.149,0.143,0.00,999.00
32,Draw,0.125,0.094,0.781,0.157,0.163,0.00,999.00
33,Draw,0.121,0.091,0.788,0.150,0.147,0.00,999.00
34,Draw,0.118,0.088,0.794,0.152,0.161,0.00,999.00
35,Draw,0.114,0.086,0.800,0.153,0.151,0.00,999.00
36,Draw,0.111,0.083,0.806,0.146,0.153,0.00,999.00
37,Pursuer,0.108,0.108,0.784,0.145,0.158,0.00,372.00
38,Draw,0.105,0.105,0.789,0.146,0.149,0.00,999.00
39,Draw,0.103,0.103,0.795,0.148,0.157,0.00,999.00
40,Pursuer,0.100,0.125,0.775,0.116,0.049,0.00,5.00
41,Draw,0.098,0.122,0.780,0.149,0.147,0.00,999.00
42,Pursuer,0.095,0.143,0.762,0.149,0.149,0.00,354.00
43,Draw,0.093,0.140,0.767,0.140,0.154,14.24,999.00
44,Draw,0.091,0.136,0.773,0.142,0.143,16.50,999.00
45,Draw,0.089,0.133,0.778,0.159,0.149,1.96,999.00
46,Draw,0.087,0.130,0.783,0.148,0.150,12.46,999.00
47,Draw,0.085,0.128,0.787,0.148,0.150,4.24,999.00
48,Draw,0.083,0.125,0.792,0.145,0.148,0.00,999.00
49,Draw,0.082,0.122,0.796,0.153,0.159,0.00,999.00
50,Draw,0.080,0.120,0.800,0.143,0.149,0.00,999.00
51,Draw,0.078,0.118,0.804,0.146,0.150,3.78,999.00
52,Draw,0.077,0.115,0.808,0.143,0.136,18.38,999.00
53,Draw,0.075,0.113,0.811,0.146,0.148,0.00,999.00
54,Runner,0.093,0.111,0.796,0.000,0.000,0.00,0.00
55,Draw,0.091,0.109,0.800,0.144,0.150,18.70,999.00
56,Draw,0.089,0.107,0.804,0.157,0.161,0.00,999.00
57,Pursuer,0.088,0.123,0.789,0.154,0.157,0.00,765.00
58,Draw,0.086,0.121,0.793,0.143,0.151,0.00,999.00
59,Pursuer,0.085,0.136,0.780,0.140,0.145,0.00,815.00
60,Pursuer,0.083,0.150,0.767,0.149,0.119,0.00,183.00
61,Pursuer,0.082,0.164,0.754,0.149,0.149,0.00,948.00
62,Draw,0.081,0.161,0.758,0.166,0.142,0.00,999.00
63,Draw,0.079,0.159,0.762,0.160,0.141,0.00,999.00
64,Draw,0.078,0.156,0.766,0.151,0.152,0.00,999.00
65,Draw,0.077,0.154,0.769,0.152,0.147,0.00,999.00
66,Draw,0.076,0.152,0.773,0.157,0.157,0.00,999.00
67,Draw,0.075,0.149,0.776,0.150,0.140,4.14,999.00
68,Draw,0.074,0.147,0.779,0.152,0.158,0.00,999.00
69,Draw,0.072,0.145,0.783,0.158,0.142,0.00,999.00
70,Draw,0.071,0.143,0.786,0.147,0.154,0.00,999.00
71,Draw,0.070,0.141,0.789,0.148,0.163,0.10,999.00
72,Pursuer,0.069,0.153,0.778,0.192,0.175,0.00,80.00
73,Draw,0.068,0.151,0.781,0.156,0.160,0.00,999.00
74,Draw,0.068,0.149,0.784,0.151,0.148,0.00,999.00
75,Pursuer,0.067,0.160,0.773,0.141,0.137,0.00,216.00
76,Draw,0.066,0.158,0.776,0.159,0.139,17.74,999.00
77,Pursuer,0.065,0.169,0.766,0.142,0.148,0.00,731.00
78,Draw,0.064,0.167,0.769,0.147,0.149,0.00,999.00
79,Draw,0.063,0.165,0.772,0.143,0.161,0.00,999.00
80,Runner,0.075,0.163,0.763,0.196,0.112,0.00,30.00
81,Draw,0.074,0.160,0.765,0.158,0.142,0.00,999.00
82,Draw,0.073,0.159,0.768,0.155,0.144,0.00,999.00
83,Draw,0.072,0.157,0.771,0.158,0.153,0.00,999.00
84,Draw,0.071,0.155,0.774,0.149,0.132,0.00,999.00
85,Draw,0.071,0.153,0.776,0.140,0.151,0.00,999.00
86,Draw,0.070,0.151,0.779,0.151,0.148,0.00,999.00
87,Draw,0.069,0.149,0.782,0.146,0.153,11.34,999.00
88,Draw,0.068,0.148,0.784,0.151,0.152,0.00,999.00
89,Draw,0.067,0.146,0.787,0.149,0.152,0.00,999.00
90,Draw,0.067,0.144,0.789,0.146,0.166,8.56,999.00
91,Runner,0.077,0.143,0.780,0.364,0.601,0.00,2.00
92,Pursuer,0.076,0.152,0.772,0.206,0.171,0.00,12.00
93,Pursuer,0.075,0.161,0.763,0.155,0.145,0.00,230.00
94,Draw,0.074,0.160,0.766,0.134,0.160,0.00,999.00
95,Runner,0.084,0.158,0.758,0.135,0.188,2.42,135.00
96,Draw,0.083,0.156,0.760,0.148,0.153,0.00,999.00
97,Draw,0.082,0.155,0.763,0.162,0.144,0.00,999.00
98,Draw,0.082,0.153,0.765,0.152,0.151,3.18,999.00
99,Draw,0.081,0.152,0.768,0.152,0.160,9.20,999.00
100,Draw,0.080,0.150,0.770,0.152,0.155,0.00,999.00
101,Draw,0.079,0.149,0.772,0.161,0.143,0.00,999.00
102,Draw,0.078,0.147,0.775,0.144,0.149,0.00,999.00
103,Draw,0.078,0.146,0.777,0.148,0.146,0.00,999.00
104,Draw,0.077,0.144,0.779,0.152,0.140,0.00,999.00
105,Draw,0.076,0.143,0.781,0.153,0.152,0.00,999.00
106,Draw,0.075,0.142,0.783,0.139,0.147,0.00,999.00
107,Draw,0.075,0.140,0.785,0.145,0.139,4.84,999.00
108,Draw,0.074,0.139,0.787,0.143,0.157,0.00,999.00
109,Draw,0.073,0.138,0.789,0.151,0.143,4.88,999.00
110,Pursuer,0.073,0.145,0.782,0.180,0.103,0.00,12.00
111,Draw,0.072,0.144,0.784,0.154,0.155,0.00,999.00
112,Draw,0.071,0.143,0.786,0.149,0.151,0.00,999.00
113,Pursuer,0.071,0.150,0.779,0.135,0.139,0.00,418.00
114,Draw,0.070,0.149,0.781,0.141,0.151,0.00,999.00
115,Runner,0.078,0.148,0.774,0.150,0.165,0.12,663.00
116,Draw,0.078,0.147,0.776,0.155,0.153,19.98,999.00
117,Pursuer,0.077,0.154,0.769,0.141,0.146,0.00,773.00
118,Draw,0.076,0.153,0.771,0.164,0.156,3.52,999.00
119,Draw,0.076,0.151,0.773,0.163,0.166,0.00,999.00
120,Draw,0.075,0.150,0.775,0.145,0.160,0.00,999.00
121,Draw,0.074,0.149,0.777,0.148,0.144,2.16,999.00
122,Draw,0.074,0.148,0.779,0.148,0.159,0.00,999.00
123,Draw,0.073,0.146,0.780,0.155,0.144,0.00,999.00
124,Draw,0.073,0.145,0.782,0.141,0.150,0.00,999.00
125,Draw,0.072,0.144,0.784,0.154,0.164,0.00,999.00
126,Draw,0.071,0.143,0.786,0.164,0.151,2.58,999.00
127,Pursuer,0.071,0.150,0.780,0.167,0.233,0.00,2.00
128,Pursuer,0.070,0.156,0.773,0.162,0.146,0.00,483.00
129,Draw,0.070,0.155,0.775,0.157,0.149,14.74,999.00
130,Draw,0.069,0.154,0.777,0.151,0.156,1.14,999.00
131,Draw,0.069,0.153,0.779,0.156,0.138,0.00,999.00
132,Pursuer,0.068,0.159,0.773,0.163,0.148,0.00,720.00
133,Runner,0.075,0.158,0.767,0.169,0.136,0.00,155.00
134,Draw,0.075,0.157,0.769,0.154,0.140,0.00,999.00
135,Runner,0.081,0.156,0.763,0.170,0.171,0.00,158.00
136,Pursuer,0.081,0.162,0.757,0.144,0.154,0.00,747.00
137,Pursuer,0.080,0.168,0.752,0.123,0.208,0.00,15.00
138,Pursuer,0.080,0.174,0.746,0.217,0.087,0.00,7.00
139,Draw,0.079,0.173,0.748,0.142,0.148,6.36,999.00
140,Draw,0.079,0.171,0.750,0.153,0.150,0.52,999.00
141,Draw,0.078,0.170,0.752,0.161,0.148,0.00,999.00
142,Draw,0.077,0.169,0.754,0.150,0.148,1.96,999.00
143,Draw,0.077,0.168,0.755,0.164,0.158,3.54,999.00
144,Draw,0.076,0.167,0.757,0.150,0.156,2.32,999.00
145,Draw,0.076,0.166,0.759,0.150,0.150,0.00,999.00
146,Draw,0.075,0.164,0.760,0.152,0.140,0.00,999.00
147,Pursuer,0.075,0.170,0.755,0.106,0.030,0.00,6.00
148,Draw,0.074,0.169,0.757,0.165,0.143,12.56,999.00
149,Draw,0.074,0.168,0.758,0.151,0.141,0.00,999.00
150,Draw,0.073,0.167,0.760,0.142,0.151,0.00,999.00
151,Runner,0.079,0.166,0.755,0.137,0.152,0.00,306.00
152,Pursuer,0.079,0.171,0.750,0.136,0.142,0.00,206.00
153,Pursuer,0.078,0.176,0.745,0.154,0.136,0.00,587.00
154,Draw,0.078,0.175,0.747,0.155,0.148,13.84,999.00
155,Pursuer,0.077,0.181,0.742,0.172,0.115,0.00,21.00
156,Draw,0.077,0.179,0.744,0.150,0.144,9.20,999.00
157,Runner,0.083,0.178,0.739,0.153,0.149,0.00,597.00
158,Pursuer,0.082,0.184,0.734,0.138,0.156,0.00,618.00
159,Draw,0.082,0.182,0.736,0.146,0.142,0.00,999.00
160,Draw,0.081,0.181,0.738,0.155,0.149,10.86,999.00
161,Pursuer,0.081,0.186,0.733,0.133,0.126,0.00,297.00
162,Draw,0.080,0.185,0.735,0.163,0.139,11.34,999.00
163,Draw,0.080,0.184,0.736,0.157,0.160,0.00,999.00
164,Runner,0.085,0.183,0.732,0.124,0.125,0.76,39.00
165,Draw,0.085,0.182,0.733,0.157,0.151,0.00,999.00
166,Draw,0.084,0.181,0.735,0.160,0.141,6.70,999.00
167,Draw,0.084,0.180,0.737,0.149,0.148,16.42,999.00
168,Pursuer,0.083,0.185,0.732,0.079,0.140,0.00,12.00
169,Draw,0.083,0.183,0.734,0.144,0.146,4.92,999.00
170,Draw,0.082,0.182,0.735,0.151,0.135,12.54,999.00
171,Runner,0.088,0.181,0.731,0.154,0.080,0.00,30.00
172,Draw,0.087,0.180,0.733,0.146,0.155,4.72,999.00
173,Pursuer,0.087,0.185,0.728,0.158,0.166,0.00,615.00
174,Draw,0.086,0.184,0.730,0.155,0.153,5.86,999.00
175,Draw,0.086,0.183,0.731,0.151,0.161,10.52,999.00
176,Draw,0.085,0.182,0.733,0.146,0.154,0.86,999.00
177,Runner,0.090,0.181,0.729,0.154,0.148,0.00,833.00
178,Draw,0.090,0.180,0.730,0.147,0.160,0.00,999.00
179,Draw,0.089,0.179,0.732,0.152,0.147,1.56,999.00
180,Runner,0.094,0.178,0.728,0.061,0.056,0.10,5.00
181,Runner,0.099,0.177,0.724,0.144,0.187,0.34,17.00
182,Pursuer,0.099,0.181,0.720,0.158,0.150,0.00,427.00
183,Pursuer,0.098,0.186,0.716,0.088,0.249,0.00,12.00
184,Pursuer,0.098,0.190,0.712,0.149,0.168,0.00,333.00
185,Draw,0.097,0.189,0.714,0.146,0.139,0.00,999.00
186,Draw,0.097,0.188,0.715,0.159,0.154,0.00,999.00
187,Pursuer,0.096,0.193,0.711,0.123,0.080,0.00,109.00
188,Draw,0.096,0.191,0.713,0.159,0.144,0.00,999.00
189,Pursuer,0.095,0.196,0.709,0.000,0.000,0.00,1.00
190,Draw,0.095,0.195,0.711,0.154,0.158,9.80,999.00
191,Draw,0.094,0.194,0.712,0.152,0.149,0.00,999.00
192,Draw,0.094,0.193,0.714,0.145,0.140,3.94,999.00
193,Draw,0.093,0.192,0.715,0.159,0.156,0.00,999.00
194,Draw,0.093,0.191,0.716,0.153,0.147,0.00,999.00
195,Runner,0.097,0.190,0.713,0.000,0.000,0.00,0.00
196,Draw,0.097,0.189,0.714,0.154,0.146,0.00,999.00
197,Pursuer,0.096,0.193,0.711,0.156,0.161,0.00,549.00
198,Draw,0.096,0.192,0.712,0.151,0.154,11.58,999.00
199,Runner,0.101,0.191,0.709,0.000,0.000,0.00,0.00
200,Pursuer,0.100,0.195,0.705,0.128,0.152,0.00,469.00
201,Runner,0.104,0.194,0.701,0.137,0.161,0.00,257.00
202,Pursuer,0.104,0.198,0.698,0.133,0.155,0.00,252.00
203,Pursuer,0.103,0.202,0.695,0.145,0.152,0.00,790.00
204,Pursuer,0.103,0.206,0.691,0.143,0.158,0.00,798.00
205,Draw,0.102,0.205,0.693,0.147,0.148,0.00,999.00
206,Pursuer,0.102,0.209,0.689,0.149,0.145,0.00,754.00
207,Draw,0.101,0.208,0.691,0.153,0.163,0.00,999.00
208,Draw,0.101,0.207,0.692,0.151,0.148,9.40,999.00
