Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.189,0.135,0.00,109.00
2,Draw,0.500,0.000,0.500,0.156,0.155,0.00,999.00
3,Draw,0.333,0.000,0.667,0.156,0.135,0.00,999.00
4,Draw,0.250,0.000,0.750,0.138,0.144,0.00,999.00
5,Draw,0.200,0.000,0.800,0.148,0.167,0.00,999.00
6,Draw,0.167,0.000,0.833,0.153,0.146,7.20,999.00
7,Draw,0.143,0.000,0.857,0.158,0.154,0.00,999.00
8,Draw,0.125,0.000,0.875,0.163,0.146,0.00,999.00
9,Draw,0.111,0.000,0.889,0.156,0.142,0.00,999.00
10,Draw,0.100,0.000,0.900,0.149,0.154,0.00,999.00
11,Draw,0.091,0.000,0.909,0.157,0.158,17.58,999.00
12,Draw,0.083,0.000,0.917,0.145,0.156,0.00,999.00
13,Draw,0.077,0.000,0.923,0.154,0.136,0.00,999.00
14,Draw,0.071,0.000,0.929,0.152,0.152,0.00,999.00
15,Draw,0.067,0.000,0.933,0.147,0.155,0.00,999.00
16,Draw,0.063,0.000,0.938,0.162,0.135,0.00,999.00
17,Draw,0.059,0.000,0.941,0.144,0.152,0.00,999.00
18,Runner,0.111,0.000,0.889,0.140,0.150,0.00,992.00
19,Draw,0.105,0.000,0.895,0.145,0.148,0.00,999.00
20,Draw,0.100,0.000,0.900,0.154,0.150,8.70,999.00
21,Draw,0.095,0.000,0.905,0.151,0.147,0.00,999.00
22,Draw,0.091,0.000,0.909,0.150,0.148,0.00,999.00
23,Draw,0.087,0.000,0.913,0.151,0.157,0.00,999.00
24,Draw,0.083,0.000,0.917,0.153,0.156,0.00,999.00
25,Draw,0.080,0.000,0.920,0.152,0.144,0.00,999.00
26,Draw,0.077,0.000,0.923,0.153,0.155,0.00,999.00
27,Draw,0.074,0.000,0.926,0.136,0.147,0.00,999.00
28,Draw,0.071,0.000,0.929,0.161,0.150,7.34,999.00
29,Draw,0.069,0.000,0.931,0.155,0.137,0.00,999.00
30,Draw,0.067,0.000,0.933,0.157,0.144,0.00,999.00
31,Draw,0.065,0.000,0.935,0.143,0.144,0.00,999.00
32,Draw,0.063,0.000,0.938,0.150,0.150,0.00,999.00
33,Runner,0.091,0.000,0.909,0.226,0.142,0.00,3.00
34,Draw,0.088,0.000,0.912,0.153,0.146,11.02,999.00
35,Pursuer,0.086,0.029,0.886,0.048,0.054,0.00,5.00
36,Runner,0.111,0.028,0.861,0.160,0.155,0.00,741.00
37,Draw,0.108,0.027,0.865,0.148,0.147,4.82,999.00
38,Draw,0.105,0.026,0.868,0.147,0.155,0.00,999.00
39,Draw,0.103,0.026,0.872,0.158,0.146,0.00,999.00
40,Draw,0.100,0.025,0.875,0.141,0.159,0.00,999.00
41,Draw,0.098,0.024,0.878,0.141,0.156,0.12,999.00
42,Draw,0.095,0.024,0.881,0.152,0.142,0.00,999.00
43,Draw,0.093,0.023,0.884,0.152,0.139,0.00,999.00
44,Draw,0.091,0.023,0.886,0.145,0.144,13.84,999.00
45,Draw,0.089,0.022,0.889,0.152,0.144,0.00,999.00
46,Draw,0.087,0.022,0.891,0.139,0.162,0.00,999.00
47,Draw,0.085,0.021,0.894,0.140,0.140,0.00,999.00
48,Draw,0.083,0.021,0.896,0.142,0.144,0.00,999.00
49,Draw,0.082,0.020,0.898,0.149,0.145,0.00,999.00
50,Pursuer,0.080,0.040,0.880,0.000,0.000,0.00,0.00
51,Draw,0.078,0.039,0.882,0.149,0.155,0.00,999.00
52,Pursuer,0.077,0.058,0.865,0.047,0.029,0.00,7.00
53,Draw,0.075,0.057,0.868,0.154,0.143,0.00,999.00
54,Draw,0.074,0.056,0.870,0.151,0.161,1.80,999.00
55,Pursuer,0.073,0.073,0.855,0.158,0.149,0.00,876.00
