Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.06,0.1,0.84,0.1396152,0.140584,1.906816,879.04
200,0.16,0.19,0.65,0.1345947,0.1386809,2.486816,756.15
300,0.17,0.22,0.61,0.1442967,0.1452567,2.026212,771.25
400,0.21,0.29,0.5,0.1397602,0.1430177,2.696218,692.59
500,0.26,0.43,0.31,0.1427945,0.1558108,3.112619,602.01
600,0.26,0.46,0.28,0.141148,0.147994,2.543817,572.63
700,0.39,0.36,0.25,0.1444128,0.1477663,2.323812,503.62
800,0.33,0.41,0.26,0.1369053,0.1390976,2.242014,492.31
900,0.39,0.42,0.19,0.146651,0.1446963,2.683017,488.86
1000,0.43,0.42,0.15,0.1340827,0.1384636,2.018409,395.44
1100,0.39,0.42,0.19,0.1556396,0.1479498,2.317816,443.7
1200,0.47,0.39,0.14,0.1403802,0.1390219,1.175603,398.56
1300,0.37,0.52,0.11,0.1494561,0.1437683,1.591809,365.13
1400,0.47,0.4,0.13,0.1416543,0.1409261,1.886007,387.63
1500,0.42,0.46,0.12,0.1383084,0.1369218,1.939209,379.49
1600,0.56,0.36,0.08,0.1436717,0.1429433,1.718206,379.2
1700,0.49,0.39,0.12,0.1397151,0.1385232,1.843607,366.64
1800,0.54,0.38,0.08,0.1448817,0.1421881,1.834809,344.1
1900,0.49,0.41,0.1,0.1382186,0.1373623,1.467206,366.01
2000,0.41,0.54,0.05,0.1481846,0.1497174,1.058602,319.46
2100,0.37,0.55,0.08,0.1358233,0.1385299,1.095404,349.02
2200,0.49,0.41,0.1,0.1428,0.1446622,2.207016,351.69
2300,0.42,0.54,0.04,0.134883,0.1370237,1.089404,319.9
2400,0.48,0.44,0.08,0.1331298,0.1401301,1.564406,358.8
2500,0.48,0.46,0.06,0.1394443,0.1436538,0.7514016,311.72
2600,0.47,0.46,0.07,0.137831,0.1345032,1.822809,307
2700,0.43,0.5,0.07,0.1445057,0.1430715,1.47761,317.32
2800,0.54,0.36,0.1,0.1609102,0.1506876,1.617805,306.26
2900,0.39,0.58,0.03,0.141227,0.1411442,0.9732026,252.7
3000,0.46,0.49,0.05,0.1352904,0.1392724,1.277403,300.86
3100,0.44,0.48,0.08,0.1332906,0.1355667,0.9580038,300.63
3200,0.6,0.35,0.05,0.1391109,0.1410988,1.272007,300.6
3300,0.53,0.43,0.04,0.1363452,0.1375591,1.279209,241.74
3400,0.49,0.49,0.02,0.1410387,0.1396599,1.171004,250.8
3500,0.55,0.39,0.06,0.1406566,0.1454595,1.659408,281.81
3600,0.47,0.47,0.06,0.1425363,0.1471382,0.9604021,271.59
3700,0.48,0.5,0.02,0.144162,0.1411267,0.9372009,269.35
3800,0.54,0.4,0.06,0.1372585,0.1393915,1.561005,257.97
3900,0.5,0.41,0.09,0.1359179,0.1360705,2.028212,300.19
4000,0.45,0.47,0.08,0.1306652,0.1343909,1.63961,281.38
4100,0.58,0.39,0.03,0.1350021,0.1403553,1.280203,263.21
4200,0.53,0.41,0.06,0.1463041,0.146987,1.542409,249.45
4300,0.44,0.53,0.03,0.1438195,0.148967,1.079001,268.31
4400,0.5,0.47,0.03,0.1377661,0.1368548,1.008405,253.89
4500,0.5,0.45,0.05,0.1302216,0.1259882,1.201005,258.58
4600,0.38,0.58,0.04,0.1369725,0.1390368,1.089008,218.91
4700,0.59,0.4,0.01,0.1271035,0.1351224,1.205402,225.9
4800,0.47,0.46,0.07,0.1326347,0.1367491,1.830812,277.41
