Episode,RunnerAcc,PursuerAcc
100,0.07,0.21
200,0.08,0.21
300,0.19,0.3
400,0.27,0.42
500,0.24,0.46
600,0.19,0.5
700,0.21,0.54
800,0.26,0.44
900,0.25,0.53
1000,0.31,0.42
1100,0.29,0.48
1200,0.36,0.48
1300,0.28,0.63
1400,0.23,0.63
1500,0.41,0.49
1600,0.42,0.53
1700,0.36,0.54
1800,0.37,0.49
1900,0.41,0.52
2000,0.39,0.52
2100,0.46,0.5
2200,0.4,0.56
2300,0.54,0.4
2400,0.55,0.4
2500,0.36,0.53
2600,0.47,0.5
2700,0.52,0.46
2800,0.51,0.41
2900,0.52,0.44
3000,0.38,0.6
3100,0.46,0.48
3200,0.46,0.5
3300,0.41,0.53
3400,0.55,0.43
3500,0.42,0.53
3600,0.51,0.47
3700,0.45,0.46
3800,0.55,0.39
3900,0.54,0.42
4000,0.4,0.49
4100,0.49,0.45
4200,0.38,0.57
4300,0.53,0.41
4400,0.46,0.51
4500,0.37,0.61
4600,0.48,0.46
4700,0.4,0.54
4800,0.44,0.53
4900,0.49,0.45
5000,0.5,0.46
5100,0.47,0.47
5200,0.49,0.46
5300,0.45,0.49
5400,0.42,0.54
5500,0.5,0.47
5600,0.43,0.55
5700,0.59,0.36
5800,0.47,0.5
5900,0.56,0.4
6000,0.48,0.51
6100,0.48,0.5
6200,0.48,0.48
6300,0.48,0.46
6400,0.49,0.46
6500,0.43,0.54
6600,0.54,0.42
6700,0.43,0.53
6800,0.5,0.43
6900,0.45,0.52
7000,0.48,0.48
7100,0.5,0.47
7200,0.55,0.41
7300,0.48,0.51
7400,0.46,0.5
7500,0.5,0.46
7600,0.61,0.38
7700,0.56,0.41
7800,0.45,0.53
7900,0.45,0.53
8000,0.45,0.54
8100,0.37,0.6
