Episode,RunnerAcc,PursuerAcc
100,0.1,0.12
200,0.04,0.23
300,0.14,0.26
400,0.23,0.32
500,0.29,0.45
600,0.3,0.42
700,0.24,0.44
800,0.31,0.49
900,0.34,0.42
1000,0.42,0.46
1100,0.45,0.49
1200,0.38,0.49
1300,0.36,0.52
1400,0.46,0.46
1500,0.44,0.51
1600,0.46,0.47
1700,0.46,0.47
1800,0.36,0.52
1900,0.5,0.39
2000,0.51,0.41
2100,0.48,0.42
2200,0.49,0.47
2300,0.41,0.54
2400,0.53,0.4
2500,0.43,0.51
2600,0.48,0.48
2700,0.54,0.37
2800,0.43,0.51
2900,0.48,0.45
3000,0.44,0.49
3100,0.51,0.45
3200,0.42,0.5
3300,0.43,0.5
3400,0.44,0.47
3500,0.47,0.51
3600,0.42,0.51
3700,0.46,0.47
3800,0.48,0.45
3900,0.44,0.52
4000,0.43,0.53
4100,0.46,0.49
4200,0.47,0.5
4300,0.57,0.42
4400,0.49,0.48
4500,0.46,0.52
4600,0.49,0.48
4700,0.42,0.54
4800,0.47,0.48
4900,0.46,0.49
5000,0.53,0.41
5100,0.55,0.42
5200,0.42,0.56
5300,0.47,0.5
5400,0.54,0.45
5500,0.63,0.3
5600,0.47,0.46
5700,0.46,0.5
5800,0.45,0.48
5900,0.42,0.54
6000,0.38,0.6
6100,0.42,0.53
6200,0.48,0.44
6300,0.45,0.53
6400,0.45,0.53
6500,0.44,0.52
6600,0.57,0.41
6700,0.46,0.51
6800,0.52,0.45
6900,0.48,0.48
7000,0.5,0.46
7100,0.51,0.43
7200,0.48,0.5
7300,0.49,0.46
7400,0.54,0.44
7500,0.42,0.52
7600,0.46,0.49
7700,0.49,0.49
7800,0.51,0.48
7900,0.43,0.51
8000,0.44,0.51
8100,0.48,0.45
8200,0.44,0.54
8300,0.46,0.47
8400,0.48,0.47
8500,0.5,0.46
8600,0.42,0.53
8700,0.5,0.41
8800,0.54,0.4
8900,0.61,0.33
9000,0.47,0.47
9100,0.48,0.45
9200,0.51,0.45
9300,0.57,0.36
9400,0.51,0.42
9500,0.49,0.47
9600,0.54,0.44
9700,0.46,0.49
9800,0.46,0.48
9900,0.5,0.46
10000,0.48,0.49
10100,0.44,0.52
10200,0.53,0.45
10300,0.57,0.39
10400,0.51,0.48
10500,0.58,0.35
10600,0.49,0.46
10700,0.5,0.4
10800,0.52,0.44
10900,0.54,0.41
11000,0.53,0.41
11100,0.4,0.53
11200,0.48,0.48
11300,0.51,0.45
11400,0.59,0.39
11500,0.49,0.44
11600,0.46,0.52
11700,0.49,0.48
11800,0.56,0.37
11900,0.46,0.45
12000,0.5,0.44
12100,0.51,0.43
12200,0.56,0.42
12300,0.52,0.4
12400,0.55,0.39
12500,0.56,0.4
12600,0.48,0.48
12700,0.53,0.43
12800,0.5,0.45
12900,0.53,0.41
13000,0.62,0.32
13100,0.56,0.42
13200,0.53,0.41
13300,0.49,0.44
13400,0.48,0.45
13500,0.5,0.42
13600,0.55,0.42
13700,0.48,0.48
13800,0.49,0.47
13900,0.51,0.36
14000,0.55,0.38
14100,0.59,0.39
14200,0.55,0.41
14300,0.54,0.38
14400,0.53,0.45
14500,0.56,0.38
14600,0.58,0.4
14700,0.62,0.32
14800,0.55,0.4
14900,0.58,0.36
15000,0.53,0.42
15100,0.62,0.35
15200,0.45,0.49
15300,0.55,0.41
15400,0.58,0.37
15500,0.55,0.33
15600,0.7,0.27
15700,0.57,0.39
15800,0.53,0.44
15900,0.48,0.45
16000,0.53,0.46
16100,0.54,0.45
16200,0.63,0.34
16300,0.55,0.42
16400,0.51,0.4
16500,0.54,0.41
16600,0.63,0.34
16700,0.54,0.44
16800,0.54,0.41
16900,0.57,0.38
17000,0.58,0.36
17100,0.6,0.34
17200,0.54,0.41
17300,0.46,0.5
17400,0.55,0.4
17500,0.57,0.37
17600,0.44,0.52
17700,0.5,0.43
17800,0.51,0.43
17900,0.6,0.36
18000,0.56,0.37
18100,0.59,0.35
18200,0.53,0.4
18300,0.56,0.42
18400,0.43,0.52
18500,0.64,0.33
18600,0.53,0.42
18700,0.61,0.33
18800,0.59,0.36
18900,0.55,0.39
19000,0.57,0.36
19100,0.52,0.42
19200,0.54,0.4
19300,0.6,0.33
19400,0.55,0.37
19500,0.42,0.5
19600,0.64,0.33
19700,0.47,0.5
19800,0.55,0.41
19900,0.57,0.38
20000,0.68,0.3
20100,0.62,0.32
20200,0.52,0.44
20300,0.48,0.46
20400,0.51,0.42
