Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
8800,0.42,0.5,0.08,0.1306203,0.1495361,1.579813,247.4
8900,0.43,0.53,0.04,0.1349762,0.1303253,1.154408,177.4
9000,0.53,0.43,0.04,0.1286125,0.1257245,1.056204,200.55
9100,0.43,0.54,0.03,0.1344972,0.135634,0.6700015,200.86
9200,0.43,0.53,0.04,0.1456227,0.1440199,1.095207,225.4
9300,0.42,0.54,0.04,0.1340025,0.1320002,1.154607,206.24
9400,0.48,0.48,0.04,0.1245963,0.1200527,1.077208,206.43
9500,0.4,0.58,0.02,0.1262925,0.1261991,0.7242015,187.12
9600,0.48,0.47,0.05,0.128595,0.1252659,1.085806,220.2
9700,0.37,0.57,0.06,0.1326693,0.1315497,1.48421,241.75
9800,0.46,0.54,0,0.1312772,0.1315048,0.3519997,174.78
9900,0.42,0.5,0.08,0.1241504,0.1245966,1.819615,271.84
10000,0.41,0.55,0.04,0.1264452,0.1239645,0.8354026,214.7
10100,0.42,0.56,0.02,0.1235792,0.1191564,0.4926021,202.08
10200,0.46,0.51,0.03,0.1165341,0.1205095,0.8312045,216.56
10300,0.43,0.55,0.02,0.1282263,0.1243408,0.5078014,184.86
10400,0.45,0.52,0.03,0.1281113,0.1314758,1.025206,196.68
10500,0.44,0.55,0.01,0.1236903,0.1284987,0.6550023,178.15
10600,0.39,0.58,0.03,0.1137,0.1224865,0.8002042,208.73
10700,0.4,0.57,0.03,0.1195718,0.1208141,0.8630052,198.42
10800,0.38,0.58,0.04,0.1299326,0.1278773,1.037408,208.41
10900,0.48,0.51,0.01,0.1180006,0.1221839,0.4704017,161.31
11000,0.47,0.5,0.03,0.1187782,0.1222994,1.032405,195.26
11100,0.47,0.46,0.07,0.1192868,0.1203867,1.51501,244.13
11200,0.41,0.57,0.02,0.1248803,0.1243396,0.5750024,180.14
11300,0.37,0.58,0.05,0.1186461,0.1325366,1.030409,191.7
11400,0.37,0.58,0.05,0.1155803,0.1147724,1.028807,215.15
11500,0.49,0.49,0.02,0.1186574,0.1117121,0.8442042,193.69
11600,0.43,0.54,0.03,0.1199859,0.1195623,0.9068056,178.23
11700,0.38,0.6,0.02,0.1186034,0.1190613,0.7820051,181.12
11800,0.38,0.58,0.04,0.1153092,0.1177214,1.007006,196.07
11900,0.4,0.55,0.05,0.1210183,0.1229832,1.241408,193.97
12000,0.5,0.48,0.02,0.1213369,0.1329394,0.8940046,179.36
12100,0.4,0.58,0.02,0.118497,0.1180894,0.7364044,150.81
12200,0.39,0.58,0.03,0.1235118,0.1414828,0.764604,184.41
12300,0.47,0.48,0.05,0.1285762,0.1315141,1.073406,195.44
12400,0.4,0.6,0,0.1242239,0.13046,0.4673996,178.23
12500,0.36,0.61,0.03,0.1233953,0.1167367,0.8048059,182.4
12600,0.42,0.56,0.02,0.1198983,0.1194405,0.6400037,194.98
12700,0.42,0.55,0.03,0.1109069,0.1124791,0.8426061,179.14
12800,0.38,0.55,0.07,0.1118835,0.1176997,1.324613,214.89
12900,0.41,0.57,0.02,0.1211097,0.1143216,0.704404,156.6
13000,0.4,0.58,0.02,0.1157956,0.1111185,0.5000005,175.31
13100,0.45,0.52,0.03,0.1118498,0.1082334,0.8060035,171.86
13200,0.46,0.5,0.04,0.1193945,0.1154096,0.9300074,186.78
13300,0.45,0.53,0.02,0.1101113,0.1104485,0.7356035,183.78
13400,0.43,0.5,0.07,0.1097064,0.1100212,1.450813,214.01
13500,0.51,0.46,0.03,0.1155499,0.1188123,0.9882055,175.61
13600,0.44,0.54,0.02,0.117097,0.1156385,0.7336034,158.16
13700,0.45,0.52,0.03,0.1224441,0.122339,1.100806,171.9
13800,0.53,0.47,0,0.1135463,0.1157616,0.5609995,157.86
13900,0.48,0.46,0.06,0.1129748,0.1234393,1.36201,214.12
14000,0.47,0.49,0.04,0.1176926,0.1291349,1.107209,191.49
14100,0.38,0.55,0.07,0.1155251,0.1193375,1.604215,204.67
14200,0.36,0.62,0.02,0.1116405,0.1125413,0.6466038,169.29
14300,0.5,0.43,0.07,0.1176685,0.1126261,1.585815,211.73
14400,0.37,0.57,0.06,0.1132047,0.1145111,0.9818068,183.15
14500,0.48,0.52,0,0.1195502,0.1167918,0.3389997,161.33
14600,0.44,0.55,0.01,0.1119598,0.1125636,0.5058017,156.68
14700,0.38,0.6,0.02,0.1172164,0.1174173,0.6332039,163.46
14800,0.44,0.5,0.06,0.12123,0.1195625,1.324611,199.11
14900,0.45,0.52,0.03,0.1180115,0.1108825,1.015607,169.31
15000,0.46,0.53,0.01,0.112686,0.108777,0.6136023,150.73
15100,0.41,0.58,0.01,0.1115811,0.1108646,0.5310021,178.6
15200,0.46,0.52,0.02,0.1193638,0.1183447,0.8790038,162.59
15300,0.44,0.52,0.04,0.1218045,0.1115831,1.061808,189.53
15400,0.45,0.53,0.02,0.1226423,0.1262883,0.7368041,161.13
15500,0.46,0.53,0.01,0.1119341,0.1147748,0.3399998,166.27
15600,0.44,0.5,0.06,0.1071499,0.1039293,1.236008,189.18
15700,0.49,0.5,0.01,0.1127394,0.1198899,0.5194023,160.71
15800,0.5,0.49,0.01,0.1144158,0.1066603,0.5454016,152.96
15900,0.42,0.57,0.01,0.115929,0.1100881,0.8378021,174.67
16000,0.49,0.5,0.01,0.1139754,0.1096052,0.6880013,160.74
16100,0.42,0.53,0.05,0.1140651,0.1109988,1.216809,193.68
16200,0.46,0.5,0.04,0.111251,0.1065889,1.294607,187.9
16300,0.55,0.41,0.04,0.1046679,0.1062472,1.401009,201.62
16400,0.51,0.47,0.02,0.1146841,0.1145616,0.7730043,177.29
16500,0.4,0.58,0.02,0.1080354,0.1110825,0.4800021,167.34
16600,0.47,0.49,0.04,0.1117926,0.1075765,1.079008,195.99
16700,0.38,0.56,0.06,0.1151554,0.1181713,1.133808,179.8
16800,0.37,0.56,0.07,0.1087647,0.1186342,1.435015,178.77
16900,0.42,0.54,0.04,0.1150681,0.1176481,1.141408,179.78
17000,0.46,0.51,0.03,0.1124247,0.1197268,1.148806,194.7
17100,0.52,0.47,0.01,0.1166364,0.1115579,0.5266019,162.74
17200,0.41,0.54,0.05,0.1101674,0.1118675,1.252811,199.2
