Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
173,Draw,0.144,0.152,9.86
174,Draw,0.148,0.157,0.00
175,Draw,0.152,0.154,0.00
176,Draw,0.150,0.154,10.78
177,Pursuer,0.157,0.153,0.00
178,Draw,0.159,0.142,0.00
179,Pursuer,0.140,0.084,0.00
180,Pursuer,0.158,0.155,0.00
181,Runner,0.155,0.149,0.00
182,Pursuer,0.142,0.149,0.00
183,Runner,0.000,0.000,0.00
184,Runner,0.163,0.153,0.00
185,Draw,0.138,0.151,0.00
186,Pursuer,0.153,0.159,0.00
187,Draw,0.156,0.155,0.00
188,Draw,0.148,0.148,13.88
189,Draw,0.144,0.145,0.00
190,Draw,0.137,0.140,4.48
191,Runner,0.157,0.164,12.58
192,Pursuer,0.065,0.107,0.00
193,Draw,0.141,0.149,0.00
194,Draw,0.156,0.142,0.56
195,Draw,0.147,0.146,0.00
196,Pursuer,0.132,0.151,0.00
197,Runner,0.155,0.131,3.58
198,Draw,0.163,0.154,4.34
199,Pursuer,0.135,0.160,0.00
200,Pursuer,0.159,0.149,0.00
201,Draw,0.145,0.148,3.76
202,Pursuer,0.156,0.134,0.00
203,Draw,0.155,0.135,9.54
204,Draw,0.143,0.152,0.54
205,Draw,0.145,0.143,0.00
206,Pursuer,0.152,0.145,0.00
207,Pursuer,0.144,0.136,0.00
208,Pursuer,0.149,0.160,0.00
209,Draw,0.156,0.141,12.72
210,Pursuer,0.149,0.140,0.00
211,Draw,0.157,0.142,0.00
212,Draw,0.157,0.150,3.20
213,Runner,0.000,0.000,0.00
214,Runner,0.118,0.211,0.00
215,Runner,0.141,0.156,1.22
216,Pursuer,0.144,0.137,0.00
217,Draw,0.144,0.150,3.64
218,Draw,0.140,0.157,0.00
219,Pursuer,0.140,0.154,0.00
220,Draw,0.151,0.147,0.00
221,Draw,0.144,0.150,0.00
222,Draw,0.143,0.156,0.00
223,Pursuer,0.159,0.147,0.00
224,Pursuer,0.134,0.155,0.00
225,Draw,0.163,0.130,4.74
226,Pursuer,0.146,0.133,0.00
227,Runner,0.146,0.146,0.00
228,Draw,0.146,0.153,0.00
229,Draw,0.154,0.137,13.98
230,Pursuer,0.142,0.152,0.00
231,Draw,0.152,0.143,6.60
232,Pursuer,0.147,0.140,0.00
233,Draw,0.164,0.145,0.72
234,Pursuer,0.000,0.000,0.00
235,Draw,0.150,0.140,0.00
236,Draw,0.146,0.153,11.98
237,Pursuer,0.143,0.157,0.00
238,Draw,0.144,0.145,19.98
239,Runner,0.138,0.153,0.00
240,Draw,0.147,0.150,0.00
241,Draw,0.165,0.160,12.46
242,Draw,0.150,0.151,0.00
243,Pursuer,0.154,0.149,0.00
244,Draw,0.155,0.165,0.06
245,Draw,0.143,0.158,8.32
246,Pursuer,0.139,0.162,0.00
247,Runner,0.142,0.132,0.00
248,Draw,0.157,0.140,1.66
249,Pursuer,0.144,0.150,0.00
250,Draw,0.144,0.152,1.24
251,Draw,0.153,0.153,0.00
252,Draw,0.152,0.154,1.90
253,Pursuer,0.171,0.155,0.00
254,Draw,0.155,0.151,0.00
255,Pursuer,0.161,0.136,0.00
256,Pursuer,0.148,0.138,0.00
257,Draw,0.140,0.152,0.00
258,Pursuer,0.148,0.139,0.00
259,Draw,0.140,0.157,17.82
