Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.064,0.183,0.00
2,Pursuer,0.147,0.146,0.00
3,Pursuer,0.156,0.159,0.00
4,Draw,0.132,0.147,0.00
5,Draw,0.145,0.148,0.00
6,Draw,0.153,0.146,0.00
7,Draw,0.144,0.155,0.00
8,Draw,0.157,0.160,0.00
9,Draw,0.144,0.153,0.00
10,Draw,0.152,0.148,7.50
11,Draw,0.148,0.150,3.92
12,Draw,0.149,0.160,0.00
13,Draw,0.149,0.147,14.22
14,Draw,0.151,0.141,0.00
15,Draw,0.143,0.140,0.00
16,Draw,0.165,0.143,0.00
17,Pursuer,0.000,0.000,0.00
18,Draw,0.147,0.150,0.00
19,Pursuer,0.151,0.133,0.00
20,Draw,0.154,0.147,12.10
21,Pursuer,0.167,0.149,0.00
22,Pursuer,0.157,0.153,0.00
23,Draw,0.163,0.145,0.00
24,Draw,0.148,0.154,0.00
25,Draw,0.148,0.152,2.44
26,Draw,0.157,0.141,0.00
27,Draw,0.152,0.150,3.70
28,Draw,0.150,0.147,0.16
29,Draw,0.152,0.151,0.00
30,Draw,0.153,0.148,1.30
31,Draw,0.148,0.153,0.00
32,Draw,0.144,0.152,0.00
33,Draw,0.146,0.146,0.00
34,Runner,0.000,0.000,0.00
35,Runner,0.000,0.000,0.00
36,Pursuer,0.000,0.000,0.00
37,Draw,0.147,0.164,4.56
38,Draw,0.149,0.146,0.00
39,Draw,0.135,0.150,0.00
40,Draw,0.146,0.154,3.18
41,Draw,0.145,0.159,0.00
42,Draw,0.143,0.138,0.00
43,Draw,0.152,0.139,0.00
44,Draw,0.146,0.149,0.00
45,Draw,0.161,0.141,0.40
46,Draw,0.141,0.156,5.92
47,Draw,0.147,0.150,0.92
48,Draw,0.153,0.155,0.00
49,Draw,0.153,0.153,0.00
50,Draw,0.137,0.138,0.00
51,Draw,0.144,0.145,19.98
52,Draw,0.145,0.152,0.00
53,Runner,0.000,0.000,0.00
54,Pursuer,0.000,0.000,0.00
55,Draw,0.142,0.157,0.00
56,Runner,0.142,0.178,0.00
57,Pursuer,0.123,0.202,0.00
58,Pursuer,0.075,0.059,0.00
59,Draw,0.150,0.153,0.00
60,Pursuer,0.148,0.140,0.00
61,Draw,0.165,0.137,0.00
62,Draw,0.153,0.141,0.00
63,Runner,0.000,0.000,0.00
64,Draw,0.157,0.138,0.00
65,Pursuer,0.142,0.134,0.00
66,Draw,0.142,0.153,0.00
67,Draw,0.149,0.146,9.46
68,Draw,0.151,0.146,0.00
69,Draw,0.153,0.162,0.00
70,Draw,0.151,0.149,0.00
71,Draw,0.149,0.148,19.68
72,Draw,0.139,0.148,0.00
73,Draw,0.144,0.156,18.86
74,Draw,0.154,0.150,0.00
75,Draw,0.149,0.157,0.00
76,Draw,0.148,0.150,0.00
77,Runner,0.047,0.098,0.00
78,Pursuer,0.136,0.164,0.00
79,Draw,0.156,0.143,0.00
80,Draw,0.150,0.149,19.96
81,Pursuer,0.000,0.000,0.00
82,Draw,0.139,0.150,0.00
83,Draw,0.161,0.143,0.00
84,Pursuer,0.144,0.141,0.00
85,Draw,0.146,0.156,18.42
86,Draw,0.150,0.148,16.12
87,Draw,0.138,0.138,1.20
88,Draw,0.160,0.149,11.10
89,Draw,0.134,0.137,0.00
90,Draw,0.156,0.149,0.00
91,Draw,0.140,0.147,0.04
92,Draw,0.148,0.155,0.00
93,Draw,0.149,0.154,0.00
94,Draw,0.151,0.151,0.00
95,Draw,0.158,0.143,0.00
96,Draw,0.142,0.159,0.00
97,Draw,0.136,0.149,1.84
98,Draw,0.151,0.142,18.34
99,Draw,0.150,0.143,0.00
100,Runner,0.164,0.153,0.00
101,Draw,0.141,0.147,0.00
102,Draw,0.144,0.150,12.90
103,Pursuer,0.147,0.137,0.00
104,Draw,0.151,0.147,0.26
105,Draw,0.147,0.163,9.60
106,Draw,0.163,0.149,7.84
107,Draw,0.138,0.142,0.00
108,Draw,0.156,0.149,0.00
109,Draw,0.146,0.157,0.00
110,Draw,0.155,0.154,0.00
111,Runner,0.096,0.137,0.00
112,Pursuer,0.136,0.131,0.00
113,Draw,0.162,0.145,0.00
114,Draw,0.148,0.154,19.48
115,Runner,0.153,0.146,0.00
116,Runner,0.151,0.140,0.00
117,Runner,0.197,0.206,0.00
118,Draw,0.164,0.151,4.10
119,Draw,0.153,0.152,0.00
120,Draw,0.145,0.144,0.00
121,Draw,0.151,0.148,0.00
122,Draw,0.143,0.137,0.00
123,Runner,0.141,0.138,0.00
124,Draw,0.154,0.153,19.98
125,Draw,0.149,0.161,19.98
126,Runner,0.138,0.144,7.16
127,Pursuer,0.147,0.137,0.00
128,Pursuer,0.154,0.138,0.00
129,Draw,0.154,0.158,0.00
130,Draw,0.155,0.160,0.00
131,Draw,0.154,0.141,0.00
132,Draw,0.161,0.146,0.00
133,Draw,0.150,0.151,0.00
134,Draw,0.148,0.142,0.00
135,Draw,0.148,0.154,0.00
136,Draw,0.165,0.130,0.00
137,Draw,0.148,0.148,13.24
138,Pursuer,0.000,0.000,0.00
139,Draw,0.149,0.143,0.00
140,Draw,0.158,0.150,16.88
141,Runner,0.000,0.000,0.00
142,Draw,0.158,0.161,0.00
143,Draw,0.145,0.157,0.00
144,Draw,0.157,0.152,0.00
145,Runner,0.145,0.151,0.00
146,Draw,0.145,0.150,0.00
147,Draw,0.148,0.154,3.16
148,Runner,0.151,0.148,0.00
149,Draw,0.162,0.156,7.48
150,Draw,0.149,0.143,1.40
151,Draw,0.158,0.151,0.00
152,Pursuer,0.130,0.119,0.00
153,Pursuer,0.110,0.072,0.00
154,Draw,0.146,0.153,7.20
155,Draw,0.144,0.148,10.30
156,Pursuer,0.153,0.154,0.00
157,Draw,0.149,0.143,0.00
158,Pursuer,0.161,0.107,0.00
159,Pursuer,0.144,0.147,0.00
160,Draw,0.143,0.147,0.00
161,Runner,0.150,0.146,0.00
162,Draw,0.150,0.152,0.00
163,Draw,0.153,0.151,0.00
164,Draw,0.152,0.154,8.88
165,Draw,0.139,0.149,19.74
166,Draw,0.151,0.151,9.50
167,Draw,0.157,0.152,0.00
168,Draw,0.160,0.158,0.00
169,Draw,0.138,0.140,19.98
170,Draw,0.155,0.142,8.10
171,Draw,0.152,0.146,4.16
172,Pursuer,0.000,0.000,0.00
173,Draw,0.168,0.139,6.42
174,Draw,0.152,0.145,0.00
175,Draw,0.155,0.150,0.00
176,Draw,0.152,0.162,0.00
177,Runner,0.158,0.148,9.28
178,Draw,0.163,0.144,0.00
179,Draw,0.154,0.140,12.22
180,Draw,0.141,0.146,0.86
181,Draw,0.153,0.147,0.00
182,Runner,0.000,0.000,0.00
183,Pursuer,0.143,0.151,0.00
184,Pursuer,0.150,0.150,0.00
185,Runner,0.097,0.087,0.00
186,Draw,0.145,0.149,1.72
187,Draw,0.145,0.152,7.10
188,Draw,0.164,0.139,0.00
189,Runner,0.158,0.146,0.00
190,Pursuer,0.171,0.148,0.00
191,Runner,0.135,0.154,0.00
192,Draw,0.146,0.147,17.06
193,Draw,0.160,0.147,0.00
194,Pursuer,0.000,0.000,0.00
195,Draw,0.145,0.139,0.00
196,Draw,0.148,0.155,18.44
197,Draw,0.148,0.158,0.00
198,Runner,0.154,0.148,3.64
199,Draw,0.150,0.142,0.00
200,Pursuer,0.000,0.000,0.00
201,Draw,0.152,0.151,2.10
202,Draw,0.145,0.142,11.30
203,Draw,0.167,0.153,0.00
204,Draw,0.149,0.153,0.00
205,Pursuer,0.145,0.176,0.00
206,Runner,0.142,0.161,1.52
207,Draw,0.144,0.152,0.00
208,Runner,0.153,0.145,1.14
209,Draw,0.150,0.142,6.50
210,Pursuer,0.154,0.150,0.00
211,Runner,0.144,0.150,0.00
212,Draw,0.158,0.149,17.88
213,Draw,0.152,0.144,15.70
214,Draw,0.139,0.139,19.98
215,Pursuer,0.043,0.102,0.00
216,Runner,0.000,0.000,0.00
217,Pursuer,0.161,0.160,0.00
218,Draw,0.149,0.150,0.00
219,Pursuer,0.080,0.105,0.00
220,Pursuer,0.152,0.131,0.00
221,Runner,0.152,0.158,5.94
222,Pursuer,0.143,0.147,0.00
223,Pursuer,0.138,0.130,0.00
224,Draw,0.155,0.145,0.00
225,Draw,0.140,0.139,0.00
226,Pursuer,0.119,0.165,0.00
227,Runner,0.130,0.134,0.00
228,Runner,0.192,0.134,0.10
229,Draw,0.159,0.146,0.86
230,Draw,0.150,0.145,7.84
231,Draw,0.149,0.160,1.06
232,Draw,0.140,0.145,7.10
233,Draw,0.155,0.150,7.58
234,Pursuer,0.145,0.153,0.00
235,Draw,0.144,0.149,8.58
236,Pursuer,0.163,0.150,0.00
237,Draw,0.152,0.152,0.58
238,Draw,0.152,0.157,7.98
239,Pursuer,0.151,0.158,0.00
240,Pursuer,0.066,0.028,0.00
241,Draw,0.163,0.150,0.00
242,Pursuer,0.000,0.000,0.00
243,Draw,0.149,0.156,18.62
244,Draw,0.141,0.157,0.00
245,Pursuer,0.156,0.146,0.00
