Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.757,0.523,0.00
2,Runner,0.168,0.072,0.00
3,Runner,0.141,0.170,0.14
4,Pursuer,0.136,0.149,0.00
5,Draw,0.145,0.159,0.00
6,Draw,0.168,0.152,0.00
7,Draw,0.144,0.146,0.00
8,Draw,0.158,0.153,0.14
9,Draw,0.153,0.133,0.00
10,Draw,0.149,0.137,0.00
11,Draw,0.150,0.148,0.00
12,Draw,0.142,0.156,0.00
13,Draw,0.168,0.144,0.00
14,Draw,0.147,0.146,0.00
15,Draw,0.162,0.139,0.00
16,Draw,0.152,0.149,0.00
17,Runner,0.000,0.000,0.00
18,Pursuer,0.000,0.000,0.00
19,Draw,0.146,0.149,0.00
20,Pursuer,0.152,0.594,0.00
21,Draw,0.143,0.145,11.30
22,Runner,0.225,0.151,0.00
23,Runner,0.113,0.195,0.12
24,Runner,0.131,0.124,0.00
25,Draw,0.145,0.156,0.00
26,Pursuer,0.156,0.146,0.00
27,Pursuer,0.135,0.156,0.00
28,Pursuer,0.147,0.065,0.00
29,Draw,0.153,0.137,0.00
30,Draw,0.151,0.151,0.00
31,Draw,0.159,0.144,12.52
32,Draw,0.152,0.162,0.00
33,Draw,0.150,0.154,0.00
34,Draw,0.145,0.154,0.00
35,Draw,0.150,0.152,0.00
36,Draw,0.160,0.151,0.00
37,Draw,0.163,0.146,0.00
38,Draw,0.147,0.141,3.58
39,Draw,0.153,0.146,0.40
40,Draw,0.132,0.151,0.00
41,Pursuer,0.149,0.144,0.00
42,Draw,0.148,0.146,0.00
43,Draw,0.165,0.157,14.48
44,Draw,0.148,0.141,7.46
45,Pursuer,0.163,0.169,0.00
46,Draw,0.154,0.151,0.00
47,Draw,0.147,0.148,4.82
48,Draw,0.141,0.162,0.00
49,Draw,0.145,0.160,0.00
50,Draw,0.144,0.142,5.16
51,Draw,0.161,0.143,0.00
52,Draw,0.146,0.162,1.00
53,Draw,0.154,0.161,0.00
54,Pursuer,0.000,0.000,0.00
55,Draw,0.145,0.146,0.00
56,Draw,0.157,0.142,0.00
57,Draw,0.148,0.151,6.84
58,Draw,0.153,0.150,0.00
59,Pursuer,0.251,0.268,0.00
60,Pursuer,0.152,0.118,0.00
61,Draw,0.153,0.162,6.76
62,Draw,0.149,0.140,0.60
63,Draw,0.151,0.143,2.90
64,Pursuer,0.151,0.148,0.00
65,Draw,0.141,0.162,0.00
66,Draw,0.135,0.143,4.04
67,Draw,0.156,0.145,4.78
68,Draw,0.151,0.147,0.00
69,Draw,0.148,0.147,0.00
70,Draw,0.143,0.141,0.00
71,Draw,0.143,0.151,0.00
72,Draw,0.150,0.148,3.60
73,Draw,0.148,0.161,0.00
74,Runner,0.000,0.000,0.00
75,Pursuer,0.000,0.000,0.00
76,Draw,0.159,0.151,2.54
77,Draw,0.144,0.152,0.00
78,Draw,0.149,0.156,0.00
79,Draw,0.162,0.153,8.36
80,Runner,0.097,0.151,0.34
81,Pursuer,0.166,0.162,0.00
82,Draw,0.137,0.149,2.14
83,Draw,0.139,0.143,4.74
84,Pursuer,0.174,0.161,0.00
85,Draw,0.151,0.177,0.00
86,Draw,0.147,0.149,0.00
87,Draw,0.155,0.151,0.00
88,Pursuer,0.137,0.138,0.00
89,Pursuer,0.126,0.061,0.00
90,Draw,0.156,0.149,0.38
91,Draw,0.149,0.147,0.00
92,Draw,0.145,0.142,0.00
93,Draw,0.161,0.140,0.92
94,Draw,0.155,0.152,0.00
95,Draw,0.132,0.152,0.00
96,Pursuer,0.000,0.000,0.00
97,Draw,0.152,0.142,0.00
98,Draw,0.148,0.138,0.00
99,Draw,0.143,0.147,3.22
100,Draw,0.149,0.153,0.00
101,Draw,0.158,0.140,0.00
102,Draw,0.163,0.148,0.00
103,Draw,0.150,0.154,0.00
104,Pursuer,0.145,0.138,0.00
105,Pursuer,0.165,0.131,0.00
106,Draw,0.142,0.150,5.10
107,Pursuer,0.138,0.145,0.00
108,Draw,0.156,0.164,0.00
109,Draw,0.140,0.163,14.50
110,Draw,0.149,0.149,0.00
111,Draw,0.145,0.143,0.00
112,Draw,0.155,0.147,0.00
113,Draw,0.151,0.149,0.00
114,Draw,0.141,0.143,19.36
115,Draw,0.149,0.139,0.00
116,Draw,0.149,0.142,0.00
117,Draw,0.167,0.149,14.74
118,Draw,0.155,0.149,0.00
119,Draw,0.150,0.149,0.00
120,Draw,0.157,0.157,0.08
121,Pursuer,0.156,0.131,0.00
122,Pursuer,0.158,0.306,0.00
123,Pursuer,0.077,0.033,0.00
124,Draw,0.154,0.148,15.86
125,Draw,0.147,0.152,0.00
126,Draw,0.160,0.159,0.00
127,Pursuer,0.152,0.161,0.00
128,Draw,0.152,0.150,0.00
129,Draw,0.145,0.154,0.00
130,Draw,0.147,0.142,0.00
131,Draw,0.156,0.151,19.98
132,Draw,0.138,0.152,0.00
133,Draw,0.157,0.148,0.00
134,Draw,0.153,0.146,0.00
135,Pursuer,0.066,0.095,0.00
136,Pursuer,0.150,0.156,0.00
137,Draw,0.152,0.144,0.00
138,Draw,0.147,0.151,7.28
139,Draw,0.151,0.152,0.00
140,Draw,0.150,0.157,0.00
141,Runner,0.158,0.160,0.00
142,Runner,0.152,0.152,9.86
143,Pursuer,0.036,0.108,0.00
144,Draw,0.152,0.164,0.00
145,Pursuer,0.169,0.145,0.00
146,Draw,0.141,0.151,0.00
147,Pursuer,0.145,0.142,0.00
148,Draw,0.168,0.144,0.00
149,Draw,0.142,0.156,10.08
