Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.430,0.811,0.00
2,Runner,0.157,0.142,0.00
3,Pursuer,0.144,0.158,0.00
4,Pursuer,0.149,0.150,0.00
5,Draw,0.150,0.150,15.22
6,Draw,0.156,0.154,0.00
7,Draw,0.147,0.145,4.24
8,Draw,0.141,0.145,0.00
9,Draw,0.159,0.149,0.00
10,Draw,0.152,0.158,12.36
11,Draw,0.141,0.145,1.64
12,Draw,0.148,0.147,0.00
13,Draw,0.149,0.153,4.38
14,Draw,0.147,0.152,3.28
15,Draw,0.173,0.144,0.00
16,Draw,0.142,0.145,0.00
17,Draw,0.161,0.137,0.00
18,Pursuer,0.117,0.153,0.00
19,Draw,0.157,0.147,0.00
20,Draw,0.141,0.145,0.00
21,Pursuer,0.122,0.159,0.00
22,Pursuer,0.165,0.148,0.00
23,Draw,0.143,0.152,0.76
24,Pursuer,0.160,0.154,0.00
25,Pursuer,0.139,0.144,0.00
26,Runner,0.162,0.162,2.32
27,Draw,0.149,0.153,0.00
28,Draw,0.150,0.152,0.00
29,Draw,0.145,0.156,0.00
30,Draw,0.132,0.143,0.00
31,Draw,0.140,0.144,15.40
32,Draw,0.154,0.139,3.70
33,Draw,0.142,0.152,0.00
34,Draw,0.146,0.146,0.00
35,Draw,0.140,0.150,0.00
36,Draw,0.146,0.159,0.00
37,Draw,0.155,0.148,3.86
38,Runner,0.000,0.000,0.00
39,Draw,0.149,0.154,5.24
40,Draw,0.152,0.152,0.00
41,Draw,0.160,0.152,0.00
42,Draw,0.157,0.146,0.00
43,Draw,0.165,0.153,0.00
44,Runner,0.000,0.000,0.00
45,Draw,0.155,0.146,9.82
46,Draw,0.150,0.143,0.00
47,Draw,0.151,0.150,0.00
48,Draw,0.141,0.144,11.12
49,Draw,0.144,0.147,0.00
50,Draw,0.156,0.152,0.38
51,Draw,0.151,0.158,0.00
52,Draw,0.149,0.146,17.30
53,Pursuer,0.088,0.321,0.00
54,Draw,0.152,0.159,0.00
55,Pursuer,0.157,0.155,0.00
56,Draw,0.147,0.153,0.00
57,Draw,0.147,0.144,0.00
58,Pursuer,0.152,0.132,0.00
59,Draw,0.151,0.142,0.00
60,Draw,0.157,0.147,0.00
61,Pursuer,0.152,0.155,0.00
62,Draw,0.148,0.148,0.00
63,Draw,0.144,0.147,19.98
64,Draw,0.156,0.142,4.16
65,Runner,0.158,0.141,0.00
66,Draw,0.148,0.164,0.00
67,Draw,0.162,0.166,0.00
68,Draw,0.156,0.157,0.00
69,Draw,0.163,0.152,15.80
70,Draw,0.147,0.150,0.00
71,Pursuer,0.134,0.121,0.00
72,Draw,0.148,0.153,0.00
73,Draw,0.162,0.142,0.00
74,Draw,0.141,0.160,0.00
75,Draw,0.146,0.155,9.76
76,Pursuer,0.000,0.000,0.00
77,Draw,0.149,0.140,0.00
78,Runner,0.165,0.185,0.08
