Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Runner,0.618,0.711,0.00
2,Runner,0.149,0.113,0.00
3,Draw,0.140,0.151,0.00
4,Draw,0.154,0.155,0.00
5,Draw,0.151,0.157,0.00
6,Draw,0.159,0.154,0.00
7,Draw,0.142,0.168,11.72
8,Draw,0.144,0.148,0.92
9,Draw,0.155,0.144,0.00
10,Draw,0.151,0.147,0.58
11,Draw,0.153,0.151,0.00
12,Draw,0.143,0.145,0.00
13,Draw,0.153,0.155,3.92
14,Draw,0.154,0.141,0.00
15,Draw,0.147,0.148,16.58
16,Draw,0.153,0.147,11.96
17,Pursuer,0.000,0.000,0.00
18,Draw,0.151,0.151,0.00
19,Pursuer,0.111,0.145,0.00
20,Pursuer,0.121,0.253,0.00
21,Draw,0.139,0.144,0.02
22,Draw,0.142,0.158,0.00
23,Draw,0.139,0.154,0.00
24,Draw,0.154,0.147,0.00
25,Draw,0.143,0.148,0.00
26,Draw,0.146,0.151,0.00
27,Draw,0.157,0.158,0.00
28,Draw,0.142,0.150,0.00
29,Draw,0.153,0.148,19.32
30,Draw,0.148,0.144,0.00
31,Draw,0.148,0.146,0.00
32,Draw,0.155,0.153,0.00
33,Draw,0.147,0.143,16.66
34,Draw,0.158,0.139,0.00
35,Pursuer,0.000,0.000,0.00
36,Runner,0.112,0.118,0.00
37,Draw,0.153,0.134,0.00
38,Draw,0.154,0.127,9.84
39,Draw,0.142,0.168,6.92
40,Pursuer,0.156,0.154,0.00
41,Pursuer,0.033,0.050,0.00
42,Draw,0.156,0.153,0.00
43,Draw,0.150,0.143,4.64
44,Draw,0.152,0.152,4.54
45,Draw,0.161,0.149,0.00
46,Draw,0.153,0.137,11.64
47,Draw,0.143,0.155,0.00
48,Draw,0.151,0.160,0.00
49,Draw,0.151,0.162,0.00
50,Draw,0.155,0.148,0.00
51,Draw,0.157,0.145,5.30
52,Draw,0.154,0.153,0.00
53,Draw,0.157,0.158,0.00
54,Draw,0.148,0.149,0.00
55,Pursuer,0.069,0.026,0.00
56,Draw,0.150,0.149,0.00
57,Runner,0.207,0.181,0.00
58,Runner,0.171,0.142,0.00
