Episode,Pursuer Accuracy,Runner Accuracy
100,0.13,0.01
200,0.21,0.09
300,0.31,0.13
400,0.36,0.15
500,0.3,0.24
600,0.36,0.26
700,0.39,0.34
800,0.42,0.3
900,0.39,0.41
1000,0.35,0.47
1100,0.36,0.45
1200,0.35,0.5
1300,0.3,0.52
1400,0.41,0.45
1500,0.41,0.47
1600,0.29,0.62
1700,0.26,0.63
1800,0.36,0.48
1900,0.3,0.54
2000,0.35,0.57
2100,0.24,0.59
2200,0.31,0.56
2300,0.33,0.52
2400,0.32,0.55
2500,0.32,0.51
2600,0.26,0.63
2700,0.24,0.63
2800,0.37,0.53
2900,0.3,0.62
3000,0.3,0.57
3100,0.33,0.51
