Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.965,0.882,0.00
2,Pursuer,0.479,0.136,0.00
3,Runner,0.119,0.224,0.00
4,Runner,0.069,0.110,0.00
5,Pursuer,0.000,0.000,0.00
6,Draw,0.148,0.156,0.00
7,Draw,0.147,0.159,0.24
8,Draw,0.155,0.148,13.10
9,Draw,0.145,0.149,0.00
10,Draw,0.147,0.141,0.00
11,Draw,0.149,0.139,0.00
12,Draw,0.148,0.156,0.00
13,Draw,0.162,0.159,0.00
14,Draw,0.160,0.147,0.00
15,Draw,0.157,0.146,0.00
16,Draw,0.155,0.145,0.00
17,Draw,0.154,0.148,0.00
18,Draw,0.145,0.153,0.00
19,Draw,0.139,0.148,7.80
20,Pursuer,0.000,0.000,0.00
21,Pursuer,0.000,0.000,0.00
22,Draw,0.156,0.156,0.00
23,Runner,0.184,0.098,0.00
24,Draw,0.148,0.156,0.04
25,Runner,0.137,0.113,0.00
26,Runner,0.132,0.156,0.00
27,Pursuer,0.000,0.000,0.00
28,Draw,0.142,0.143,0.00
29,Draw,0.146,0.147,0.68
30,Draw,0.154,0.156,12.14
31,Draw,0.149,0.139,6.74
32,Draw,0.142,0.150,4.68
33,Draw,0.151,0.158,0.00
34,Draw,0.146,0.153,0.00
35,Draw,0.160,0.155,0.00
36,Draw,0.158,0.142,5.62
37,Draw,0.158,0.150,0.00
38,Draw,0.149,0.156,0.00
39,Draw,0.145,0.145,0.00
40,Pursuer,0.000,0.000,0.00
41,Draw,0.157,0.144,0.00
42,Draw,0.144,0.143,0.00
43,Draw,0.154,0.146,0.34
