Episode,Pursuer Accuracy,Runner Accuracy
100,0.18,0.08
200,0.2,0.13
300,0.39,0.13
400,0.4,0.2
500,0.45,0.19
600,0.42,0.25
700,0.52,0.28
800,0.52,0.21
900,0.54,0.26
1000,0.48,0.31
