Episode,Winner,RunnerAcc,PursuerAcc,RunnerJitter,PursuerJitter,NearMissTime
121,Draw,0.033,0.025,0.151,0.141,0.00
122,Draw,0.033,0.025,0.146,0.152,0.00
123,Draw,0.033,0.024,0.147,0.147,0.00
124,Draw,0.032,0.024,0.166,0.156,2.18
125,Pursuer,0.032,0.032,0.143,0.157,0.00
126,Runner,0.040,0.032,0.000,0.000,0.00
127,Draw,0.039,0.031,0.142,0.149,0.00
128,Runner,0.047,0.031,0.168,0.154,0.00
129,Pursuer,0.047,0.039,0.149,0.136,0.00
130,Draw,0.046,0.038,0.153,0.151,0.00
131,Pursuer,0.046,0.046,0.000,0.000,0.00
132,Draw,0.045,0.045,0.146,0.139,14.60
133,Draw,0.045,0.045,0.151,0.146,0.00
134,Pursuer,0.045,0.052,0.000,0.000,0.00
135,Pursuer,0.044,0.059,0.161,0.159,0.00
136,Pursuer,0.044,0.066,0.146,0.128,0.00
137,Draw,0.044,0.066,0.150,0.154,0.00
138,Draw,0.043,0.065,0.147,0.154,0.00
139,Draw,0.043,0.065,0.154,0.163,9.02
140,Draw,0.043,0.064,0.147,0.145,0.00
141,Draw,0.043,0.064,0.149,0.138,0.00
142,Draw,0.042,0.063,0.144,0.158,1.46
143,Draw,0.042,0.063,0.147,0.157,0.00
144,Draw,0.042,0.063,0.150,0.135,0.00
145,Draw,0.041,0.062,0.145,0.149,19.98
146,Pursuer,0.041,0.068,0.152,0.157,0.00
147,Draw,0.041,0.068,0.152,0.151,16.22
148,Runner,0.047,0.068,0.130,0.155,1.66
149,Draw,0.047,0.067,0.153,0.149,0.40
150,Draw,0.047,0.067,0.141,0.159,0.14
151,Pursuer,0.046,0.073,0.142,0.140,0.00
152,Pursuer,0.046,0.079,0.144,0.156,0.00
153,Draw,0.046,0.078,0.145,0.150,2.32
154,Pursuer,0.045,0.084,0.144,0.125,0.00
155,Draw,0.045,0.084,0.152,0.142,13.02
156,Draw,0.045,0.083,0.148,0.159,19.72
157,Draw,0.045,0.083,0.158,0.142,0.00
158,Pursuer,0.044,0.089,0.156,0.162,0.00
159,Draw,0.044,0.088,0.153,0.151,0.00
160,Draw,0.044,0.088,0.161,0.155,0.30
161,Pursuer,0.043,0.093,0.146,0.143,0.00
162,Runner,0.049,0.093,0.143,0.151,6.08
163,Draw,0.049,0.092,0.151,0.150,0.00
164,Draw,0.049,0.091,0.154,0.156,8.90
165,Runner,0.055,0.091,0.000,0.000,0.00
166,Draw,0.054,0.090,0.148,0.136,13.16
167,Draw,0.054,0.090,0.143,0.143,5.96
168,Runner,0.060,0.089,0.414,0.292,0.00
169,Draw,0.059,0.089,0.157,0.149,3.62
170,Runner,0.065,0.088,0.153,0.154,0.00
171,Draw,0.064,0.088,0.155,0.153,0.00
172,Pursuer,0.064,0.093,0.145,0.147,0.00
173,Runner,0.069,0.092,0.166,0.160,0.00
174,Runner,0.075,0.092,0.160,0.141,0.00
175,Runner,0.080,0.091,0.149,0.165,0.00
176,Draw,0.080,0.091,0.153,0.163,0.00
177,Pursuer,0.079,0.096,0.150,0.155,0.00
178,Draw,0.079,0.096,0.161,0.145,0.00
179,Draw,0.078,0.095,0.141,0.139,0.00
180,Draw,0.078,0.094,0.142,0.156,12.40
181,Draw,0.077,0.094,0.152,0.150,0.00
182,Draw,0.077,0.093,0.147,0.149,0.00
183,Pursuer,0.077,0.098,0.149,0.197,0.00
184,Draw,0.076,0.098,0.146,0.156,0.00
185,Pursuer,0.076,0.103,0.000,0.000,0.00
186,Pursuer,0.075,0.108,0.145,0.148,0.00
187,Draw,0.075,0.107,0.157,0.145,6.50
188,Runner,0.080,0.106,0.000,0.000,0.00
189,Pursuer,0.079,0.111,0.152,0.153,0.00
190,Runner,0.084,0.111,0.137,0.155,7.28
191,Runner,0.089,0.110,0.151,0.136,0.00
192,Draw,0.089,0.109,0.153,0.149,8.32
193,Runner,0.093,0.109,0.000,0.000,0.00
194,Pursuer,0.093,0.113,0.155,0.130,0.00
195,Draw,0.092,0.113,0.151,0.142,17.48
196,Draw,0.092,0.112,0.140,0.156,18.78
197,Draw,0.091,0.112,0.155,0.150,0.00
198,Draw,0.091,0.111,0.152,0.153,0.00
199,Draw,0.090,0.111,0.160,0.156,0.00
200,Pursuer,0.090,0.115,0.000,0.000,0.00
201,Draw,0.000,0.000,0.140,0.144,16.56
202,Draw,0.000,0.000,0.146,0.161,0.00
203,Runner,0.005,0.000,0.149,0.155,0.00
204,Pursuer,0.005,0.005,0.168,0.135,0.00
205,Runner,0.010,0.005,0.151,0.140,6.38
206,Pursuer,0.010,0.010,0.000,0.000,0.00
207,Draw,0.010,0.010,0.154,0.153,0.90
208,Pursuer,0.010,0.014,0.000,0.000,0.00
209,Draw,0.010,0.014,0.161,0.150,14.90
210,Runner,0.014,0.014,0.151,0.161,1.02
211,Pursuer,0.014,0.019,0.163,0.148,0.00
212,Draw,0.014,0.019,0.140,0.159,0.00
213,Pursuer,0.014,0.023,0.000,0.000,0.00
214,Draw,0.014,0.023,0.148,0.134,5.74
215,Pursuer,0.014,0.028,0.138,0.162,0.00
216,Draw,0.014,0.028,0.157,0.141,0.00
217,Draw,0.014,0.028,0.150,0.138,5.04
218,Runner,0.018,0.028,0.023,0.074,0.00
219,Draw,0.018,0.027,0.153,0.153,0.00
220,Pursuer,0.018,0.032,0.150,0.149,0.00
