Episode,Pursuer Accuracy,Runner Accuracy
100,0.18,0.08
200,0.2,0.06
300,0.25,0.2
400,0.44,0.14
500,0.36,0.3
600,0.33,0.34
700,0.43,0.41
800,0.33,0.51
