Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Runner,1.210,0.188,0.00
2,Pursuer,0.256,0.155,0.00
3,Pursuer,0.131,0.156,0.00
4,Draw,0.156,0.157,0.00
5,Draw,0.158,0.146,0.00
6,Draw,0.142,0.165,6.52
7,Draw,0.148,0.158,0.10
8,Draw,0.147,0.144,0.12
9,Draw,0.148,0.164,0.00
10,Draw,0.153,0.146,0.00
11,Draw,0.159,0.149,0.00
12,Draw,0.151,0.154,4.34
13,Draw,0.144,0.150,0.00
14,Draw,0.149,0.163,0.00
15,Draw,0.156,0.149,0.00
16,Draw,0.143,0.148,1.68
17,Draw,0.152,0.165,0.00
18,Draw,0.165,0.151,0.00
19,Runner,0.000,0.000,0.00
20,Runner,0.000,0.000,0.00
21,Pursuer,0.000,0.000,0.00
22,Draw,0.142,0.159,0.00
23,Draw,0.150,0.153,0.00
24,Draw,0.148,0.156,0.00
25,Draw,0.155,0.158,0.00
26,Draw,0.143,0.154,4.10
27,Draw,0.146,0.140,0.14
28,Draw,0.152,0.153,14.96
29,Draw,0.156,0.164,0.00
30,Draw,0.163,0.157,0.00
31,Draw,0.152,0.149,0.00
32,Draw,0.158,0.152,0.00
33,Draw,0.159,0.147,0.00
34,Draw,0.145,0.153,0.00
35,Draw,0.142,0.159,0.00
36,Draw,0.148,0.144,0.00
37,Draw,0.138,0.165,0.02
38,Draw,0.156,0.151,0.00
39,Runner,0.133,0.100,0.00
40,Runner,0.164,0.146,0.00
41,Pursuer,0.147,0.144,0.00
42,Draw,0.155,0.142,16.04
43,Draw,0.151,0.158,0.00
44,Draw,0.163,0.155,0.00
45,Draw,0.145,0.159,15.46
46,Draw,0.144,0.146,0.00
47,Draw,0.149,0.145,0.22
48,Draw,0.147,0.152,0.00
49,Draw,0.149,0.148,0.00
50,Draw,0.143,0.155,0.00
51,Draw,0.163,0.147,3.72
52,Draw,0.151,0.160,0.00
53,Draw,0.149,0.156,0.52
54,Draw,0.132,0.159,1.16
55,Draw,0.152,0.137,0.00
56,Draw,0.150,0.144,0.00
57,Draw,0.148,0.140,4.14
58,Runner,0.150,0.151,0.00
