Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.391,1.134,0.00
2,Pursuer,0.149,0.173,0.00
3,Draw,0.141,0.153,2.84
4,Draw,0.169,0.153,7.42
5,Draw,0.159,0.153,4.20
6,Draw,0.153,0.150,0.10
7,Draw,0.149,0.160,0.00
8,Draw,0.148,0.137,7.74
9,Draw,0.149,0.148,0.00
10,Draw,0.153,0.162,0.00
11,Draw,0.157,0.160,10.72
12,Draw,0.143,0.153,3.60
13,Draw,0.150,0.152,19.96
14,Draw,0.162,0.157,19.96
15,Draw,0.151,0.139,0.00
16,Draw,0.156,0.149,0.00
17,Pursuer,0.000,0.000,0.00
18,Draw,0.150,0.138,0.00
19,Draw,0.146,0.158,0.00
20,Draw,0.148,0.151,0.00
21,Draw,0.156,0.147,0.00
22,Draw,0.153,0.132,0.00
23,Draw,0.149,0.145,0.00
24,Draw,0.153,0.146,0.00
25,Draw,0.148,0.154,1.68
26,Draw,0.150,0.151,0.00
27,Draw,0.145,0.148,0.02
28,Draw,0.151,0.159,0.00
29,Draw,0.157,0.142,3.74
30,Draw,0.167,0.149,0.00
31,Draw,0.148,0.135,0.00
32,Draw,0.152,0.146,0.20
33,Draw,0.147,0.146,0.00
34,Runner,0.000,0.000,0.00
35,Draw,0.144,0.144,0.00
36,Draw,0.149,0.149,15.48
37,Draw,0.146,0.160,15.52
38,Draw,0.154,0.129,0.00
39,Draw,0.153,0.141,0.00
40,Draw,0.147,0.151,0.00
41,Draw,0.164,0.140,0.00
42,Draw,0.160,0.141,0.00
43,Draw,0.152,0.151,0.00
44,Draw,0.150,0.149,3.72
45,Draw,0.153,0.156,0.00
46,Draw,0.149,0.159,13.14
47,Draw,0.147,0.145,1.88
48,Draw,0.153,0.151,0.00
49,Draw,0.155,0.138,0.00
50,Draw,0.151,0.141,0.00
51,Pursuer,0.000,0.000,0.00
52,Draw,0.138,0.150,0.00
53,Pursuer,0.000,0.000,0.00
54,Pursuer,0.247,0.101,0.00
55,Draw,0.150,0.144,14.34
56,Pursuer,0.000,0.000,0.00
57,Draw,0.144,0.164,0.00
58,Draw,0.133,0.146,17.24
59,Draw,0.151,0.165,0.00
60,Draw,0.157,0.139,0.00
61,Draw,0.152,0.146,0.00
62,Draw,0.157,0.150,0.00
63,Draw,0.153,0.153,0.00
64,Draw,0.149,0.148,0.00
65,Draw,0.158,0.147,0.00
66,Draw,0.153,0.162,5.44
67,Draw,0.153,0.152,0.00
68,Draw,0.153,0.163,0.00
69,Draw,0.144,0.164,0.00
70,Pursuer,0.000,0.000,0.00
71,Draw,0.149,0.147,0.00
72,Draw,0.144,0.149,0.00
73,Draw,0.146,0.148,14.44
74,Draw,0.151,0.138,6.48
75,Draw,0.166,0.158,0.00
76,Draw,0.160,0.149,0.00
77,Draw,0.141,0.143,0.00
78,Draw,0.146,0.128,0.00
79,Draw,0.143,0.152,0.00
80,Draw,0.148,0.155,0.00
81,Draw,0.151,0.136,0.00
82,Draw,0.153,0.145,19.98
83,Draw,0.143,0.153,4.48
84,Draw,0.157,0.144,0.00
85,Draw,0.149,0.145,3.48
86,Draw,0.140,0.148,19.88
87,Pursuer,0.000,0.000,0.00
88,Draw,0.149,0.152,0.00
89,Draw,0.146,0.144,0.00
90,Pursuer,0.151,0.140,0.00
91,Draw,0.150,0.142,19.98
92,Pursuer,0.142,0.145,0.00
93,Pursuer,0.140,0.123,0.00
94,Pursuer,0.147,0.144,0.00
95,Draw,0.163,0.150,3.18
96,Draw,0.155,0.161,0.00
97,Draw,0.149,0.151,0.00
98,Draw,0.157,0.137,0.00
99,Draw,0.150,0.156,0.00
100,Draw,0.158,0.156,0.20
101,Draw,0.150,0.152,0.00
102,Draw,0.148,0.144,0.72
103,Draw,0.157,0.156,8.84
104,Draw,0.137,0.152,0.00
105,Runner,0.140,0.085,0.00
106,Runner,0.000,0.000,0.00
107,Draw,0.133,0.140,0.00
108,Draw,0.160,0.158,0.00
109,Draw,0.161,0.147,19.98
110,Draw,0.144,0.159,0.00
111,Draw,0.148,0.151,0.00
112,Draw,0.164,0.149,0.00
113,Pursuer,0.000,0.000,0.00
