Episode,Pursuer Accuracy,Runner Accuracy
100,0.19,0.08
200,0.24,0.08
300,0.37,0.09
400,0.37,0.18
500,0.38,0.23
600,0.49,0.24
700,0.53,0.31
800,0.51,0.38
900,0.57,0.31
1000,0.46,0.34
1100,0.45,0.37
1200,0.4,0.47
1300,0.41,0.38
1400,0.44,0.36
1500,0.45,0.47
