Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.239,0.309,0.00
2,Pursuer,0.435,1.354,0.00
3,Pursuer,0.161,0.094,0.00
4,Pursuer,0.150,0.141,0.00
5,Draw,0.135,0.149,0.00
6,Draw,0.144,0.150,8.76
7,Draw,0.164,0.145,11.34
8,Draw,0.154,0.158,0.00
9,Draw,0.141,0.157,19.96
10,Draw,0.149,0.137,11.82
11,Draw,0.146,0.160,3.76
12,Draw,0.157,0.157,1.38
13,Draw,0.156,0.152,0.00
14,Draw,0.142,0.143,0.00
15,Draw,0.137,0.148,6.50
16,Draw,0.154,0.149,16.10
17,Draw,0.153,0.143,0.00
18,Draw,0.152,0.152,0.00
19,Draw,0.146,0.161,7.74
20,Draw,0.142,0.148,11.48
21,Runner,0.000,0.000,0.00
22,Pursuer,0.000,0.000,0.00
23,Pursuer,0.000,0.000,0.00
24,Draw,0.147,0.147,0.02
25,Draw,0.142,0.160,5.80
26,Draw,0.141,0.156,0.00
27,Draw,0.153,0.145,10.18
28,Draw,0.142,0.158,0.00
29,Draw,0.144,0.151,0.00
30,Draw,0.145,0.141,0.00
31,Draw,0.138,0.147,0.00
32,Draw,0.143,0.144,0.00
33,Draw,0.144,0.156,19.88
34,Draw,0.146,0.148,0.00
35,Draw,0.159,0.153,2.40
36,Draw,0.142,0.139,0.00
37,Draw,0.156,0.152,0.00
38,Draw,0.155,0.150,0.00
39,Draw,0.148,0.144,0.00
40,Pursuer,0.000,0.000,0.00
41,Pursuer,0.000,0.000,0.00
42,Pursuer,0.082,0.122,0.00
43,Pursuer,0.147,0.135,0.00
44,Runner,0.147,0.146,10.04
45,Pursuer,0.142,0.146,0.00
46,Pursuer,0.154,0.147,0.00
47,Draw,0.158,0.144,0.00
48,Draw,0.141,0.152,11.08
49,Draw,0.158,0.146,1.26
50,Draw,0.157,0.161,16.56
51,Draw,0.154,0.143,5.54
52,Draw,0.155,0.153,0.00
53,Draw,0.152,0.139,3.14
54,Draw,0.144,0.147,0.00
55,Draw,0.148,0.151,0.00
56,Draw,0.145,0.157,3.58
57,Draw,0.145,0.157,0.00
58,Draw,0.159,0.148,0.00
59,Draw,0.137,0.154,1.34
60,Draw,0.147,0.146,0.00
61,Draw,0.147,0.142,10.02
62,Runner,0.130,0.077,0.00
63,Pursuer,0.133,0.132,0.00
64,Draw,0.153,0.140,5.90
65,Pursuer,0.165,0.139,0.00
66,Pursuer,0.149,0.141,0.00
67,Draw,0.148,0.144,0.00
68,Draw,0.157,0.157,18.46
69,Draw,0.149,0.153,0.00
70,Draw,0.146,0.155,0.00
71,Draw,0.157,0.145,0.00
72,Draw,0.157,0.160,0.00
73,Draw,0.156,0.141,0.00
74,Draw,0.149,0.153,0.00
75,Draw,0.147,0.150,0.00
76,Draw,0.141,0.150,3.74
77,Draw,0.149,0.174,10.98
78,Draw,0.144,0.148,0.00
79,Draw,0.145,0.144,0.00
80,Draw,0.167,0.144,18.66
81,Pursuer,0.000,0.000,0.00
82,Draw,0.143,0.149,5.28
83,Runner,0.155,0.141,0.00
84,Runner,0.155,0.160,0.00
85,Draw,0.167,0.147,1.46
86,Pursuer,0.157,0.145,0.00
87,Draw,0.156,0.152,12.76
88,Draw,0.144,0.144,0.00
89,Draw,0.149,0.138,10.80
90,Draw,0.145,0.152,0.00
91,Draw,0.158,0.147,0.00
92,Draw,0.154,0.153,0.00
93,Draw,0.156,0.159,19.98
94,Draw,0.159,0.154,0.00
95,Draw,0.156,0.154,0.00
96,Draw,0.153,0.142,0.00
97,Draw,0.143,0.150,0.00
98,Draw,0.136,0.144,0.00
99,Draw,0.143,0.155,0.00
100,Draw,0.142,0.145,0.00
101,Draw,0.147,0.153,0.00
102,Runner,0.148,0.148,0.00
103,Draw,0.148,0.162,0.00
104,Pursuer,0.149,0.152,0.00
105,Draw,0.153,0.155,0.00
106,Draw,0.151,0.164,5.56
107,Draw,0.155,0.165,0.00
108,Draw,0.142,0.157,0.00
109,Draw,0.145,0.148,0.00
110,Draw,0.152,0.156,0.00
111,Draw,0.163,0.163,0.00
112,Draw,0.144,0.152,0.00
113,Draw,0.152,0.146,19.98
114,Draw,0.157,0.146,0.00
115,Draw,0.154,0.146,0.00
116,Pursuer,0.000,0.000,0.00
117,Pursuer,0.000,0.000,0.00
118,Pursuer,0.023,0.161,0.00
119,Draw,0.158,0.166,0.00
120,Draw,0.153,0.151,1.94
121,Draw,0.151,0.159,15.76
122,Draw,0.146,0.135,0.00
123,Pursuer,0.137,0.149,0.00
124,Draw,0.153,0.151,0.00
125,Pursuer,0.145,0.152,0.00
