Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,1.106,0.483,0.00
2,Pursuer,0.907,0.181,0.00
3,Runner,0.033,0.126,0.00
4,Runner,0.341,0.103,0.00
5,Pursuer,0.000,0.000,0.00
6,Runner,0.147,0.165,0.00
7,Draw,0.141,0.146,0.00
8,Draw,0.152,0.142,10.06
9,Draw,0.151,0.154,10.24
10,Draw,0.148,0.148,0.00
11,Draw,0.160,0.148,0.00
12,Draw,0.160,0.149,0.00
13,Draw,0.157,0.152,0.00
14,Draw,0.151,0.157,0.00
15,Draw,0.147,0.146,0.00
16,Draw,0.150,0.152,0.00
17,Draw,0.153,0.147,0.00
18,Draw,0.156,0.153,0.00
19,Draw,0.143,0.151,13.32
20,Pursuer,0.000,0.000,0.00
21,Draw,0.150,0.154,0.00
22,Runner,0.227,0.206,0.00
23,Draw,0.144,0.145,0.06
24,Pursuer,0.137,0.163,0.00
25,Runner,0.123,0.169,0.00
26,Pursuer,0.151,0.138,0.00
27,Pursuer,0.152,0.201,0.00
28,Pursuer,0.165,0.159,0.00
29,Runner,0.173,0.145,6.90
30,Pursuer,0.154,0.154,0.00
31,Draw,0.151,0.138,4.26
32,Draw,0.150,0.155,0.00
33,Draw,0.141,0.143,1.24
34,Draw,0.142,0.162,8.24
35,Draw,0.149,0.152,0.00
36,Draw,0.171,0.154,5.36
37,Draw,0.148,0.146,0.00
38,Draw,0.159,0.159,0.00
39,Draw,0.153,0.150,13.08
40,Draw,0.160,0.148,0.00
41,Draw,0.157,0.141,0.00
42,Pursuer,0.000,0.000,0.00
43,Draw,0.154,0.153,0.00
44,Draw,0.142,0.151,10.10
45,Draw,0.153,0.132,0.00
46,Pursuer,0.139,0.155,0.00
47,Draw,0.149,0.156,12.50
48,Pursuer,0.000,0.000,0.00
49,Runner,0.137,0.164,3.50
50,Draw,0.146,0.144,0.00
51,Pursuer,0.142,0.159,0.00
52,Runner,0.151,0.154,0.00
53,Pursuer,0.000,0.000,0.00
54,Pursuer,0.136,0.153,0.00
55,Draw,0.152,0.143,0.00
56,Runner,0.161,0.157,0.76
57,Draw,0.148,0.146,0.00
58,Draw,0.148,0.145,0.00
59,Draw,0.140,0.139,0.00
60,Draw,0.143,0.150,14.68
61,Draw,0.151,0.136,0.00
62,Draw,0.143,0.139,0.00
63,Draw,0.155,0.158,0.00
64,Draw,0.163,0.145,0.00
65,Pursuer,0.000,0.000,0.00
66,Draw,0.145,0.141,5.26
67,Draw,0.140,0.150,10.30
68,Draw,0.141,0.142,10.62
