Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.670,0.515,0.00
2,Runner,0.178,0.082,0.00
3,Draw,0.149,0.149,0.00
4,Draw,0.143,0.148,18.78
5,Draw,0.147,0.141,0.00
6,Draw,0.162,0.148,19.96
7,Draw,0.150,0.151,0.00
8,Draw,0.144,0.155,0.00
9,Draw,0.154,0.149,0.00
10,Draw,0.161,0.157,18.50
11,Draw,0.150,0.146,0.00
12,Draw,0.137,0.142,0.00
13,Draw,0.145,0.154,0.00
14,Draw,0.142,0.142,0.00
15,Draw,0.152,0.142,0.00
16,Draw,0.137,0.163,0.00
17,Pursuer,0.000,0.000,0.00
18,Pursuer,0.000,0.000,0.00
19,Draw,0.157,0.143,0.00
20,Pursuer,0.164,0.097,0.00
21,Draw,0.148,0.158,0.00
22,Pursuer,0.149,0.145,0.00
23,Pursuer,0.152,0.146,0.00
24,Draw,0.158,0.172,0.00
25,Draw,0.160,0.140,19.90
26,Draw,0.148,0.155,0.00
27,Draw,0.156,0.154,0.00
28,Draw,0.164,0.158,0.00
29,Draw,0.156,0.157,0.00
30,Draw,0.154,0.148,17.16
31,Draw,0.145,0.146,0.00
32,Draw,0.158,0.145,0.00
33,Draw,0.159,0.162,0.00
34,Draw,0.151,0.151,0.00
35,Draw,0.160,0.148,19.98
36,Draw,0.139,0.148,0.00
37,Draw,0.149,0.150,0.00
38,Pursuer,0.140,0.200,0.00
39,Draw,0.152,0.154,0.00
40,Pursuer,0.159,0.157,0.00
41,Runner,0.152,0.129,0.00
42,Draw,0.139,0.142,0.00
43,Draw,0.140,0.145,0.00
44,Draw,0.146,0.144,0.12
45,Draw,0.138,0.152,0.00
46,Draw,0.160,0.158,0.00
47,Draw,0.160,0.160,0.00
48,Draw,0.150,0.156,0.00
49,Draw,0.154,0.171,0.00
50,Draw,0.152,0.153,0.00
51,Draw,0.154,0.154,0.00
52,Pursuer,0.000,0.000,0.00
53,Draw,0.139,0.149,0.00
54,Pursuer,0.000,0.000,0.00
55,Draw,0.153,0.144,5.40
56,Draw,0.157,0.155,8.18
57,Runner,0.000,0.000,0.00
58,Pursuer,0.162,0.131,0.00
59,Draw,0.147,0.148,0.00
60,Pursuer,0.162,0.144,0.00
61,Pursuer,0.149,0.143,0.00
62,Pursuer,0.146,0.157,0.00
63,Draw,0.156,0.169,0.18
64,Runner,0.000,0.000,0.00
65,Draw,0.144,0.153,5.82
66,Draw,0.152,0.146,0.00
67,Draw,0.149,0.146,19.52
68,Draw,0.162,0.142,10.76
69,Draw,0.154,0.153,0.74
70,Draw,0.150,0.147,2.66
71,Draw,0.153,0.147,0.00
72,Draw,0.159,0.156,0.00
73,Draw,0.150,0.149,0.00
74,Draw,0.158,0.168,13.54
75,Runner,0.000,0.000,0.00
76,Draw,0.143,0.147,7.62
77,Draw,0.140,0.147,0.22
78,Draw,0.150,0.153,0.00
79,Draw,0.166,0.144,0.00
80,Draw,0.157,0.144,0.00
81,Draw,0.144,0.143,0.00
82,Draw,0.153,0.145,1.82
83,Draw,0.148,0.143,0.00
84,Draw,0.146,0.149,0.00
85,Draw,0.153,0.152,0.00
86,Draw,0.163,0.162,0.00
87,Draw,0.151,0.150,0.74
88,Draw,0.146,0.141,0.00
89,Draw,0.136,0.147,2.74
90,Draw,0.144,0.150,10.62
91,Runner,0.120,0.077,0.00
92,Draw,0.157,0.142,0.00
93,Runner,0.119,0.115,0.00
94,Draw,0.143,0.147,0.00
95,Draw,0.148,0.160,0.00
96,Pursuer,0.159,0.144,0.00
97,Runner,0.147,0.126,0.00
98,Pursuer,0.138,0.136,0.00
99,Draw,0.154,0.157,15.18
100,Pursuer,0.149,0.136,0.00
101,Draw,0.162,0.142,0.00
102,Pursuer,0.154,0.142,0.00
103,Pursuer,0.214,0.155,0.00
104,Draw,0.148,0.138,0.00
105,Draw,0.151,0.139,17.56
106,Pursuer,0.146,0.151,0.00
107,Draw,0.147,0.147,7.80
108,Draw,0.145,0.148,0.00
109,Draw,0.153,0.156,5.34
110,Draw,0.144,0.147,10.24
111,Draw,0.142,0.147,0.00
112,Pursuer,0.129,0.049,0.00
113,Draw,0.146,0.156,18.26
114,Draw,0.154,0.148,0.00
115,Runner,0.000,0.000,0.00
116,Pursuer,0.133,0.149,0.00
117,Runner,0.366,0.345,0.00
118,Pursuer,0.147,0.116,0.00
119,Draw,0.154,0.152,0.00
120,Draw,0.159,0.142,0.00
121,Draw,0.160,0.152,0.00
122,Draw,0.151,0.145,2.98
123,Draw,0.151,0.144,19.38
124,Draw,0.142,0.146,0.14
125,Runner,0.171,0.140,0.00
126,Draw,0.140,0.143,9.76
127,Draw,0.146,0.168,2.90
128,Draw,0.147,0.150,0.00
129,Draw,0.143,0.149,0.00
130,Draw,0.156,0.158,0.00
131,Draw,0.155,0.162,0.00
132,Draw,0.162,0.141,0.00
133,Draw,0.143,0.159,0.00
134,Draw,0.149,0.144,0.00
135,Pursuer,0.152,0.174,0.00
136,Runner,0.000,0.000,0.02
137,Draw,0.153,0.170,0.00
138,Draw,0.151,0.151,0.00
139,Draw,0.162,0.153,10.12
140,Draw,0.151,0.149,0.00
141,Runner,0.124,0.164,2.24
142,Draw,0.150,0.158,19.04
143,Pursuer,0.143,0.149,0.00
144,Draw,0.146,0.148,11.12
145,Draw,0.141,0.150,0.00
146,Draw,0.158,0.149,0.00
