Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.137,0.108, 0.00
2,Runner,0.500,0.500,0.000,0.152,0.149, 0.00
3,Runner,0.667,0.333,0.000,0.127,0.117, 0.00
4,Pursuer,0.500,0.500,0.000,0.147,0.160, 0.00
5,Pursuer,0.400,0.600,0.000,0.178,0.187, 0.00
6,Draw,0.333,0.500,0.167,0.154,0.147, 0.00
7,Draw,0.286,0.429,0.286,0.152,0.159, 0.00
8,Draw,0.250,0.375,0.375,0.155,0.142, 2.34
9,Draw,0.222,0.333,0.444,0.160,0.144, 0.00
10,Draw,0.200,0.300,0.500,0.151,0.146, 0.00
11,Draw,0.182,0.273,0.545,0.140,0.154, 0.00
12,Draw,0.167,0.250,0.583,0.153,0.153, 0.00
13,Draw,0.154,0.231,0.615,0.147,0.155, 0.00
14,Draw,0.143,0.214,0.643,0.147,0.140, 0.00
15,Draw,0.133,0.200,0.667,0.133,0.147, 0.00
16,Draw,0.125,0.188,0.688,0.148,0.155, 0.00
17,Draw,0.118,0.176,0.706,0.153,0.141, 0.00
18,Draw,0.111,0.167,0.722,0.143,0.138, 0.00
19,Runner,0.158,0.158,0.684,0.000,0.000, 0.00
20,Draw,0.150,0.150,0.700,0.152,0.160, 0.00
21,Runner,0.190,0.143,0.667,0.128,0.129, 0.30
22,Pursuer,0.182,0.182,0.636,0.123,0.158, 0.00
23,Pursuer,0.174,0.217,0.609,0.124,0.178, 0.00
24,Draw,0.167,0.208,0.625,0.149,0.153, 0.00
25,Pursuer,0.160,0.240,0.600,0.143,0.147, 0.00
26,Draw,0.154,0.231,0.615,0.157,0.137, 0.00
27,Draw,0.148,0.222,0.630,0.155,0.150, 0.00
28,Draw,0.143,0.214,0.643,0.154,0.154, 0.00
29,Draw,0.138,0.207,0.655,0.151,0.153, 0.00
30,Draw,0.133,0.200,0.667,0.148,0.155, 0.00
31,Draw,0.129,0.194,0.677,0.141,0.152, 0.00
32,Draw,0.125,0.188,0.688,0.156,0.152, 0.00
33,Draw,0.121,0.182,0.697,0.154,0.141, 0.24
34,Draw,0.118,0.176,0.706,0.163,0.151, 0.00
35,Draw,0.114,0.171,0.714,0.153,0.144, 0.98
36,Draw,0.111,0.167,0.722,0.145,0.142, 0.00
37,Draw,0.108,0.162,0.730,0.150,0.150, 0.00
38,Draw,0.105,0.158,0.737,0.151,0.157, 0.00
39,Draw,0.103,0.154,0.744,0.156,0.153, 0.00
40,Runner,0.125,0.150,0.725,0.157,0.160, 0.00
41,Runner,0.146,0.146,0.707,0.167,0.144, 3.40
42,Draw,0.143,0.143,0.714,0.156,0.150, 0.00
43,Draw,0.140,0.140,0.721,0.151,0.152, 0.00
44,Draw,0.136,0.136,0.727,0.152,0.147, 0.00
45,Draw,0.133,0.133,0.733,0.161,0.157, 0.00
46,Draw,0.130,0.130,0.739,0.151,0.150, 0.00
47,Draw,0.128,0.128,0.745,0.157,0.155, 18.26
48,Draw,0.125,0.125,0.750,0.145,0.150, 0.00
49,Draw,0.122,0.122,0.755,0.152,0.157, 5.60
50,Draw,0.120,0.120,0.760,0.153,0.140, 0.00
51,Draw,0.118,0.118,0.765,0.142,0.136, 0.00
52,Draw,0.115,0.115,0.769,0.150,0.152, 0.00
53,Pursuer,0.113,0.132,0.755,0.000,0.000, 0.00
54,Runner,0.130,0.130,0.741,0.000,0.000, 0.00
55,Draw,0.127,0.127,0.745,0.157,0.139, 0.00
56,Draw,0.125,0.125,0.750,0.146,0.152, 0.00
57,Draw,0.123,0.123,0.754,0.148,0.154, 11.98
58,Pursuer,0.121,0.138,0.741,0.131,0.150, 0.00
59,Pursuer,0.119,0.153,0.729,0.134,0.165, 0.00
60,Pursuer,0.117,0.167,0.717,0.137,0.143, 0.00
61,Draw,0.115,0.164,0.721,0.151,0.145, 0.00
62,Draw,0.113,0.161,0.726,0.144,0.150, 7.82
63,Draw,0.111,0.159,0.730,0.164,0.163, 4.08
64,Draw,0.109,0.156,0.734,0.139,0.142, 0.00
65,Pursuer,0.108,0.169,0.723,0.142,0.150, 0.00
66,Pursuer,0.106,0.182,0.712,0.156,0.162, 0.00
67,Draw,0.104,0.179,0.716,0.141,0.159, 3.64
68,Draw,0.103,0.176,0.721,0.152,0.147, 12.76
69,Draw,0.101,0.174,0.725,0.132,0.140, 0.00
70,Draw,0.100,0.171,0.729,0.138,0.153, 0.00
71,Draw,0.099,0.169,0.732,0.151,0.144, 0.00
72,Draw,0.097,0.167,0.736,0.149,0.148, 12.22
73,Draw,0.096,0.164,0.740,0.149,0.145, 0.00
74,Draw,0.095,0.162,0.743,0.152,0.146, 0.00
75,Draw,0.093,0.160,0.747,0.144,0.153, 0.00
76,Draw,0.092,0.158,0.750,0.151,0.165, 0.00
77,Pursuer,0.091,0.169,0.740,0.114,0.075, 0.00
78,Runner,0.103,0.167,0.731,0.157,0.145, 0.00
79,Draw,0.101,0.165,0.734,0.149,0.148, 19.64
80,Draw,0.100,0.163,0.738,0.165,0.133, 2.54
81,Draw,0.099,0.160,0.741,0.152,0.155, 0.00
82,Draw,0.098,0.159,0.744,0.155,0.147, 0.00
83,Draw,0.096,0.157,0.747,0.140,0.153, 0.00
84,Draw,0.095,0.155,0.750,0.148,0.159, 19.04
85,Draw,0.094,0.153,0.753,0.148,0.165, 0.00
86,Draw,0.093,0.151,0.756,0.169,0.147, 0.00
87,Draw,0.092,0.149,0.759,0.148,0.149, 0.00
88,Draw,0.091,0.148,0.761,0.141,0.135, 0.04
89,Draw,0.090,0.146,0.764,0.148,0.143, 6.38
90,Draw,0.089,0.144,0.767,0.143,0.143, 0.00
91,Pursuer,0.088,0.154,0.758,0.000,0.000, 0.00
92,Draw,0.087,0.152,0.761,0.149,0.155, 0.00
93,Draw,0.086,0.151,0.763,0.143,0.147, 0.22
94,Draw,0.085,0.149,0.766,0.149,0.148, 0.00
95,Draw,0.084,0.147,0.768,0.144,0.141, 0.00
96,Draw,0.083,0.146,0.771,0.166,0.149, 10.28
97,Draw,0.082,0.144,0.773,0.152,0.143, 0.00
98,Draw,0.082,0.143,0.776,0.160,0.156, 16.96
99,Pursuer,0.081,0.152,0.768,0.093,0.178, 0.00
100,Draw,0.080,0.150,0.770,0.143,0.149, 6.38
101,Pursuer,0.079,0.158,0.762,0.149,0.151, 0.00
102,Draw,0.078,0.157,0.765,0.165,0.146, 0.00
103,Runner,0.087,0.155,0.757,0.000,0.000, 0.00
104,Draw,0.087,0.154,0.760,0.141,0.148, 0.00
105,Draw,0.086,0.152,0.762,0.152,0.147, 0.00
106,Draw,0.085,0.151,0.764,0.151,0.146, 19.98
107,Draw,0.084,0.150,0.766,0.163,0.145, 0.00
