Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
108,Draw,0.083,0.148,0.769,0.147,0.135, 0.00
109,Draw,0.083,0.147,0.771,0.146,0.164, 0.00
110,Draw,0.082,0.145,0.773,0.149,0.149, 0.00
111,Draw,0.081,0.144,0.775,0.148,0.148, 19.82
112,Runner,0.089,0.143,0.768,0.000,0.000, 0.00
113,Draw,0.088,0.142,0.770,0.152,0.147, 0.00
114,Draw,0.088,0.140,0.772,0.148,0.143, 7.40
115,Pursuer,0.087,0.148,0.765,0.149,0.143, 0.00
116,Draw,0.086,0.147,0.767,0.134,0.144, 0.00
117,Draw,0.085,0.145,0.769,0.153,0.146, 3.62
118,Runner,0.093,0.144,0.763,0.000,0.000, 0.00
119,Draw,0.092,0.143,0.765,0.155,0.146, 4.02
120,Draw,0.092,0.142,0.767,0.137,0.174, 0.00
121,Draw,0.091,0.140,0.769,0.145,0.146, 7.44
122,Pursuer,0.090,0.148,0.762,0.199,0.078, 0.00
123,Draw,0.089,0.146,0.764,0.132,0.165, 0.00
124,Draw,0.089,0.145,0.766,0.143,0.159, 0.00
125,Draw,0.088,0.144,0.768,0.150,0.144, 0.00
126,Draw,0.087,0.143,0.770,0.142,0.152, 19.98
127,Draw,0.087,0.142,0.772,0.150,0.150, 0.00
128,Draw,0.086,0.141,0.773,0.149,0.142, 4.70
129,Draw,0.085,0.140,0.775,0.160,0.158, 0.00
130,Draw,0.085,0.138,0.777,0.148,0.160, 0.00
131,Draw,0.084,0.137,0.779,0.150,0.148, 0.00
132,Draw,0.083,0.136,0.780,0.148,0.148, 12.30
133,Pursuer,0.083,0.143,0.774,0.141,0.161, 0.00
134,Draw,0.082,0.142,0.776,0.157,0.157, 7.74
135,Pursuer,0.081,0.148,0.770,0.000,0.000, 0.00
136,Pursuer,0.081,0.154,0.765,0.187,0.220, 0.00
137,Draw,0.080,0.153,0.766,0.155,0.160, 0.00
138,Pursuer,0.080,0.159,0.761,0.140,0.142, 0.00
139,Draw,0.079,0.158,0.763,0.149,0.155, 4.30
140,Draw,0.079,0.157,0.764,0.134,0.153, 3.02
141,Draw,0.078,0.156,0.766,0.153,0.160, 0.00
142,Draw,0.077,0.155,0.768,0.154,0.148, 10.00
143,Draw,0.077,0.154,0.769,0.153,0.149, 19.98
144,Draw,0.076,0.153,0.771,0.156,0.156, 9.60
145,Draw,0.076,0.152,0.772,0.148,0.149, 3.14
146,Draw,0.075,0.151,0.774,0.138,0.145, 3.82
147,Draw,0.075,0.150,0.776,0.148,0.158, 0.00
148,Draw,0.074,0.149,0.777,0.151,0.151, 0.00
149,Pursuer,0.074,0.154,0.772,0.155,0.142, 0.00
150,Pursuer,0.073,0.160,0.767,0.145,0.155, 0.00
151,Draw,0.073,0.159,0.768,0.153,0.141, 7.60
152,Pursuer,0.072,0.164,0.763,0.157,0.143, 0.00
153,Pursuer,0.072,0.170,0.758,0.154,0.150, 0.00
154,Draw,0.071,0.169,0.760,0.155,0.149, 0.00
155,Draw,0.071,0.168,0.761,0.156,0.144, 0.00
156,Draw,0.071,0.167,0.763,0.148,0.152, 0.00
157,Draw,0.070,0.166,0.764,0.143,0.152, 7.84
158,Draw,0.070,0.165,0.766,0.152,0.163, 0.00
159,Pursuer,0.069,0.170,0.761,0.144,0.151, 0.00
160,Pursuer,0.069,0.175,0.756,0.118,0.179, 0.00
161,Draw,0.068,0.174,0.758,0.137,0.138, 0.00
162,Draw,0.068,0.173,0.759,0.147,0.143, 0.00
163,Draw,0.067,0.172,0.761,0.155,0.152, 1.26
164,Draw,0.067,0.171,0.762,0.152,0.162, 0.00
165,Draw,0.067,0.170,0.764,0.167,0.145, 0.00
166,Draw,0.066,0.169,0.765,0.151,0.140, 0.00
167,Draw,0.066,0.168,0.766,0.145,0.146, 0.00
168,Runner,0.071,0.167,0.762,0.144,0.142, 6.88
169,Draw,0.071,0.166,0.763,0.156,0.150, 0.00
170,Pursuer,0.071,0.171,0.759,0.161,0.153, 0.00
171,Draw,0.070,0.170,0.760,0.149,0.157, 0.00
172,Draw,0.070,0.169,0.762,0.151,0.162, 12.32
173,Draw,0.069,0.168,0.763,0.139,0.149, 0.00
174,Runner,0.075,0.167,0.759,0.164,0.091, 0.00
175,Draw,0.074,0.166,0.760,0.139,0.140, 19.24
176,Draw,0.074,0.165,0.761,0.153,0.147, 0.00
177,Runner,0.079,0.164,0.757,0.156,0.139, 0.00
178,Draw,0.079,0.163,0.758,0.152,0.152, 2.14
179,Draw,0.078,0.162,0.760,0.147,0.155, 0.00
180,Draw,0.078,0.161,0.761,0.147,0.153, 0.00
181,Pursuer,0.077,0.166,0.757,0.161,0.155, 0.00
182,Pursuer,0.077,0.170,0.753,0.154,0.146, 0.00
183,Pursuer,0.077,0.175,0.749,0.136,0.152, 0.00
184,Runner,0.082,0.174,0.745,0.153,0.160, 5.00
185,Draw,0.081,0.173,0.746,0.154,0.152, 0.00
186,Draw,0.081,0.172,0.747,0.143,0.155, 0.46
187,Pursuer,0.080,0.176,0.743,0.130,0.044, 0.00
188,Draw,0.080,0.176,0.745,0.148,0.146, 17.86
189,Draw,0.079,0.175,0.746,0.154,0.147, 8.56
190,Draw,0.079,0.174,0.747,0.163,0.155, 0.10
191,Draw,0.079,0.173,0.749,0.139,0.146, 8.66
192,Draw,0.078,0.172,0.750,0.142,0.141, 0.00
193,Runner,0.083,0.171,0.746,0.000,0.000, 0.00
194,Draw,0.082,0.170,0.747,0.149,0.142, 2.78
195,Draw,0.082,0.169,0.749,0.143,0.149, 0.52
196,Draw,0.082,0.168,0.750,0.149,0.157, 2.42
197,Draw,0.081,0.168,0.751,0.153,0.147, 6.86
198,Draw,0.081,0.167,0.753,0.155,0.148, 0.00
199,Pursuer,0.080,0.171,0.749,0.097,0.320, 0.00
200,Draw,0.080,0.170,0.750,0.154,0.156, 0.00
201,Draw,0.080,0.169,0.751,0.150,0.141, 0.00
202,Draw,0.079,0.168,0.752,0.155,0.155, 6.74
203,Draw,0.079,0.167,0.754,0.163,0.135, 17.38
204,Draw,0.078,0.167,0.755,0.141,0.149, 0.00
205,Draw,0.078,0.166,0.756,0.142,0.134, 4.84
206,Pursuer,0.078,0.170,0.752,0.140,0.148, 0.00
207,Pursuer,0.077,0.174,0.749,0.050,0.363, 0.00
208,Pursuer,0.077,0.178,0.745,0.123,0.190, 0.00
209,Runner,0.081,0.177,0.742,0.150,0.153, 17.24
210,Runner,0.086,0.176,0.738,0.162,0.147, 0.00
