Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
100,0.07,0.13,0.8,0.1498827,0.1441728,1.867608
200,0.13,0.16,0.71,0.1406753,0.1377487,2.754024
