Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
100,0.08,0.15,0.77,0.1421216,0.1428895,1.651012
200,0.08,0.19,0.73,0.1418771,0.1428932,2.713617
