Episode,RunnerAcc,PursuerAcc
100,0.12,0.13
200,0.13,0.21
300,0.17,0.32
400,0.22,0.32
500,0.28,0.47
600,0.28,0.48
700,0.29,0.5
800,0.29,0.49
900,0.24,0.58
1000,0.3,0.61
1100,0.39,0.43
1200,0.38,0.47
1300,0.31,0.57
1400,0.38,0.5
1500,0.41,0.52
1600,0.49,0.46
1700,0.41,0.56
1800,0.43,0.55
1900,0.36,0.54
2000,0.45,0.47
2100,0.41,0.55
2200,0.44,0.52
2300,0.4,0.49
2400,0.44,0.49
2500,0.34,0.62
2600,0.42,0.53
2700,0.4,0.55
2800,0.42,0.51
2900,0.47,0.47
3000,0.48,0.51
3100,0.43,0.5
3200,0.37,0.59
3300,0.48,0.47
3400,0.39,0.55
3500,0.45,0.53
3600,0.39,0.58
3700,0.38,0.56
3800,0.46,0.51
3900,0.46,0.53
4000,0.39,0.58
4100,0.39,0.57
4200,0.48,0.5
4300,0.46,0.51
4400,0.48,0.47
4500,0.43,0.56
4600,0.49,0.48
4700,0.49,0.49
4800,0.48,0.47
4900,0.39,0.54
5000,0.41,0.53
5100,0.39,0.55
5200,0.46,0.49
5300,0.46,0.52
5400,0.43,0.52
5500,0.49,0.47
5600,0.54,0.45
5700,0.44,0.53
5800,0.33,0.62
5900,0.37,0.62
6000,0.44,0.5
6100,0.43,0.5
6200,0.55,0.42
6300,0.42,0.55
6400,0.48,0.5
6500,0.4,0.52
6600,0.43,0.5
6700,0.4,0.55
6800,0.38,0.56
6900,0.51,0.44
7000,0.41,0.57
7100,0.46,0.53
7200,0.43,0.51
7300,0.53,0.44
7400,0.46,0.5
7500,0.41,0.55
7600,0.46,0.5
7700,0.47,0.51
7800,0.42,0.53
7900,0.5,0.48
8000,0.59,0.39
8100,0.6,0.37
8200,0.43,0.52
8300,0.53,0.44
8400,0.44,0.55
8500,0.34,0.63
8600,0.46,0.5
8700,0.51,0.45
8800,0.5,0.5
8900,0.48,0.48
9000,0.41,0.58
9100,0.51,0.46
9200,0.51,0.46
9300,0.49,0.48
9400,0.45,0.52
9500,0.5,0.48
9600,0.42,0.54
9700,0.54,0.45
9800,0.51,0.48
9900,0.37,0.58
10000,0.52,0.44
10100,0.48,0.47
10200,0.49,0.48
10300,0.52,0.44
10400,0.44,0.5
10500,0.42,0.56
10600,0.46,0.51
10700,0.44,0.52
10800,0.48,0.47
10900,0.59,0.4
11000,0.57,0.4
11100,0.43,0.51
11200,0.5,0.47
11300,0.47,0.47
11400,0.47,0.49
11500,0.48,0.48
11600,0.46,0.52
11700,0.42,0.57
11800,0.54,0.43
11900,0.47,0.48
12000,0.48,0.5
12100,0.4,0.56
12200,0.56,0.39
12300,0.44,0.51
12400,0.42,0.52
12500,0.54,0.46
12600,0.5,0.46
12700,0.52,0.42
12800,0.47,0.5
12900,0.57,0.43
13000,0.5,0.45
13100,0.49,0.46
13200,0.54,0.45
13300,0.51,0.46
13400,0.46,0.49
13500,0.52,0.44
13600,0.49,0.49
13700,0.52,0.44
