Episode,Winner,RunnerAcc,PursuerAcc,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.317,0.307,0.00
2,Pursuer,0.000,1.000,0.109,0.128,0.00
3,Pursuer,0.000,1.000,0.135,0.148,0.00
4,Draw,0.000,0.750,0.147,0.150,0.00
5,Draw,0.000,0.600,0.141,0.154,0.00
6,Draw,0.000,0.500,0.161,0.147,12.08
7,Draw,0.000,0.429,0.149,0.152,0.00
8,Draw,0.000,0.375,0.151,0.140,0.00
9,Draw,0.000,0.333,0.164,0.150,0.00
10,Draw,0.000,0.300,0.142,0.142,0.00
11,Draw,0.000,0.273,0.151,0.151,3.70
12,Draw,0.000,0.250,0.158,0.160,0.00
13,Draw,0.000,0.231,0.154,0.150,0.00
14,Draw,0.000,0.214,0.140,0.145,0.00
15,Draw,0.000,0.200,0.157,0.155,0.00
16,Draw,0.000,0.188,0.143,0.147,18.46
17,Pursuer,0.000,0.235,0.000,0.000,0.00
18,Draw,0.000,0.222,0.137,0.154,0.00
19,Draw,0.000,0.211,0.145,0.144,3.14
20,Runner,0.050,0.200,0.083,0.019,0.04
21,Pursuer,0.048,0.238,0.156,0.128,0.00
22,Pursuer,0.045,0.273,0.129,0.077,0.00
23,Draw,0.043,0.261,0.147,0.145,2.02
24,Draw,0.042,0.250,0.142,0.161,0.00
25,Draw,0.040,0.240,0.160,0.146,0.00
26,Draw,0.038,0.231,0.143,0.148,0.00
27,Draw,0.037,0.222,0.147,0.161,0.00
28,Draw,0.036,0.214,0.138,0.139,2.38
29,Draw,0.034,0.207,0.158,0.139,17.24
30,Draw,0.033,0.200,0.142,0.139,19.98
31,Draw,0.032,0.194,0.137,0.147,0.00
32,Draw,0.031,0.188,0.161,0.145,0.00
33,Draw,0.030,0.182,0.156,0.138,0.00
34,Draw,0.029,0.176,0.151,0.155,6.58
35,Runner,0.057,0.171,0.000,0.000,0.00
36,Draw,0.056,0.167,0.161,0.153,3.20
37,Draw,0.054,0.162,0.163,0.150,0.00
38,Draw,0.053,0.158,0.153,0.136,0.00
39,Pursuer,0.051,0.179,0.179,0.139,0.00
40,Runner,0.075,0.175,0.148,0.139,3.86
41,Draw,0.073,0.171,0.159,0.142,6.92
42,Draw,0.071,0.167,0.150,0.153,0.00
43,Runner,0.093,0.163,0.149,0.166,0.00
44,Draw,0.091,0.159,0.143,0.144,0.00
45,Draw,0.089,0.156,0.146,0.152,19.98
46,Draw,0.087,0.152,0.147,0.155,0.00
47,Draw,0.085,0.149,0.159,0.169,0.00
48,Draw,0.083,0.146,0.153,0.146,0.00
49,Draw,0.082,0.143,0.149,0.147,0.00
50,Draw,0.080,0.140,0.157,0.154,0.00
51,Draw,0.078,0.137,0.153,0.151,0.00
52,Draw,0.077,0.135,0.152,0.148,0.00
53,Draw,0.075,0.132,0.156,0.154,0.00
54,Draw,0.074,0.130,0.151,0.149,0.00
55,Draw,0.073,0.127,0.143,0.156,13.70
56,Draw,0.071,0.125,0.153,0.148,0.00
57,Draw,0.070,0.123,0.148,0.153,4.84
58,Draw,0.069,0.121,0.142,0.151,1.68
59,Pursuer,0.068,0.136,0.145,0.172,0.00
60,Runner,0.083,0.133,0.151,0.140,0.00
61,Pursuer,0.082,0.148,0.140,0.145,0.00
62,Runner,0.097,0.145,0.143,0.139,0.00
63,Draw,0.095,0.143,0.142,0.149,0.00
64,Draw,0.094,0.141,0.167,0.144,0.00
65,Draw,0.092,0.138,0.156,0.141,0.00
66,Draw,0.091,0.136,0.149,0.147,0.00
67,Draw,0.090,0.134,0.141,0.149,4.06
68,Draw,0.088,0.132,0.140,0.159,18.88
69,Draw,0.087,0.130,0.153,0.155,0.00
70,Draw,0.086,0.129,0.139,0.146,13.60
71,Draw,0.085,0.127,0.146,0.138,0.00
72,Draw,0.083,0.125,0.150,0.155,16.42
73,Runner,0.096,0.123,0.135,0.185,0.00
74,Draw,0.095,0.122,0.140,0.160,0.00
75,Draw,0.093,0.120,0.164,0.156,0.00
76,Runner,0.105,0.118,0.140,0.178,5.86
77,Draw,0.104,0.117,0.139,0.139,18.96
78,Pursuer,0.103,0.128,0.000,0.000,0.00
79,Draw,0.101,0.127,0.140,0.159,0.00
80,Pursuer,0.100,0.138,0.155,0.131,0.00
81,Runner,0.111,0.136,0.140,0.151,0.00
82,Pursuer,0.110,0.146,0.140,0.156,0.00
83,Runner,0.120,0.145,0.000,0.000,0.00
84,Draw,0.119,0.143,0.159,0.157,0.24
85,Draw,0.118,0.141,0.145,0.143,0.00
86,Draw,0.116,0.140,0.155,0.154,19.98
87,Draw,0.115,0.138,0.161,0.146,0.00
88,Draw,0.114,0.136,0.148,0.148,0.00
89,Draw,0.112,0.135,0.144,0.149,0.00
90,Draw,0.111,0.133,0.156,0.139,0.00
91,Draw,0.110,0.132,0.142,0.145,0.00
92,Draw,0.109,0.130,0.162,0.147,0.00
93,Pursuer,0.108,0.140,0.103,0.155,0.00
94,Runner,0.117,0.138,0.168,0.154,0.00
95,Draw,0.116,0.137,0.145,0.152,0.00
96,Draw,0.115,0.135,0.151,0.147,2.78
