Episode,RunnerAcc,PursuerAcc
100,0.1,0.2
200,0.12,0.25
300,0.16,0.32
400,0.2,0.33
500,0.21,0.45
600,0.17,0.53
700,0.32,0.41
800,0.27,0.47
900,0.44,0.35
1000,0.38,0.44
1100,0.41,0.4
1200,0.45,0.31
1300,0.43,0.42
1400,0.4,0.36
1500,0.43,0.42
1600,0.53,0.37
1700,0.52,0.35
1800,0.5,0.37
1900,0.57,0.3
2000,0.54,0.33
2100,0.54,0.34
2200,0.5,0.41
2300,0.52,0.38
2400,0.66,0.28
2500,0.53,0.37
2600,0.53,0.38
2700,0.56,0.34
2800,0.48,0.42
2900,0.53,0.37
3000,0.51,0.4
3100,0.59,0.32
3200,0.53,0.37
3300,0.52,0.39
3400,0.54,0.33
3500,0.64,0.28
3600,0.59,0.32
3700,0.69,0.25
3800,0.61,0.28
3900,0.58,0.32
4000,0.52,0.38
4100,0.53,0.36
4200,0.64,0.26
4300,0.59,0.3
4400,0.59,0.31
4500,0.66,0.23
4600,0.59,0.35
4700,0.57,0.34
4800,0.56,0.34
4900,0.62,0.3
5000,0.54,0.38
5100,0.59,0.29
5200,0.6,0.32
5300,0.61,0.31
5400,0.61,0.34
5500,0.72,0.21
5600,0.68,0.26
5700,0.71,0.24
5800,0.6,0.31
5900,0.61,0.3
6000,0.62,0.34
6100,0.63,0.3
6200,0.67,0.25
6300,0.57,0.37
6400,0.63,0.29
6500,0.7,0.22
6600,0.66,0.23
6700,0.57,0.37
6800,0.57,0.37
6900,0.61,0.3
7000,0.65,0.26
7100,0.59,0.34
7200,0.55,0.38
7300,0.55,0.34
7400,0.57,0.36
7500,0.57,0.31
7600,0.64,0.29
7700,0.62,0.27
7800,0.6,0.33
7900,0.58,0.33
8000,0.61,0.31
8100,0.7,0.23
8200,0.64,0.25
8300,0.64,0.3
8400,0.53,0.38
8500,0.61,0.25
8600,0.59,0.31
8700,0.68,0.27
8800,0.6,0.29
8900,0.57,0.36
9000,0.61,0.3
9100,0.61,0.28
9200,0.65,0.31
9300,0.59,0.34
9400,0.68,0.26
9500,0.59,0.3
9600,0.59,0.29
9700,0.65,0.27
9800,0.63,0.32
9900,0.6,0.32
10000,0.66,0.28
10100,0.53,0.37
10200,0.58,0.33
10300,0.63,0.29
10400,0.63,0.31
10500,0.68,0.24
10600,0.69,0.22
10700,0.68,0.26
10800,0.65,0.28
10900,0.69,0.23
