Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.147,0.357,0.00,1.00
2,Pursuer,0.500,0.500,0.000,0.159,0.156,0.00,827.00
3,Draw,0.333,0.333,0.333,0.136,0.160,0.00,999.00
4,Draw,0.250,0.250,0.500,0.147,0.148,0.00,999.00
5,Draw,0.200,0.200,0.600,0.156,0.151,0.00,999.00
6,Draw,0.167,0.167,0.667,0.161,0.159,0.00,999.00
7,Draw,0.143,0.143,0.714,0.161,0.149,2.88,999.00
8,Draw,0.125,0.125,0.750,0.153,0.154,0.00,999.00
9,Draw,0.111,0.111,0.778,0.155,0.149,0.00,999.00
10,Draw,0.100,0.100,0.800,0.152,0.148,0.00,999.00
11,Draw,0.091,0.091,0.818,0.145,0.143,5.46,999.00
12,Draw,0.083,0.083,0.833,0.143,0.145,5.32,999.00
13,Draw,0.077,0.077,0.846,0.155,0.145,0.00,999.00
14,Draw,0.071,0.071,0.857,0.145,0.154,18.12,999.00
15,Draw,0.067,0.067,0.867,0.150,0.134,0.00,999.00
16,Draw,0.063,0.063,0.875,0.141,0.142,4.24,999.00
17,Draw,0.059,0.059,0.882,0.159,0.141,0.00,999.00
18,Runner,0.111,0.056,0.833,0.117,0.144,0.10,31.00
19,Pursuer,0.105,0.105,0.789,0.150,0.129,0.00,62.00
20,Runner,0.150,0.100,0.750,0.157,0.157,0.00,811.00
21,Draw,0.143,0.095,0.762,0.160,0.144,0.00,999.00
22,Pursuer,0.136,0.136,0.727,0.000,0.000,0.00,0.00
23,Runner,0.174,0.130,0.696,0.081,0.045,0.12,6.00
24,Runner,0.208,0.125,0.667,0.145,0.150,0.00,833.00
25,Pursuer,0.200,0.160,0.640,0.156,0.137,0.00,872.00
26,Draw,0.192,0.154,0.654,0.152,0.147,2.00,999.00
27,Draw,0.185,0.148,0.667,0.159,0.134,0.00,999.00
28,Draw,0.179,0.143,0.679,0.156,0.147,6.48,999.00
29,Draw,0.172,0.138,0.690,0.143,0.134,11.40,999.00
30,Draw,0.167,0.133,0.700,0.140,0.134,0.00,999.00
31,Draw,0.161,0.129,0.710,0.153,0.159,0.00,999.00
32,Draw,0.156,0.125,0.719,0.151,0.138,0.00,999.00
33,Draw,0.152,0.121,0.727,0.160,0.149,0.00,999.00
34,Draw,0.147,0.118,0.735,0.148,0.159,0.00,999.00
35,Draw,0.143,0.114,0.743,0.155,0.154,0.00,999.00
36,Pursuer,0.139,0.139,0.722,0.163,0.139,0.00,14.00
37,Draw,0.135,0.135,0.730,0.149,0.148,0.00,999.00
38,Draw,0.132,0.132,0.737,0.150,0.150,0.00,999.00
39,Runner,0.154,0.128,0.718,0.163,0.131,4.70,239.00
40,Runner,0.175,0.125,0.700,0.142,0.130,0.00,265.00
41,Draw,0.171,0.122,0.707,0.148,0.141,0.00,999.00
42,Draw,0.167,0.119,0.714,0.157,0.140,0.00,999.00
43,Draw,0.163,0.116,0.721,0.144,0.141,3.84,999.00
44,Draw,0.159,0.114,0.727,0.149,0.148,0.00,999.00
45,Pursuer,0.156,0.133,0.711,0.128,0.145,0.00,103.00
46,Draw,0.152,0.130,0.717,0.140,0.152,0.00,999.00
47,Draw,0.149,0.128,0.723,0.139,0.153,16.78,999.00
48,Draw,0.146,0.125,0.729,0.146,0.154,0.00,999.00
49,Draw,0.143,0.122,0.735,0.146,0.155,0.00,999.00
50,Draw,0.140,0.120,0.740,0.162,0.150,0.00,999.00
51,Draw,0.137,0.118,0.745,0.156,0.139,0.00,999.00
52,Draw,0.135,0.115,0.750,0.158,0.139,0.00,999.00
53,Draw,0.132,0.113,0.755,0.147,0.153,6.22,999.00
54,Draw,0.130,0.111,0.759,0.133,0.159,8.14,999.00
55,Draw,0.127,0.109,0.764,0.148,0.150,0.00,999.00
56,Draw,0.125,0.107,0.768,0.149,0.147,13.76,999.00
57,Draw,0.123,0.105,0.772,0.154,0.150,0.00,999.00
58,Runner,0.138,0.103,0.759,0.141,0.120,1.20,60.00
59,Pursuer,0.136,0.119,0.746,0.147,0.152,0.00,343.00
60,Runner,0.150,0.117,0.733,0.162,0.150,5.70,452.00
61,Pursuer,0.148,0.131,0.721,0.153,0.158,0.00,816.00
62,Runner,0.161,0.129,0.710,0.164,0.166,10.34,762.00
63,Draw,0.159,0.127,0.714,0.155,0.159,0.00,999.00
64,Draw,0.156,0.125,0.719,0.151,0.151,0.00,999.00
65,Draw,0.154,0.123,0.723,0.152,0.148,18.78,999.00
66,Draw,0.152,0.121,0.727,0.133,0.160,14.56,999.00
67,Draw,0.149,0.119,0.731,0.152,0.142,0.00,999.00
68,Draw,0.147,0.118,0.735,0.150,0.150,0.00,999.00
69,Draw,0.145,0.116,0.739,0.152,0.157,0.00,999.00
70,Draw,0.143,0.114,0.743,0.148,0.141,0.00,999.00
71,Draw,0.141,0.113,0.746,0.156,0.162,0.00,999.00
