Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.088,0.454,0.00,1.00
2,Pursuer,0.500,0.500,0.000,0.148,0.141,0.00,401.00
3,Pursuer,0.333,0.667,0.000,0.155,0.149,0.00,457.00
4,Pursuer,0.250,0.750,0.000,0.157,0.144,0.00,246.00
5,Draw,0.200,0.600,0.200,0.147,0.141,0.00,999.00
6,Draw,0.167,0.500,0.333,0.154,0.155,0.00,999.00
7,Draw,0.143,0.429,0.429,0.142,0.160,0.00,999.00
8,Draw,0.125,0.375,0.500,0.151,0.150,15.32,999.00
9,Draw,0.111,0.333,0.556,0.148,0.153,5.08,999.00
10,Draw,0.100,0.300,0.600,0.147,0.168,0.00,999.00
11,Draw,0.091,0.273,0.636,0.138,0.150,0.00,999.00
12,Draw,0.083,0.250,0.667,0.150,0.135,4.82,999.00
13,Draw,0.077,0.231,0.692,0.159,0.148,1.90,999.00
14,Draw,0.071,0.214,0.714,0.151,0.159,0.00,999.00
15,Draw,0.067,0.200,0.733,0.150,0.160,0.00,999.00
16,Draw,0.063,0.188,0.750,0.142,0.136,5.04,999.00
17,Draw,0.059,0.176,0.765,0.160,0.149,0.00,999.00
18,Pursuer,0.056,0.222,0.722,0.000,0.000,0.00,0.00
19,Draw,0.053,0.211,0.737,0.158,0.136,0.00,999.00
20,Pursuer,0.050,0.250,0.700,0.000,0.000,0.00,1.00
21,Runner,0.095,0.238,0.667,0.158,0.138,2.06,103.00
22,Runner,0.136,0.227,0.636,0.065,0.104,0.00,6.00
23,Pursuer,0.130,0.261,0.609,0.150,0.138,0.00,160.00
24,Runner,0.167,0.250,0.583,0.000,0.000,0.00,1.00
25,Draw,0.160,0.240,0.600,0.138,0.151,0.00,999.00
26,Pursuer,0.154,0.269,0.577,0.142,0.139,0.00,505.00
27,Pursuer,0.148,0.296,0.556,0.161,0.155,0.00,560.00
28,Pursuer,0.143,0.321,0.536,0.142,0.150,0.00,503.00
29,Draw,0.138,0.310,0.552,0.149,0.147,0.00,999.00
30,Pursuer,0.133,0.333,0.533,0.121,0.174,0.00,94.00
31,Runner,0.161,0.323,0.516,0.129,0.058,0.12,6.00
32,Draw,0.156,0.313,0.531,0.144,0.151,0.00,999.00
