Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Runner,1.000,0.000,0.000,0.132,0.154,1.58,80.00
2,Draw,0.500,0.000,0.500,0.154,0.145,0.00,999.00
3,Draw,0.333,0.000,0.667,0.142,0.169,0.00,999.00
4,Draw,0.250,0.000,0.750,0.139,0.137,0.00,999.00
5,Draw,0.200,0.000,0.800,0.146,0.146,0.00,999.00
6,Draw,0.167,0.000,0.833,0.153,0.151,0.00,999.00
7,Draw,0.143,0.000,0.857,0.153,0.151,18.16,999.00
8,Draw,0.125,0.000,0.875,0.159,0.138,0.82,999.00
9,Draw,0.111,0.000,0.889,0.145,0.156,0.06,999.00
10,Draw,0.100,0.000,0.900,0.142,0.143,0.00,999.00
11,Draw,0.091,0.000,0.909,0.153,0.154,0.00,999.00
12,Draw,0.083,0.000,0.917,0.149,0.152,2.42,999.00
13,Draw,0.077,0.000,0.923,0.156,0.138,0.00,999.00
14,Draw,0.071,0.000,0.929,0.143,0.136,18.34,999.00
15,Draw,0.067,0.000,0.933,0.153,0.140,0.00,999.00
16,Draw,0.063,0.000,0.938,0.167,0.151,13.04,999.00
17,Pursuer,0.059,0.059,0.882,0.000,0.000,0.00,0.00
18,Runner,0.111,0.056,0.833,0.193,0.090,0.06,3.00
19,Draw,0.105,0.053,0.842,0.139,0.152,0.00,999.00
20,Pursuer,0.100,0.100,0.800,0.144,0.155,0.00,543.00
21,Pursuer,0.095,0.143,0.762,0.148,0.159,0.00,744.00
22,Runner,0.136,0.136,0.727,0.000,0.000,0.00,1.00
23,Draw,0.130,0.130,0.739,0.151,0.150,0.00,999.00
24,Draw,0.125,0.125,0.750,0.157,0.151,13.40,999.00
25,Draw,0.120,0.120,0.760,0.138,0.146,0.00,999.00
26,Draw,0.115,0.115,0.769,0.160,0.148,0.00,999.00
27,Draw,0.111,0.111,0.778,0.150,0.165,0.00,999.00
28,Draw,0.107,0.107,0.786,0.152,0.146,0.58,999.00
29,Draw,0.103,0.103,0.793,0.138,0.130,0.00,999.00
30,Draw,0.100,0.100,0.800,0.153,0.147,0.00,999.00
31,Draw,0.097,0.097,0.806,0.146,0.145,0.00,999.00
32,Draw,0.094,0.094,0.813,0.142,0.146,0.00,999.00
33,Draw,0.091,0.091,0.818,0.149,0.154,0.00,999.00
34,Draw,0.088,0.088,0.824,0.137,0.157,0.00,999.00
35,Runner,0.114,0.086,0.800,0.000,0.000,0.00,0.00
36,Runner,0.139,0.083,0.778,0.000,0.000,0.00,0.00
37,Pursuer,0.135,0.108,0.757,0.000,0.000,0.00,0.00
38,Draw,0.132,0.105,0.763,0.152,0.144,9.16,999.00
39,Draw,0.128,0.103,0.769,0.150,0.147,12.40,999.00
40,Draw,0.125,0.100,0.775,0.148,0.134,0.00,999.00
41,Draw,0.122,0.098,0.780,0.154,0.152,0.00,999.00
42,Pursuer,0.119,0.119,0.762,0.154,0.153,0.00,767.00
43,Runner,0.140,0.116,0.744,0.142,0.138,18.68,934.00
44,Draw,0.136,0.114,0.750,0.152,0.155,3.50,999.00
45,Draw,0.133,0.111,0.756,0.148,0.152,0.00,999.00
46,Draw,0.130,0.109,0.761,0.165,0.147,0.00,999.00
47,Draw,0.128,0.106,0.766,0.151,0.151,3.12,999.00
48,Draw,0.125,0.104,0.771,0.149,0.149,4.68,999.00
49,Draw,0.122,0.102,0.776,0.143,0.150,4.62,999.00
50,Draw,0.120,0.100,0.780,0.151,0.140,0.00,999.00
51,Draw,0.118,0.098,0.784,0.168,0.169,14.64,999.00
52,Draw,0.115,0.096,0.788,0.161,0.143,0.00,999.00
53,Draw,0.113,0.094,0.792,0.150,0.142,0.00,999.00
54,Runner,0.130,0.093,0.778,0.000,0.000,0.00,0.00
55,Draw,0.127,0.091,0.782,0.150,0.141,0.00,999.00
56,Draw,0.125,0.089,0.786,0.152,0.151,0.00,999.00
57,Pursuer,0.123,0.105,0.772,0.125,0.154,0.00,193.00
58,Pursuer,0.121,0.121,0.759,0.145,0.145,0.00,735.00
59,Pursuer,0.119,0.136,0.746,0.147,0.137,0.00,499.00
60,Pursuer,0.117,0.150,0.733,0.034,0.074,0.00,8.00
61,Runner,0.131,0.148,0.721,0.152,0.137,0.00,536.00
62,Runner,0.145,0.145,0.710,0.171,0.139,1.96,569.00
63,Draw,0.143,0.143,0.714,0.159,0.149,0.00,999.00
64,Draw,0.141,0.141,0.719,0.156,0.155,8.30,999.00
65,Runner,0.154,0.138,0.708,0.143,0.155,1.40,809.00
66,Runner,0.167,0.136,0.697,0.166,0.152,4.78,818.00
67,Draw,0.164,0.134,0.701,0.154,0.145,0.00,999.00
68,Draw,0.162,0.132,0.706,0.150,0.166,0.00,999.00
69,Draw,0.159,0.130,0.710,0.141,0.151,0.00,999.00
70,Draw,0.157,0.129,0.714,0.158,0.137,0.00,999.00
71,Draw,0.155,0.127,0.718,0.146,0.141,0.00,999.00
72,Draw,0.153,0.125,0.722,0.151,0.147,0.00,999.00
73,Pursuer,0.151,0.137,0.712,0.000,0.000,0.00,0.00
74,Pursuer,0.149,0.149,0.703,0.000,0.000,0.00,0.00
75,Draw,0.147,0.147,0.707,0.164,0.143,18.12,999.00
76,Runner,0.158,0.145,0.697,0.191,0.161,1.84,100.00
77,Draw,0.156,0.143,0.701,0.143,0.149,0.00,999.00
78,Draw,0.154,0.141,0.705,0.154,0.147,0.00,999.00
79,Pursuer,0.152,0.152,0.696,0.141,0.152,0.00,744.00
80,Draw,0.150,0.150,0.700,0.151,0.148,0.00,999.00
81,Draw,0.148,0.148,0.704,0.141,0.146,19.16,999.00
82,Draw,0.146,0.146,0.707,0.136,0.150,7.48,999.00
83,Draw,0.145,0.145,0.711,0.150,0.141,0.00,999.00
84,Draw,0.143,0.143,0.714,0.141,0.151,0.00,999.00
85,Draw,0.141,0.141,0.718,0.154,0.137,0.00,999.00
86,Runner,0.151,0.140,0.709,0.183,0.170,0.00,22.00
87,Pursuer,0.149,0.149,0.701,0.383,0.782,0.00,1.00
88,Pursuer,0.148,0.159,0.693,0.157,0.141,0.00,932.00
89,Draw,0.146,0.157,0.697,0.154,0.137,8.94,999.00
90,Draw,0.144,0.156,0.700,0.142,0.136,0.00,999.00
91,Draw,0.143,0.154,0.703,0.150,0.149,0.00,999.00
92,Draw,0.141,0.152,0.707,0.144,0.150,0.00,999.00
93,Runner,0.151,0.151,0.699,0.112,0.229,0.00,38.00
94,Draw,0.149,0.149,0.702,0.149,0.146,0.00,999.00
95,Pursuer,0.147,0.158,0.695,0.000,0.000,0.00,0.00
96,Draw,0.146,0.156,0.698,0.151,0.153,0.00,999.00
97,Draw,0.144,0.155,0.701,0.156,0.142,3.84,999.00
98,Draw,0.143,0.153,0.704,0.158,0.147,0.00,999.00
99,Draw,0.141,0.152,0.707,0.146,0.147,0.00,999.00
100,Pursuer,0.140,0.160,0.700,0.000,0.000,0.00,0.00
101,Runner,0.149,0.158,0.693,0.153,0.152,0.00,575.00
102,Draw,0.147,0.157,0.696,0.150,0.141,0.00,999.00
103,Draw,0.146,0.155,0.699,0.151,0.143,1.28,999.00
104,Pursuer,0.144,0.163,0.692,0.184,0.147,0.00,90.00
105,Pursuer,0.143,0.171,0.686,0.152,0.134,0.00,832.00
106,Draw,0.142,0.170,0.689,0.157,0.140,0.00,999.00
107,Draw,0.140,0.168,0.692,0.154,0.155,12.58,999.00
108,Pursuer,0.139,0.176,0.685,0.000,0.000,0.00,0.00
