Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Pursuer,0.000,1.000,0.000,0.171,0.157,0.00,127.00
2,Pursuer,0.000,1.000,0.000,0.157,0.149,0.00,276.00
3,Pursuer,0.000,1.000,0.000,0.152,0.147,0.00,401.00
4,Runner,0.250,0.750,0.000,0.155,0.150,0.66,450.00
5,Pursuer,0.200,0.800,0.000,0.085,0.645,0.00,1.00
6,Runner,0.333,0.667,0.000,0.160,0.148,0.00,511.00
7,Draw,0.286,0.571,0.143,0.149,0.156,0.00,999.00
8,Draw,0.250,0.500,0.250,0.145,0.139,0.00,999.00
9,Draw,0.222,0.444,0.333,0.150,0.148,0.00,999.00
10,Draw,0.200,0.400,0.400,0.159,0.148,0.00,999.00
11,Draw,0.182,0.364,0.455,0.151,0.152,0.00,999.00
12,Draw,0.167,0.333,0.500,0.143,0.144,0.00,999.00
13,Draw,0.154,0.308,0.538,0.156,0.162,0.00,999.00
14,Draw,0.143,0.286,0.571,0.150,0.149,0.00,999.00
15,Draw,0.133,0.267,0.600,0.149,0.150,16.30,999.00
16,Draw,0.125,0.250,0.625,0.143,0.147,5.44,999.00
17,Draw,0.118,0.235,0.647,0.150,0.145,0.00,999.00
18,Draw,0.111,0.222,0.667,0.149,0.143,0.00,999.00
19,Draw,0.105,0.211,0.684,0.150,0.147,0.00,999.00
20,Draw,0.100,0.200,0.700,0.137,0.162,0.00,999.00
21,Draw,0.095,0.190,0.714,0.151,0.153,0.00,999.00
22,Runner,0.136,0.182,0.682,0.087,0.095,0.00,15.00
23,Draw,0.130,0.174,0.696,0.142,0.150,0.00,999.00
24,Draw,0.125,0.167,0.708,0.154,0.145,0.00,999.00
25,Draw,0.120,0.160,0.720,0.160,0.149,16.42,999.00
26,Draw,0.115,0.154,0.731,0.148,0.141,0.00,999.00
27,Draw,0.111,0.148,0.741,0.145,0.143,2.58,999.00
28,Draw,0.107,0.143,0.750,0.154,0.154,8.04,999.00
29,Draw,0.103,0.138,0.759,0.153,0.144,0.00,999.00
30,Draw,0.100,0.133,0.767,0.155,0.152,0.00,999.00
31,Draw,0.097,0.129,0.774,0.155,0.142,0.00,999.00
32,Draw,0.094,0.125,0.781,0.147,0.147,0.00,999.00
33,Draw,0.091,0.121,0.788,0.163,0.140,0.00,999.00
34,Draw,0.088,0.118,0.794,0.149,0.147,9.52,999.00
35,Draw,0.086,0.114,0.800,0.145,0.140,19.82,999.00
36,Draw,0.083,0.111,0.806,0.155,0.151,0.00,999.00
37,Pursuer,0.081,0.135,0.784,0.142,0.157,0.00,318.00
38,Draw,0.079,0.132,0.789,0.160,0.149,5.56,999.00
39,Draw,0.077,0.128,0.795,0.151,0.142,0.00,999.00
40,Draw,0.075,0.125,0.800,0.143,0.152,0.00,999.00
41,Draw,0.073,0.122,0.805,0.158,0.170,0.00,999.00
42,Draw,0.071,0.119,0.810,0.154,0.151,1.60,999.00
43,Draw,0.070,0.116,0.814,0.147,0.144,0.00,999.00
44,Draw,0.068,0.114,0.818,0.152,0.145,0.00,999.00
45,Draw,0.067,0.111,0.822,0.156,0.151,0.00,999.00
46,Draw,0.065,0.109,0.826,0.150,0.146,0.00,999.00
47,Draw,0.064,0.106,0.830,0.144,0.147,0.00,999.00
48,Draw,0.063,0.104,0.833,0.135,0.150,0.00,999.00
49,Draw,0.061,0.102,0.837,0.155,0.167,0.00,999.00
50,Draw,0.060,0.100,0.840,0.161,0.149,0.00,999.00
51,Runner,0.078,0.098,0.824,0.000,0.000,0.00,0.00
52,Pursuer,0.077,0.115,0.808,0.000,0.000,0.00,0.00
53,Pursuer,0.075,0.132,0.792,0.000,0.000,0.00,0.00
54,Draw,0.074,0.130,0.796,0.159,0.162,0.00,999.00
55,Pursuer,0.073,0.145,0.782,0.125,0.158,0.00,242.00
56,Draw,0.071,0.143,0.786,0.152,0.151,17.48,999.00
57,Draw,0.070,0.140,0.789,0.143,0.155,0.00,999.00
58,Draw,0.069,0.138,0.793,0.138,0.147,0.00,999.00
59,Draw,0.068,0.136,0.797,0.150,0.153,9.30,999.00
60,Pursuer,0.067,0.150,0.783,0.152,0.137,0.00,71.00
61,Draw,0.066,0.148,0.787,0.147,0.155,0.00,999.00
62,Pursuer,0.065,0.161,0.774,0.000,0.000,0.00,1.00
63,Pursuer,0.063,0.175,0.762,0.175,0.162,0.00,307.00
64,Pursuer,0.063,0.188,0.750,0.000,0.000,0.00,2.00
65,Draw,0.062,0.185,0.754,0.144,0.158,0.00,999.00
66,Draw,0.061,0.182,0.758,0.155,0.152,0.00,999.00
67,Draw,0.060,0.179,0.761,0.142,0.152,0.00,999.00
68,Draw,0.059,0.176,0.765,0.145,0.160,0.00,999.00
69,Draw,0.058,0.174,0.768,0.158,0.142,12.64,999.00
70,Draw,0.057,0.171,0.771,0.144,0.137,0.00,999.00
71,Draw,0.056,0.169,0.775,0.143,0.147,7.08,999.00
72,Draw,0.056,0.167,0.778,0.150,0.151,0.00,999.00
73,Draw,0.055,0.164,0.781,0.138,0.158,0.00,999.00
74,Pursuer,0.054,0.176,0.770,0.000,0.000,0.00,4.00
75,Pursuer,0.053,0.187,0.760,0.048,0.125,0.00,5.00
76,Draw,0.053,0.184,0.763,0.148,0.151,0.00,999.00
77,Draw,0.052,0.182,0.766,0.151,0.142,8.74,999.00
78,Draw,0.051,0.179,0.769,0.145,0.163,0.00,999.00
79,Draw,0.051,0.177,0.772,0.148,0.152,0.00,999.00
80,Draw,0.050,0.175,0.775,0.159,0.144,0.00,999.00
81,Draw,0.049,0.173,0.778,0.152,0.151,0.00,999.00
82,Draw,0.049,0.171,0.780,0.143,0.159,0.00,999.00
83,Draw,0.048,0.169,0.783,0.155,0.149,0.00,999.00
84,Draw,0.048,0.167,0.786,0.139,0.146,0.00,999.00
85,Draw,0.047,0.165,0.788,0.142,0.140,5.82,999.00
86,Draw,0.047,0.163,0.791,0.144,0.148,0.00,999.00
87,Draw,0.046,0.161,0.793,0.156,0.159,0.00,999.00
88,Draw,0.045,0.159,0.795,0.149,0.152,0.00,999.00
89,Draw,0.045,0.157,0.798,0.147,0.147,0.00,999.00
90,Runner,0.056,0.156,0.789,0.000,0.000,0.00,0.00
91,Draw,0.055,0.154,0.791,0.151,0.151,12.52,999.00
92,Draw,0.054,0.152,0.793,0.144,0.137,0.00,999.00
93,Runner,0.065,0.151,0.785,0.000,0.000,0.00,0.00
94,Pursuer,0.064,0.160,0.777,0.161,0.149,0.00,397.00
95,Draw,0.063,0.158,0.779,0.157,0.159,10.94,999.00
