Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
1,Pursuer,0.000,1.000,0.000,0.150,0.137,0.00,410.00
2,Pursuer,0.000,1.000,0.000,0.149,0.149,0.00,585.00
3,Draw,0.000,0.667,0.333,0.138,0.150,12.06,999.00
4,Draw,0.000,0.500,0.500,0.155,0.149,11.40,999.00
5,Draw,0.000,0.400,0.600,0.148,0.148,18.04,999.00
6,Draw,0.000,0.333,0.667,0.151,0.149,0.00,999.00
7,Draw,0.000,0.286,0.714,0.148,0.149,0.00,999.00
8,Draw,0.000,0.250,0.750,0.157,0.144,3.88,999.00
9,Draw,0.000,0.222,0.778,0.149,0.167,0.00,999.00
10,Draw,0.000,0.200,0.800,0.162,0.161,8.84,999.00
11,Draw,0.000,0.182,0.818,0.151,0.151,0.00,999.00
12,Draw,0.000,0.167,0.833,0.164,0.153,0.00,999.00
13,Draw,0.000,0.154,0.846,0.145,0.148,0.00,999.00
14,Draw,0.000,0.143,0.857,0.137,0.141,0.00,999.00
15,Draw,0.000,0.133,0.867,0.155,0.149,19.96,999.00
16,Draw,0.000,0.125,0.875,0.150,0.145,1.62,999.00
17,Runner,0.059,0.118,0.824,0.000,0.000,0.00,0.00
18,Runner,0.111,0.111,0.778,0.000,0.000,0.00,0.00
19,Pursuer,0.105,0.158,0.737,0.000,0.000,0.00,1.00
20,Pursuer,0.100,0.200,0.700,0.084,0.114,0.00,6.00
21,Draw,0.095,0.190,0.714,0.147,0.144,0.00,999.00
22,Draw,0.091,0.182,0.727,0.149,0.162,0.00,999.00
23,Runner,0.130,0.174,0.696,0.148,0.154,0.00,701.00
24,Draw,0.125,0.167,0.708,0.150,0.147,4.88,999.00
25,Draw,0.120,0.160,0.720,0.162,0.156,1.82,999.00
26,Draw,0.115,0.154,0.731,0.149,0.144,0.00,999.00
27,Draw,0.111,0.148,0.741,0.149,0.157,0.00,999.00
28,Draw,0.107,0.143,0.750,0.153,0.139,0.00,999.00
29,Draw,0.103,0.138,0.759,0.161,0.156,6.34,999.00
30,Draw,0.100,0.133,0.767,0.141,0.154,2.84,999.00
31,Draw,0.097,0.129,0.774,0.147,0.155,5.18,999.00
32,Draw,0.094,0.125,0.781,0.150,0.137,0.00,999.00
33,Draw,0.091,0.121,0.788,0.155,0.154,0.00,999.00
34,Draw,0.088,0.118,0.794,0.147,0.155,0.00,999.00
35,Draw,0.086,0.114,0.800,0.153,0.149,0.00,999.00
36,Runner,0.111,0.111,0.778,0.000,0.000,0.00,0.00
37,Draw,0.108,0.108,0.784,0.142,0.159,1.54,999.00
38,Pursuer,0.105,0.132,0.763,0.000,0.000,0.00,1.00
39,Pursuer,0.103,0.154,0.744,0.201,0.039,0.00,3.00
40,Pursuer,0.100,0.175,0.725,0.252,0.103,0.00,12.00
41,Draw,0.098,0.171,0.732,0.158,0.146,19.98,999.00
42,Draw,0.095,0.167,0.738,0.149,0.141,9.40,999.00
43,Draw,0.093,0.163,0.744,0.164,0.149,0.00,999.00
44,Pursuer,0.091,0.182,0.727,0.150,0.149,0.00,889.00
45,Draw,0.089,0.178,0.733,0.162,0.162,0.00,999.00
46,Draw,0.087,0.174,0.739,0.159,0.159,0.00,999.00
47,Draw,0.085,0.170,0.745,0.147,0.159,0.00,999.00
48,Draw,0.083,0.167,0.750,0.157,0.148,0.00,999.00
49,Draw,0.082,0.163,0.755,0.156,0.140,0.00,999.00
50,Draw,0.080,0.160,0.760,0.146,0.148,0.00,999.00
51,Draw,0.078,0.157,0.765,0.138,0.149,0.00,999.00
52,Draw,0.077,0.154,0.769,0.160,0.151,2.00,999.00
