Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.09,0.11,0.8,0.1511365,0.1543664,2.986831,845.08
200,0.08,0.18,0.74,0.1415682,0.1438279,3.767226,841.62
300,0.13,0.29,0.58,0.1460101,0.144717,2.706617,732.06
400,0.11,0.41,0.48,0.1461998,0.1487858,3.056819,731.43
500,0.23,0.44,0.33,0.1341242,0.136375,2.571617,565.28
600,0.38,0.42,0.2,0.1455864,0.1467817,2.653617,526.49
700,0.33,0.44,0.23,0.1433136,0.1428708,2.220212,501.67
800,0.32,0.45,0.23,0.1464293,0.1528266,2.559415,487.89
900,0.49,0.38,0.13,0.147188,0.1483711,2.435408,453.35
1000,0.4,0.51,0.09,0.1417554,0.1388762,1.686609,342.89
1100,0.39,0.46,0.15,0.1414291,0.1385724,1.94061,391.22
1200,0.45,0.44,0.11,0.1439111,0.1461553,1.456005,331.58
1300,0.46,0.39,0.15,0.1350525,0.1387674,1.928408,423.09
1400,0.46,0.45,0.09,0.1425043,0.1426706,1.826606,360.9
1500,0.42,0.46,0.12,0.1417763,0.1395372,1.724208,375.15
1600,0.45,0.48,0.07,0.1438209,0.1523863,1.297806,345.41
1700,0.47,0.44,0.09,0.1390202,0.14081,1.565209,375.72
1800,0.56,0.4,0.04,0.1442865,0.1449067,1.323406,311.55
1900,0.49,0.44,0.07,0.1440061,0.1435128,1.676408,328.43
2000,0.42,0.53,0.05,0.1393874,0.142758,1.427805,281.92
2100,0.48,0.46,0.06,0.1462736,0.1506477,1.315206,334.43
2200,0.49,0.44,0.07,0.1428653,0.1441668,1.771412,308
2300,0.53,0.41,0.06,0.1497667,0.1421806,1.360207,281.47
2400,0.42,0.51,0.07,0.1425659,0.1437135,1.427007,321.15
2500,0.42,0.51,0.07,0.1403846,0.1406324,1.685612,273.07
2600,0.45,0.46,0.09,0.1488842,0.1492402,2.174212,322.59
2700,0.49,0.45,0.06,0.1429278,0.1512701,1.192205,254.43
2800,0.44,0.51,0.05,0.1432598,0.1462286,1.567609,261.59
