Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.09,0.15,0.76,0.1561378,0.1553465,1.679011,788.62
200,0.12,0.26,0.62,0.1395513,0.1403284,3.248028,758.64
300,0.12,0.46,0.42,0.1485831,0.1423202,2.89842,676.77
400,0.21,0.41,0.38,0.1488787,0.1482263,3.295826,642.94
500,0.26,0.47,0.27,0.1334874,0.1386177,2.613215,522.98
600,0.25,0.54,0.21,0.1371855,0.1401254,2.545211,529.35
700,0.39,0.41,0.2,0.1422452,0.1449616,2.02161,499.47
800,0.34,0.52,0.14,0.1440403,0.1501185,1.642209,444.62
900,0.4,0.43,0.17,0.1483009,0.1462218,2.360413,482.7
1000,0.35,0.5,0.15,0.1448365,0.148238,2.309017,374.68
1100,0.34,0.51,0.15,0.1542297,0.1488559,1.990408,446.69
1200,0.46,0.42,0.12,0.1436557,0.1413724,2.956216,420.18
1300,0.4,0.51,0.09,0.152003,0.1442382,1.849209,377.33
1400,0.4,0.47,0.13,0.1401104,0.1385079,2.055609,378.31
1500,0.4,0.53,0.07,0.1441213,0.1490775,1.151404,324.42
1600,0.4,0.55,0.05,0.1420734,0.1419545,1.214605,337.14
1700,0.41,0.48,0.11,0.147924,0.1424058,1.078601,383.84
1800,0.39,0.56,0.05,0.1518471,0.1435472,1.248206,357.7
1900,0.38,0.51,0.11,0.1411316,0.142264,2.159613,388.78
2000,0.29,0.62,0.09,0.1438875,0.1389468,1.153003,363.52
2100,0.38,0.52,0.1,0.1409353,0.1412822,1.630004,402.78
2200,0.39,0.54,0.07,0.1488984,0.1541821,1.103804,321.69
2300,0.41,0.51,0.08,0.1492942,0.1447529,1.551009,338.99
2400,0.35,0.57,0.08,0.1376852,0.1394216,1.227004,323.66
2500,0.38,0.58,0.04,0.1398738,0.1405298,0.9766033,299.44
2600,0.42,0.53,0.05,0.1396894,0.1370315,1.206005,288.61
2700,0.39,0.52,0.09,0.1419145,0.1387412,1.291402,300.47
2800,0.46,0.47,0.07,0.1435706,0.1462274,1.074804,335.69
2900,0.39,0.57,0.04,0.1457737,0.1541384,0.9490024,309.85
3000,0.5,0.45,0.05,0.1397379,0.140972,1.116403,282.23
3100,0.41,0.57,0.02,0.1351823,0.1387253,0.7031999,235.69
3200,0.43,0.54,0.03,0.1393809,0.144922,1.230605,263.74
3300,0.36,0.6,0.04,0.1418612,0.1428418,0.8388027,253.66
3400,0.38,0.54,0.08,0.1347931,0.132715,0.9912052,312.15
3500,0.32,0.59,0.09,0.132891,0.1352664,1.276207,325.08
3600,0.44,0.48,0.08,0.141813,0.1467697,1.457205,308.93
3700,0.57,0.39,0.04,0.1394292,0.1331827,0.9350007,230.74
3800,0.44,0.52,0.04,0.1341711,0.1325861,0.9714065,251.56
3900,0.41,0.57,0.02,0.1431585,0.1413354,0.876003,266.23
4000,0.43,0.52,0.05,0.1357197,0.1310637,1.071004,262.54
4100,0.4,0.54,0.06,0.1367592,0.1379414,1.163005,301.77
4200,0.49,0.47,0.04,0.1417198,0.1361475,0.5664001,234.65
4300,0.4,0.55,0.05,0.1342374,0.1353267,1.421005,275.3
4400,0.44,0.52,0.04,0.1388731,0.1350224,0.8658044,229.8
4500,0.37,0.59,0.04,0.1354298,0.1408276,0.7206045,234.99
4600,0.44,0.53,0.03,0.1338272,0.1377827,0.9590008,274.12
