Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
100,0.09,0.16,0.75,0.143482,0.143901,2.255221,805.83
200,0.12,0.23,0.65,0.1403068,0.140367,2.78522,789.71
300,0.21,0.25,0.54,0.1456154,0.1444791,3.150821,686.96
400,0.23,0.35,0.42,0.1463757,0.1436241,2.799415,673.42
500,0.32,0.32,0.36,0.1491935,0.1417244,3.528018,639.04
600,0.36,0.36,0.28,0.1395905,0.1421857,3.069022,561.19
700,0.41,0.38,0.21,0.145987,0.1464749,2.122608,544.56
800,0.44,0.39,0.17,0.1458201,0.1461481,2.100611,490.35
900,0.43,0.38,0.19,0.144159,0.1494022,2.633611,488.68
1000,0.35,0.52,0.13,0.1430823,0.1471071,1.690408,392.22
1100,0.51,0.38,0.11,0.1363737,0.145086,1.710807,385.36
1200,0.53,0.37,0.1,0.136896,0.1358308,1.861807,366.59
1300,0.42,0.45,0.13,0.1427469,0.1454415,1.823007,388
1400,0.44,0.4,0.16,0.1425466,0.1416588,2.596019,413.03
1500,0.5,0.43,0.07,0.1348367,0.135313,1.252401,337.94
1600,0.56,0.35,0.09,0.1442651,0.1421022,1.701606,308.92
1700,0.47,0.39,0.14,0.1437231,0.1447077,2.078809,360.38
1800,0.47,0.43,0.1,0.1523518,0.1547215,2.054014,365.36
1900,0.45,0.5,0.05,0.1397118,0.1418947,1.309604,305.49
2000,0.48,0.38,0.14,0.1407984,0.1400715,1.705811,382.07
2100,0.64,0.32,0.04,0.1356626,0.1329022,1.168403,248.08
2200,0.51,0.42,0.07,0.1446628,0.1435635,1.422805,312.36
2300,0.54,0.42,0.04,0.1368139,0.1399274,1.471804,307.05
2400,0.51,0.44,0.05,0.1397464,0.1373495,1.208405,296.1
2500,0.53,0.42,0.05,0.1349471,0.1363812,1.129802,310.57
2600,0.47,0.49,0.04,0.1420552,0.1390746,1.100606,250.86
2700,0.51,0.44,0.05,0.1389858,0.1396358,1.451007,273.39
2800,0.41,0.54,0.05,0.1390556,0.1349271,1.154004,292.77
2900,0.44,0.52,0.04,0.1421357,0.142483,0.9674014,261.17
3000,0.46,0.5,0.04,0.1421717,0.1389459,0.9318007,260.9
3100,0.43,0.49,0.08,0.140796,0.1494164,1.298805,321.4
3200,0.41,0.55,0.04,0.1443358,0.1422114,0.8382013,267.05
3300,0.58,0.38,0.04,0.1353186,0.1372331,1.259804,240.27
3400,0.44,0.51,0.05,0.1315039,0.1380356,1.613611,238.52
3500,0.57,0.39,0.04,0.1395389,0.1370219,1.586605,238.38
3600,0.52,0.44,0.04,0.1420275,0.1538146,1.282606,277.36
3700,0.48,0.49,0.03,0.1392534,0.1426133,1.300403,247.15
3800,0.45,0.48,0.07,0.1378239,0.1360889,1.098204,272.38
3900,0.53,0.42,0.05,0.1448347,0.14193,1.335806,274.74
4000,0.51,0.45,0.04,0.1410568,0.1400889,1.548608,269.61
4100,0.4,0.54,0.06,0.1372602,0.1370704,1.779211,250.54
4200,0.4,0.55,0.05,0.1315001,0.1393412,1.186408,245
4300,0.53,0.44,0.03,0.1394345,0.1428584,0.9166018,258.81
4400,0.48,0.49,0.03,0.1438854,0.143302,0.939204,236.79
4500,0.44,0.51,0.05,0.1497374,0.1461264,0.9482041,255.09
4600,0.56,0.39,0.05,0.1434309,0.1433329,1.510408,254.19
4700,0.47,0.49,0.04,0.135398,0.1351059,1.062003,224.46
4800,0.52,0.38,0.1,0.1370466,0.1424467,2.113016,255.29
4900,0.44,0.48,0.08,0.1366461,0.1358856,1.35281,258.34
5000,0.48,0.46,0.06,0.1391311,0.1419539,1.304409,259.58
5100,0.46,0.5,0.04,0.144773,0.1416758,1.154608,263.44
5200,0.47,0.46,0.07,0.1432528,0.1427257,1.715412,274.91
5300,0.47,0.44,0.09,0.1324589,0.142992,1.763412,267.54
5400,0.41,0.55,0.04,0.1409392,0.1441408,0.9842058,216.27
5500,0.47,0.49,0.04,0.1282635,0.1355651,0.8938032,208.27
5600,0.46,0.51,0.03,0.1388431,0.1344224,1.065603,218.13
5700,0.46,0.49,0.05,0.1357227,0.1392637,1.234007,250.39
5800,0.55,0.43,0.02,0.13183,0.1385789,1.095003,219.52
5900,0.48,0.42,0.1,0.1332468,0.1316152,1.857214,268.82
6000,0.41,0.52,0.07,0.1349988,0.1324592,1.584009,245.58
6100,0.52,0.38,0.1,0.1285948,0.1344685,2.230219,263.62
6200,0.49,0.42,0.09,0.1410001,0.1329816,1.193604,267.07
6300,0.47,0.49,0.04,0.1346027,0.1313398,1.108405,209.7
6400,0.56,0.42,0.02,0.1359624,0.1389606,0.8998028,189.56
6500,0.61,0.37,0.02,0.1349973,0.1385236,1.111404,195.72
6600,0.43,0.51,0.06,0.1326872,0.1425192,1.592412,243.37
6700,0.5,0.42,0.08,0.1344494,0.1292183,1.584012,222.97
6800,0.55,0.42,0.03,0.1314135,0.1349496,1.048207,209.51
6900,0.49,0.47,0.04,0.1313729,0.1234505,1.278608,210.9
7000,0.39,0.56,0.05,0.1410194,0.1439081,1.39861,256.88
7100,0.43,0.51,0.06,0.1280612,0.1304751,1.492009,228.01
7200,0.48,0.47,0.05,0.125309,0.1275638,1.061008,235.99
7300,0.38,0.58,0.04,0.1317211,0.1321481,1.097405,211.57
7400,0.52,0.47,0.01,0.1282919,0.137458,0.8174026,175.24
7500,0.42,0.54,0.04,0.1255909,0.1253848,0.9100059,224.21
7600,0.43,0.52,0.05,0.1203999,0.1256864,1.267611,214.93
7700,0.49,0.47,0.04,0.1283885,0.1228781,0.9762083,199.78
7800,0.46,0.52,0.02,0.1261941,0.125327,0.6170015,181.54
7900,0.43,0.47,0.1,0.1315705,0.1401276,2.044017,278.62
8000,0.52,0.45,0.03,0.1313637,0.1308421,0.8792027,228.83
8100,0.47,0.45,0.08,0.1325822,0.1322423,1.792617,213.21
8200,0.45,0.46,0.09,0.1297504,0.128262,1.946817,230.99
8300,0.46,0.52,0.02,0.1240453,0.1238409,0.6950036,205.7
8400,0.46,0.52,0.02,0.1292502,0.1286953,0.740402,196.61
8500,0.45,0.48,0.07,0.1294746,0.1439486,1.141608,203.1
8600,0.55,0.4,0.05,0.1212979,0.1309588,1.204209,202.12
8700,0.5,0.47,0.03,0.1391936,0.1335211,0.9534054,173.4
8800,0.44,0.53,0.03,0.1265046,0.127383,0.8248053,205.1
8900,0.45,0.52,0.03,0.1232977,0.1375455,1.051805,199.94
9000,0.41,0.51,0.08,0.1274753,0.1309852,1.833013,227.15
9100,0.41,0.55,0.04,0.1300669,0.1292727,1.029406,214.35
9200,0.44,0.49,0.07,0.1224307,0.1230314,1.676614,237.49
9300,0.49,0.48,0.03,0.12969,0.1273028,1.036805,187.06
9400,0.52,0.46,0.02,0.1250643,0.1278514,0.7042043,200.24
9500,0.4,0.57,0.03,0.1163126,0.1161642,0.8494061,177.9
9600,0.54,0.44,0.02,0.1298051,0.1338238,0.7132034,153.07
9700,0.48,0.48,0.04,0.1469845,0.1480282,0.9992046,200.86
9800,0.51,0.44,0.05,0.1219175,0.125444,0.8068044,198.95
9900,0.48,0.45,0.07,0.1263015,0.131029,1.299809,223.09
10000,0.42,0.55,0.03,0.1224785,0.121973,1.037607,199.24
10100,0.44,0.5,0.06,0.1242534,0.1266658,1.380614,210.57
10200,0.44,0.52,0.04,0.1197216,0.1209898,0.9924068,187.8
10300,0.48,0.49,0.03,0.1359845,0.1338254,0.8002023,204.9
10400,0.57,0.42,0.01,0.1265732,0.1237991,0.6874016,160.27
10500,0.46,0.51,0.03,0.1374523,0.1365009,0.9448057,170.76
10600,0.47,0.51,0.02,0.1277701,0.1229484,0.4848016,177.83
10700,0.52,0.48,0,0.1327596,0.1244278,0.4669996,163.14
10800,0.46,0.48,0.06,0.1201934,0.1229015,1.546213,235.04
10900,0.48,0.5,0.02,0.1167018,0.1269536,0.710403,185.57
