Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
92,Draw,0.109,0.120,0.772,0.144,0.160,0.00,999.00
93,Draw,0.108,0.118,0.774,0.137,0.145,0.00,999.00
94,Draw,0.106,0.117,0.777,0.147,0.146,0.00,999.00
95,Draw,0.105,0.116,0.779,0.145,0.161,0.00,999.00
96,Draw,0.104,0.115,0.781,0.152,0.147,0.28,999.00
97,Draw,0.103,0.113,0.784,0.146,0.159,0.00,999.00
98,Draw,0.102,0.112,0.786,0.144,0.147,0.00,999.00
99,Runner,0.111,0.111,0.778,0.161,0.151,1.62,864.00
100,Draw,0.110,0.110,0.780,0.155,0.145,0.00,999.00
101,Draw,0.109,0.109,0.782,0.150,0.156,12.16,999.00
102,Draw,0.108,0.108,0.784,0.143,0.157,0.00,999.00
103,Draw,0.107,0.107,0.786,0.158,0.161,19.98,999.00
104,Draw,0.106,0.106,0.788,0.151,0.148,1.98,999.00
105,Draw,0.105,0.105,0.790,0.139,0.148,4.66,999.00
106,Draw,0.104,0.104,0.792,0.144,0.159,0.00,999.00
107,Draw,0.103,0.103,0.794,0.149,0.156,0.00,999.00
108,Draw,0.102,0.102,0.796,0.155,0.155,0.58,999.00
109,Draw,0.101,0.101,0.798,0.157,0.151,0.00,999.00
110,Pursuer,0.100,0.109,0.791,0.148,0.152,0.00,962.00
111,Draw,0.099,0.108,0.793,0.152,0.152,0.00,999.00
112,Draw,0.098,0.107,0.795,0.150,0.155,0.00,999.00
113,Draw,0.097,0.106,0.796,0.141,0.152,0.00,999.00
114,Runner,0.105,0.105,0.789,0.149,0.151,0.00,618.00
115,Draw,0.104,0.104,0.791,0.143,0.142,19.24,999.00
116,Draw,0.103,0.103,0.793,0.146,0.164,0.00,999.00
117,Pursuer,0.103,0.111,0.786,0.148,0.146,0.00,931.00
118,Draw,0.102,0.110,0.788,0.158,0.162,0.00,999.00
119,Draw,0.101,0.109,0.790,0.150,0.155,0.38,999.00
120,Draw,0.100,0.108,0.792,0.152,0.145,0.00,999.00
121,Draw,0.099,0.107,0.793,0.153,0.145,5.42,999.00
122,Draw,0.098,0.107,0.795,0.147,0.142,5.58,999.00
123,Draw,0.098,0.106,0.797,0.141,0.146,1.94,999.00
124,Draw,0.097,0.105,0.798,0.150,0.159,0.00,999.00
