Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.000,0.000, 0.00
2,Pursuer,0.000,1.000,0.000,0.000,0.000, 0.00
3,Runner,0.333,0.667,0.000,0.000,0.000, 0.00
4,Draw,0.250,0.500,0.250,0.000,0.000, 0.00
5,Draw,0.200,0.400,0.400,0.000,0.000, 19.96
6,Draw,0.167,0.333,0.500,0.000,0.000, 19.96
7,Draw,0.143,0.286,0.571,0.000,0.000, 0.00
8,Draw,0.125,0.250,0.625,0.000,0.000, 0.00
9,Draw,0.111,0.222,0.667,0.000,0.000, 0.00
10,Draw,0.100,0.200,0.700,0.000,0.000, 0.00
11,Draw,0.091,0.182,0.727,0.000,0.000, 0.00
12,Draw,0.083,0.167,0.750,0.000,0.000, 0.00
13,Draw,0.077,0.154,0.769,0.000,0.000, 0.00
14,Draw,0.071,0.143,0.786,0.000,0.000, 19.96
15,Draw,0.067,0.133,0.800,0.000,0.000, 0.00
16,Draw,0.063,0.125,0.813,0.000,0.000, 0.00
17,Draw,0.059,0.118,0.824,0.000,0.000, 0.08
18,Draw,0.056,0.111,0.833,0.000,0.000, 0.00
19,Draw,0.053,0.105,0.842,0.000,0.000, 0.00
20,Pursuer,0.050,0.150,0.800,0.000,0.000, 0.00
