Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.723,0.616, 0.00
2,Pursuer,0.000,1.000,0.000,0.726,0.221, 0.00
3,Pursuer,0.000,1.000,0.000,0.163,0.167, 0.00
4,Draw,0.000,0.750,0.250,0.150,0.149, 0.28
5,Draw,0.000,0.600,0.400,0.150,0.142, 0.00
6,Draw,0.000,0.500,0.500,0.151,0.139, 0.00
7,Draw,0.000,0.429,0.571,0.145,0.150, 0.00
8,Draw,0.000,0.375,0.625,0.147,0.155, 0.00
9,Draw,0.000,0.333,0.667,0.155,0.151, 0.00
10,Draw,0.000,0.300,0.700,0.164,0.149, 0.00
11,Draw,0.000,0.273,0.727,0.144,0.155, 14.36
12,Draw,0.000,0.250,0.750,0.141,0.141, 1.68
13,Draw,0.000,0.231,0.769,0.155,0.149, 0.00
14,Draw,0.000,0.214,0.786,0.148,0.151, 0.00
15,Draw,0.000,0.200,0.800,0.160,0.150, 0.00
16,Draw,0.000,0.188,0.813,0.150,0.139, 0.00
17,Draw,0.000,0.176,0.824,0.142,0.149, 0.00
18,Draw,0.000,0.167,0.833,0.160,0.154, 0.00
19,Runner,0.053,0.158,0.789,0.155,0.056, 0.40
20,Runner,0.100,0.150,0.750,0.143,0.125, 0.00
21,Draw,0.095,0.143,0.762,0.156,0.157, 0.00
22,Pursuer,0.091,0.182,0.727,0.145,0.138, 0.00
23,Draw,0.087,0.174,0.739,0.152,0.149, 0.00
24,Draw,0.083,0.167,0.750,0.147,0.146, 0.00
25,Draw,0.080,0.160,0.760,0.148,0.153, 0.00
26,Draw,0.077,0.154,0.769,0.150,0.149, 0.00
27,Draw,0.074,0.148,0.778,0.152,0.143, 2.78
28,Draw,0.071,0.143,0.786,0.153,0.141, 12.26
29,Draw,0.069,0.138,0.793,0.147,0.147, 0.00
30,Draw,0.067,0.133,0.800,0.140,0.155, 0.00
31,Draw,0.065,0.129,0.806,0.153,0.162, 2.12
32,Draw,0.063,0.125,0.813,0.148,0.137, 19.96
33,Draw,0.061,0.121,0.818,0.151,0.149, 0.00
34,Pursuer,0.059,0.147,0.794,0.000,0.000, 0.00
35,Draw,0.057,0.143,0.800,0.148,0.148, 0.18
36,Draw,0.056,0.139,0.806,0.160,0.143, 0.00
37,Pursuer,0.054,0.162,0.784,0.199,0.212, 0.00
38,Runner,0.079,0.158,0.763,0.133,0.156, 0.00
39,Draw,0.077,0.154,0.769,0.131,0.156, 4.60
40,Draw,0.075,0.150,0.775,0.154,0.157, 19.98
41,Pursuer,0.073,0.171,0.756,0.145,0.149, 0.00
42,Draw,0.071,0.167,0.762,0.147,0.150, 0.00
43,Draw,0.070,0.163,0.767,0.148,0.150, 6.42
44,Draw,0.068,0.159,0.773,0.153,0.146, 0.00
45,Draw,0.067,0.156,0.778,0.158,0.159, 0.00
46,Draw,0.065,0.152,0.783,0.143,0.141, 9.72
47,Draw,0.064,0.149,0.787,0.148,0.160, 0.00
48,Draw,0.063,0.146,0.792,0.155,0.163, 0.00
49,Draw,0.061,0.143,0.796,0.148,0.149, 0.00
50,Draw,0.060,0.140,0.800,0.147,0.139, 4.98
51,Draw,0.059,0.137,0.804,0.145,0.142, 0.00
52,Draw,0.058,0.135,0.808,0.157,0.145, 16.82
53,Draw,0.057,0.132,0.811,0.135,0.150, 0.00
54,Draw,0.056,0.130,0.815,0.137,0.157, 0.00
55,Pursuer,0.055,0.145,0.800,0.000,0.000, 0.00
56,Draw,0.054,0.143,0.804,0.155,0.151, 0.78
57,Draw,0.053,0.140,0.807,0.161,0.147, 0.00
58,Pursuer,0.052,0.155,0.793,0.144,0.151, 0.00
59,Runner,0.068,0.153,0.780,0.000,0.000, 0.00
60,Draw,0.067,0.150,0.783,0.149,0.147, 11.28
61,Pursuer,0.066,0.164,0.770,0.136,0.144, 0.00
62,Draw,0.065,0.161,0.774,0.162,0.152, 0.00
63,Draw,0.063,0.159,0.778,0.155,0.155, 0.00
64,Draw,0.063,0.156,0.781,0.151,0.161, 0.00
65,Draw,0.062,0.154,0.785,0.148,0.144, 0.76
66,Draw,0.061,0.152,0.788,0.151,0.147, 2.04
67,Draw,0.060,0.149,0.791,0.160,0.154, 2.38
68,Draw,0.059,0.147,0.794,0.154,0.150, 19.98
69,Draw,0.058,0.145,0.797,0.143,0.143, 0.00
70,Draw,0.057,0.143,0.800,0.144,0.151, 0.00
71,Draw,0.056,0.141,0.803,0.155,0.151, 0.00
72,Draw,0.056,0.139,0.806,0.150,0.160, 0.00
73,Draw,0.055,0.137,0.808,0.149,0.159, 0.00
74,Draw,0.054,0.135,0.811,0.152,0.152, 0.00
75,Draw,0.053,0.133,0.813,0.152,0.138, 0.00
76,Pursuer,0.053,0.145,0.803,0.000,0.000, 0.00
77,Draw,0.052,0.143,0.805,0.152,0.154, 10.44
78,Draw,0.051,0.141,0.808,0.160,0.148, 0.00
79,Draw,0.051,0.139,0.810,0.150,0.150, 0.00
80,Draw,0.050,0.138,0.813,0.143,0.147, 0.00
81,Draw,0.049,0.136,0.815,0.142,0.149, 19.50
82,Draw,0.049,0.134,0.817,0.154,0.143, 0.00
83,Draw,0.048,0.133,0.819,0.154,0.139, 0.00
84,Draw,0.048,0.131,0.821,0.145,0.154, 5.62
85,Draw,0.047,0.129,0.824,0.139,0.144, 5.44
86,Draw,0.047,0.128,0.826,0.134,0.149, 0.00
87,Pursuer,0.046,0.138,0.816,0.000,0.000, 0.00
88,Draw,0.045,0.136,0.818,0.156,0.155, 0.00
89,Pursuer,0.045,0.146,0.809,0.092,0.125, 0.00
90,Draw,0.044,0.144,0.811,0.155,0.147, 0.00
91,Draw,0.044,0.143,0.813,0.155,0.160, 0.00
92,Runner,0.054,0.141,0.804,0.131,0.187, 0.00
93,Draw,0.054,0.140,0.806,0.150,0.154, 0.00
94,Runner,0.064,0.138,0.798,0.160,0.146, 17.42
95,Draw,0.063,0.137,0.800,0.153,0.149, 5.84
96,Pursuer,0.063,0.146,0.792,0.000,0.000, 0.00
97,Draw,0.062,0.144,0.794,0.144,0.158, 0.00
98,Draw,0.061,0.143,0.796,0.150,0.143, 0.00
99,Draw,0.061,0.141,0.798,0.156,0.153, 0.00
100,Draw,0.060,0.140,0.800,0.168,0.150, 14.24
101,Draw,0.059,0.139,0.802,0.150,0.168, 12.96
102,Draw,0.059,0.137,0.804,0.147,0.152, 11.98
103,Draw,0.058,0.136,0.806,0.140,0.151, 0.00
