Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
100,0.06,0.14,0.8,0.1521688,0.1456136,2.32262
200,0.08,0.26,0.66,0.1427049,0.1467933,2.901418
