Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
2,Draw,0.000,0.000,1.000,0.000,0.000, 19.96
3,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
4,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
5,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
6,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
7,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
8,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
9,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
10,Draw,0.000,0.000,1.000,0.000,0.000, 19.96
11,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
12,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
13,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
14,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
15,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
16,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
17,Pursuer,0.000,0.059,0.941,0.000,0.000, 0.00
18,Draw,0.000,0.056,0.944,0.000,0.000, 0.00
19,Draw,0.000,0.053,0.947,0.000,0.000, 0.00
20,Draw,0.000,0.050,0.950,0.000,0.000, 0.00
21,Draw,0.000,0.048,0.952,0.000,0.000, 0.00
22,Draw,0.000,0.045,0.955,0.000,0.000, 0.00
23,Draw,0.000,0.043,0.957,0.000,0.000, 0.00
24,Draw,0.000,0.042,0.958,0.000,0.000, 0.00
25,Draw,0.000,0.040,0.960,0.000,0.000, 0.00
26,Draw,0.000,0.038,0.962,0.000,0.000, 0.00
27,Draw,0.000,0.037,0.963,0.000,0.000, 0.00
28,Draw,0.000,0.036,0.964,0.000,0.000, 19.96
29,Draw,0.000,0.034,0.966,0.000,0.000, 0.00
30,Draw,0.000,0.033,0.967,0.000,0.000, 0.00
31,Draw,0.000,0.032,0.968,0.000,0.000, 0.16
32,Draw,0.000,0.031,0.969,0.000,0.000, 0.00
33,Draw,0.000,0.030,0.970,0.000,0.000, 0.00
34,Pursuer,0.000,0.059,0.941,0.000,0.000, 0.00
35,Draw,0.000,0.057,0.943,0.000,0.000, 0.00
36,Draw,0.000,0.056,0.944,0.000,0.000, 19.98
37,Draw,0.000,0.054,0.946,0.000,0.000, 0.00
38,Draw,0.000,0.053,0.947,0.000,0.000, 0.00
39,Draw,0.000,0.051,0.949,0.000,0.000, 0.00
40,Draw,0.000,0.050,0.950,0.000,0.000, 0.00
41,Draw,0.000,0.049,0.951,0.000,0.000, 0.00
42,Draw,0.000,0.048,0.952,0.000,0.000, 0.00
43,Draw,0.000,0.047,0.953,0.000,0.000, 0.02
44,Draw,0.000,0.045,0.955,0.000,0.000, 0.00
45,Draw,0.000,0.044,0.956,0.000,0.000, 0.00
46,Draw,0.000,0.043,0.957,0.000,0.000, 0.00
47,Draw,0.000,0.043,0.957,0.000,0.000, 0.00
48,Draw,0.000,0.042,0.958,0.000,0.000, 0.00
49,Draw,0.000,0.041,0.959,0.000,0.000, 0.00
50,Draw,0.000,0.040,0.960,0.000,0.000, 0.00
51,Runner,0.020,0.039,0.941,0.000,0.000, 0.00
52,Runner,0.038,0.038,0.923,0.000,0.000, 0.00
53,Pursuer,0.038,0.057,0.906,0.000,0.000, 0.00
