Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
2,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
3,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
4,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
5,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
6,Draw,0.000,0.000,1.000,0.000,0.000, 19.96
7,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
8,Draw,0.000,0.000,1.000,0.000,0.000, 19.96
9,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
10,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
11,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
12,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
13,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
14,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
15,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
16,Draw,0.000,0.000,1.000,0.000,0.000, 0.00
17,Pursuer,0.000,0.059,0.941,0.000,0.000, 0.00
18,Draw,0.000,0.056,0.944,0.000,0.000, 0.00
19,Draw,0.000,0.053,0.947,0.000,0.000, 0.00
20,Draw,0.000,0.050,0.950,0.000,0.000, 0.00
21,Draw,0.000,0.048,0.952,0.000,0.000, 0.00
22,Draw,0.000,0.045,0.955,0.000,0.000, 0.00
23,Draw,0.000,0.043,0.957,0.000,0.000, 0.00
24,Draw,0.000,0.042,0.958,0.000,0.000, 0.00
25,Draw,0.000,0.040,0.960,0.000,0.000, 19.98
26,Draw,0.000,0.038,0.962,0.000,0.000, 0.00
27,Draw,0.000,0.037,0.963,0.000,0.000, 0.00
28,Draw,0.000,0.036,0.964,0.000,0.000, 0.00
29,Draw,0.000,0.034,0.966,0.000,0.000, 0.00
30,Draw,0.000,0.033,0.967,0.000,0.000, 0.00
31,Draw,0.000,0.032,0.968,0.000,0.000, 0.00
32,Draw,0.000,0.031,0.969,0.000,0.000, 0.00
33,Pursuer,0.000,0.061,0.939,0.000,0.000, 0.00
34,Pursuer,0.000,0.088,0.912,0.000,0.000, 0.00
35,Draw,0.000,0.086,0.914,0.000,0.000, 0.00
36,Draw,0.000,0.083,0.917,0.000,0.000, 19.98
37,Draw,0.000,0.081,0.919,0.000,0.000, 0.00
38,Draw,0.000,0.079,0.921,0.000,0.000, 0.00
39,Draw,0.000,0.077,0.923,0.000,0.000, 0.00
40,Draw,0.000,0.075,0.925,0.000,0.000, 19.98
41,Draw,0.000,0.073,0.927,0.000,0.000, 0.00
42,Draw,0.000,0.071,0.929,0.000,0.000, 0.00
43,Draw,0.000,0.070,0.930,0.000,0.000, 0.00
44,Draw,0.000,0.068,0.932,0.000,0.000, 0.00
45,Draw,0.000,0.067,0.933,0.000,0.000, 0.00
46,Draw,0.000,0.065,0.935,0.000,0.000, 0.00
47,Draw,0.000,0.064,0.936,0.000,0.000, 0.00
48,Draw,0.000,0.063,0.938,0.000,0.000, 0.00
49,Draw,0.000,0.061,0.939,0.000,0.000, 0.00
50,Pursuer,0.000,0.080,0.920,0.000,0.000, 0.00
51,Runner,0.020,0.078,0.902,0.000,0.000, 0.00
52,Draw,0.019,0.077,0.904,0.000,0.000, 0.00
53,Draw,0.019,0.075,0.906,0.000,0.000, 0.00
