Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime
1,Pursuer,0.000,1.000,0.000,0.804,1.323, 0.00
2,Pursuer,0.000,1.000,0.000,0.071,0.049, 0.00
3,Pursuer,0.000,1.000,0.000,0.158,0.150, 0.00
4,Draw,0.000,0.750,0.250,0.137,0.157, 7.40
5,Draw,0.000,0.600,0.400,0.152,0.147, 0.74
6,Draw,0.000,0.500,0.500,0.164,0.151, 5.94
7,Draw,0.000,0.429,0.571,0.145,0.166, 0.00
8,Draw,0.000,0.375,0.625,0.143,0.147, 1.86
9,Draw,0.000,0.333,0.667,0.146,0.155, 0.00
10,Draw,0.000,0.300,0.700,0.146,0.145, 0.00
11,Draw,0.000,0.273,0.727,0.165,0.164, 10.24
12,Draw,0.000,0.250,0.750,0.153,0.148, 12.46
13,Draw,0.000,0.231,0.769,0.148,0.146, 0.00
14,Draw,0.000,0.214,0.786,0.144,0.155, 0.00
15,Draw,0.000,0.200,0.800,0.156,0.153, 0.00
16,Draw,0.000,0.188,0.813,0.150,0.154, 0.00
17,Runner,0.059,0.176,0.765,0.000,0.000, 0.00
18,Draw,0.056,0.167,0.778,0.140,0.159, 7.16
19,Draw,0.053,0.158,0.789,0.145,0.145, 2.10
20,Pursuer,0.050,0.200,0.750,0.000,0.000, 0.00
21,Runner,0.095,0.190,0.714,0.156,0.156, 1.00
22,Draw,0.091,0.182,0.727,0.138,0.162, 0.00
23,Draw,0.087,0.174,0.739,0.138,0.145, 8.38
24,Draw,0.083,0.167,0.750,0.151,0.148, 0.00
25,Draw,0.080,0.160,0.760,0.142,0.140, 0.00
26,Draw,0.077,0.154,0.769,0.150,0.165, 0.00
27,Draw,0.074,0.148,0.778,0.144,0.142, 0.00
28,Draw,0.071,0.143,0.786,0.146,0.154, 0.00
29,Draw,0.069,0.138,0.793,0.150,0.142, 0.00
30,Draw,0.067,0.133,0.800,0.147,0.147, 0.00
31,Draw,0.065,0.129,0.806,0.152,0.148, 14.50
32,Draw,0.063,0.125,0.813,0.141,0.160, 0.00
33,Draw,0.061,0.121,0.818,0.148,0.145, 0.00
34,Draw,0.059,0.118,0.824,0.141,0.152, 0.00
35,Draw,0.057,0.114,0.829,0.154,0.158, 11.20
36,Pursuer,0.056,0.139,0.806,0.000,0.000, 0.00
37,Draw,0.054,0.135,0.811,0.142,0.148, 0.00
38,Pursuer,0.053,0.158,0.789,0.140,0.142, 0.00
39,Draw,0.051,0.154,0.795,0.144,0.150, 0.00
40,Pursuer,0.050,0.175,0.775,0.141,0.152, 0.00
41,Pursuer,0.049,0.195,0.756,0.128,0.149, 0.00
42,Pursuer,0.048,0.214,0.738,0.145,0.144, 0.00
43,Runner,0.070,0.209,0.721,0.138,0.163, 0.00
44,Draw,0.068,0.205,0.727,0.151,0.154, 0.00
45,Draw,0.067,0.200,0.733,0.159,0.153, 11.66
46,Draw,0.065,0.196,0.739,0.149,0.145, 0.00
47,Draw,0.064,0.191,0.745,0.155,0.154, 0.00
48,Draw,0.063,0.188,0.750,0.157,0.154, 0.00
49,Draw,0.061,0.184,0.755,0.150,0.154, 0.00
50,Draw,0.060,0.180,0.760,0.152,0.146, 0.00
51,Draw,0.059,0.176,0.765,0.163,0.154, 0.54
52,Draw,0.058,0.173,0.769,0.164,0.154, 0.18
53,Draw,0.057,0.170,0.774,0.150,0.144, 18.20
54,Draw,0.056,0.167,0.778,0.149,0.160, 0.16
55,Runner,0.073,0.164,0.764,0.000,0.000, 0.00
