Episode,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeStepsAvg
8800,0.51,0.47,0.02,0.1274363,0.1253219,0.8780037,195.03
8900,0.58,0.41,0.01,0.1327511,0.1288361,0.7470015,205.37
9000,0.47,0.52,0.01,0.1325893,0.12686,0.7802015,184.56
9100,0.55,0.42,0.03,0.125062,0.1253928,0.8458042,187.3
9200,0.58,0.39,0.03,0.1279937,0.1248628,1.215206,213.95
9300,0.43,0.55,0.02,0.1265411,0.1256266,0.6470022,195.39
9400,0.54,0.43,0.03,0.1257682,0.1255841,1.048003,216.7
9500,0.53,0.45,0.02,0.1272,0.1283669,0.8692044,182.05
9600,0.49,0.49,0.02,0.1347444,0.1348865,0.6008019,179.84
9700,0.5,0.47,0.03,0.1301354,0.1305165,1.250406,207.87
9800,0.54,0.46,0,0.1260251,0.1371017,0.4045997,162.38
9900,0.55,0.43,0.02,0.1345138,0.1475284,0.8880041,185.33
10000,0.48,0.48,0.04,0.1268367,0.1300802,1.035808,205.19
10100,0.54,0.43,0.03,0.1366481,0.1337189,1.173605,233.08
10200,0.56,0.4,0.04,0.1267188,0.1223245,1.224209,203
10300,0.49,0.45,0.06,0.1248312,0.1316538,1.326608,215.45
10400,0.54,0.45,0.01,0.1224013,0.1219319,0.8220016,182.12
10500,0.49,0.45,0.06,0.1233794,0.1212005,1.685812,238.26
10600,0.54,0.45,0.01,0.1162324,0.1219848,0.873601,171.33
10700,0.53,0.46,0.01,0.121179,0.1277574,0.8665993,191.32
10800,0.56,0.42,0.02,0.1201573,0.117665,0.8186035,163.04
10900,0.47,0.51,0.02,0.1236437,0.1276533,0.7848026,184.02
11000,0.61,0.38,0.01,0.1215762,0.1240838,0.5069997,155.2
11100,0.5,0.47,0.03,0.1206853,0.1264448,0.7330033,197.55
11200,0.52,0.47,0.01,0.1147535,0.1198601,0.7164013,166.28
11300,0.58,0.39,0.03,0.1284669,0.1289272,1.188605,172.53
11400,0.51,0.46,0.03,0.1134348,0.1204641,1.043205,194.67
11500,0.55,0.42,0.03,0.1205002,0.1276506,1.092406,183.89
11600,0.48,0.5,0.02,0.1238032,0.1222253,0.8398038,187.27
11700,0.53,0.42,0.05,0.1169679,0.1129721,1.326809,193.64
11800,0.59,0.36,0.05,0.1146708,0.1199056,1.313808,220.67
11900,0.56,0.39,0.05,0.1155143,0.1203066,1.192209,182.78
12000,0.52,0.46,0.02,0.1151684,0.1223691,0.6944035,168.69
12100,0.55,0.38,0.07,0.1120531,0.1234944,1.842213,208.78
12200,0.63,0.34,0.03,0.1107817,0.1198794,1.104604,177.38
12300,0.55,0.4,0.05,0.116877,0.122086,1.211408,198.18
12400,0.47,0.5,0.03,0.1290015,0.1251546,0.8148033,187.01
12500,0.53,0.47,0,0.115407,0.1154058,0.4973995,146.84
12600,0.57,0.4,0.03,0.1170681,0.1290425,0.880806,190.24
12700,0.5,0.45,0.05,0.1172824,0.1263698,1.069205,224.14
12800,0.55,0.42,0.03,0.1183341,0.1167086,1.075405,191.4
12900,0.45,0.49,0.06,0.1136918,0.118257,1.20401,202.67
13000,0.51,0.44,0.05,0.1170028,0.1155964,1.326208,196.55
13100,0.51,0.46,0.03,0.1210861,0.1210469,0.8252044,169.56
13200,0.51,0.46,0.03,0.1165509,0.1189501,0.780005,169.47
13300,0.57,0.41,0.02,0.1152313,0.1080691,0.5952018,151.03
13400,0.51,0.47,0.02,0.1124913,0.1112446,0.6854017,183.29
13500,0.54,0.43,0.03,0.1146693,0.1171218,1.129407,171.07
13600,0.49,0.49,0.02,0.1228761,0.1298343,0.8482035,158.58
13700,0.53,0.43,0.04,0.1171928,0.1251127,1.321607,200.64
13800,0.53,0.45,0.02,0.1177974,0.1159313,0.7050031,173.51
13900,0.49,0.48,0.03,0.1097711,0.1105347,0.9468064,165.17
14000,0.55,0.4,0.05,0.1133672,0.117121,0.8262061,195.13
14100,0.45,0.5,0.05,0.1147821,0.1304059,1.158807,183.45
14200,0.53,0.44,0.03,0.1164572,0.1294384,1.004806,181.09
14300,0.6,0.38,0.02,0.103173,0.110058,0.7458022,166.76
14400,0.52,0.45,0.03,0.1329386,0.133927,0.9920068,167.32
14500,0.49,0.49,0.02,0.1135822,0.1104079,0.810402,164.19
14600,0.47,0.51,0.02,0.1171996,0.1336061,0.7876042,163.02
14700,0.5,0.48,0.02,0.1136531,0.1145722,1.059604,178.64
14800,0.42,0.53,0.05,0.1089706,0.1069493,1.126009,202.82
14900,0.53,0.45,0.02,0.1008934,0.1063581,0.7532038,168.08
15000,0.54,0.42,0.04,0.1108906,0.1122018,1.239209,187.86
15100,0.5,0.46,0.04,0.1066011,0.1079931,1.104406,199.8
15200,0.56,0.4,0.04,0.1110912,0.1155754,1.252006,229.92
15300,0.58,0.36,0.06,0.1105114,0.1166635,1.422809,202.91
15400,0.51,0.4,0.09,0.1125367,0.1184892,1.765415,219.27
15500,0.52,0.45,0.03,0.1110104,0.1200915,0.6910015,173.23
15600,0.48,0.5,0.02,0.1197938,0.1315515,0.5992017,169.7
15700,0.47,0.5,0.03,0.1116004,0.110806,0.919402,192.52
15800,0.51,0.43,0.06,0.1068417,0.1189575,1.628411,198.07
15900,0.49,0.47,0.04,0.1154807,0.1140524,0.935406,185.46
16000,0.45,0.5,0.05,0.1083187,0.1044386,1.108806,215.42
16100,0.51,0.46,0.03,0.1106018,0.1087078,1.092005,170.16
16200,0.53,0.42,0.05,0.1066462,0.1136088,1.377408,202.9
16300,0.51,0.46,0.03,0.1098152,0.1265637,0.4716,159.43
16400,0.53,0.44,0.03,0.1110115,0.1163501,0.7562042,163.7
16500,0.48,0.48,0.04,0.107935,0.1078273,1.060406,184.23
16600,0.46,0.5,0.04,0.1131628,0.1192086,0.9326056,188.15
16700,0.4,0.58,0.02,0.1225421,0.128963,0.7390049,151.45
16800,0.48,0.48,0.04,0.1056049,0.1032938,0.8264037,170.87
16900,0.48,0.5,0.02,0.1098591,0.1078229,0.8556042,163.66
17000,0.43,0.52,0.05,0.09857196,0.1048413,0.9712064,173.64
17100,0.44,0.53,0.03,0.1070176,0.1062054,0.8606043,189.47
17200,0.48,0.46,0.06,0.1141253,0.1048702,1.357409,193.65
17300,0.48,0.51,0.01,0.1111646,0.1043861,0.5416,154.28
17400,0.47,0.49,0.04,0.1067332,0.1078446,1.13221,161.72
17500,0.48,0.5,0.02,0.102719,0.1070702,0.5352018,165.86
17600,0.51,0.44,0.05,0.101045,0.1052045,1.120609,204.48
17700,0.47,0.51,0.02,0.1006241,0.1051583,0.7404038,191.92
17800,0.43,0.53,0.04,0.1116182,0.1041365,1.156208,183.59
17900,0.49,0.49,0.02,0.1105511,0.1152431,0.7490041,173.91
18000,0.48,0.47,0.05,0.1064963,0.107605,1.137407,190.13
18100,0.58,0.39,0.03,0.1100789,0.1097262,0.9138048,173.76
18200,0.49,0.48,0.03,0.1109998,0.1158834,1.055206,167.58
18300,0.49,0.46,0.05,0.1175199,0.1151494,0.9978084,172.71
18400,0.48,0.46,0.06,0.1111301,0.1339518,1.643613,200.28
18500,0.44,0.53,0.03,0.1189998,0.1196626,0.7406048,145.13
18600,0.49,0.47,0.04,0.1060883,0.1116122,0.9624068,163.04
18700,0.48,0.47,0.05,0.1005793,0.1187669,1.502612,197.1
18800,0.44,0.49,0.07,0.09884541,0.09823204,1.315609,190.04
18900,0.45,0.49,0.06,0.1016441,0.1085389,1.37961,201.52
19000,0.53,0.45,0.02,0.1040033,0.09820177,0.7690041,167.78
19100,0.45,0.52,0.03,0.1058038,0.1054097,0.6926019,157.58
19200,0.44,0.52,0.04,0.1052804,0.1039586,0.8754035,186.36
19300,0.43,0.5,0.07,0.1055606,0.100946,1.13541,201.28
19400,0.47,0.5,0.03,0.1067505,0.1125141,0.9828048,154.07
19500,0.44,0.51,0.05,0.1087008,0.1153565,1.028007,172.49
19600,0.47,0.49,0.04,0.1120189,0.1066607,0.9016035,201.45
19700,0.4,0.57,0.03,0.1034799,0.114112,0.9382052,146.18
19800,0.59,0.39,0.02,0.1016586,0.09931006,0.9490035,154.36
19900,0.53,0.42,0.05,0.1015867,0.1012492,1.202011,193.68
20000,0.53,0.42,0.05,0.097312,0.09979445,1.240409,165.92
20100,0.51,0.45,0.04,0.1045951,0.1004383,0.9418057,167.44
20200,0.47,0.47,0.06,0.1031913,0.1068896,1.37901,197.24
20300,0.58,0.41,0.01,0.09996571,0.09761449,0.721602,146.71
20400,0.5,0.48,0.02,0.1007792,0.09521078,0.8256035,142.07
20500,0.43,0.52,0.05,0.09774163,0.09851629,1.291611,163.82
20600,0.44,0.56,0,0.1091573,0.0973615,0.3187997,136.72
20700,0.55,0.4,0.05,0.1067168,0.1176946,1.28961,165.99
20800,0.52,0.44,0.04,0.09712409,0.1104334,1.237808,167.05
20900,0.48,0.44,0.08,0.1008827,0.1087818,1.573613,197.41
21000,0.55,0.42,0.03,0.1007619,0.09802075,1.184804,164.57
21100,0.45,0.52,0.03,0.1071909,0.1339511,0.7558042,170.47
21200,0.42,0.52,0.06,0.1034975,0.100959,1.34101,179.51
21300,0.44,0.5,0.06,0.1017302,0.1061044,1.270211,176.12
21400,0.43,0.55,0.02,0.1025838,0.106317,0.8012038,152.16
21500,0.55,0.43,0.02,0.1031295,0.1019368,0.7528044,154.03
21600,0.46,0.48,0.06,0.09888738,0.1186455,1.403414,159.52
21700,0.47,0.5,0.03,0.1071823,0.113373,0.764205,157.63
21800,0.49,0.46,0.05,0.09935836,0.09756149,1.388811,192.44
21900,0.49,0.48,0.03,0.1011776,0.1124934,1.092206,170.8
22000,0.55,0.43,0.02,0.09555218,0.09348528,0.8306042,145.77
22100,0.51,0.49,0,0.1031398,0.1079254,0.4887996,130.28
22200,0.44,0.51,0.05,0.09260337,0.09417985,1.086409,166.24
22300,0.5,0.47,0.03,0.09387731,0.09782849,0.8308067,152.66
22400,0.44,0.51,0.05,0.1256287,0.1283594,0.9662083,157.14
22500,0.49,0.5,0.01,0.1023298,0.09824137,0.5056,145.75
22600,0.49,0.47,0.04,0.101737,0.10892,1.054006,161.43
22700,0.48,0.48,0.04,0.0992672,0.09666743,1.253809,157.63
22800,0.44,0.52,0.04,0.1000725,0.118224,0.9330066,162.48
22900,0.56,0.41,0.03,0.1106371,0.1074508,1.007604,151.88
23000,0.46,0.48,0.06,0.1025064,0.0973803,1.058008,173.43
23100,0.53,0.42,0.05,0.09906411,0.1011381,1.021607,175.72
23200,0.49,0.48,0.03,0.09917982,0.09754324,0.7064016,154.29
23300,0.39,0.54,0.07,0.1011422,0.1063212,1.253411,197.42
23400,0.49,0.46,0.05,0.09542748,0.1002418,1.345609,180.88
23500,0.49,0.49,0.02,0.1056507,0.1044273,0.665402,150.24
23600,0.43,0.52,0.05,0.1045715,0.1201283,1.246409,183.8
23700,0.5,0.48,0.02,0.09751673,0.09719991,0.7944045,154.23
23800,0.48,0.48,0.04,0.1003668,0.09401764,0.984606,167.26
23900,0.53,0.46,0.01,0.09939307,0.1036603,0.6848022,153.95
24000,0.45,0.52,0.03,0.09178533,0.1085804,0.9646066,153.62
24100,0.55,0.4,0.05,0.1025406,0.1010809,0.979805,159.69
24200,0.47,0.51,0.02,0.09099773,0.1010733,0.7496038,135.8
24300,0.51,0.47,0.02,0.09394427,0.09343327,0.522602,148.56
24400,0.5,0.45,0.05,0.1034435,0.1079579,1.366811,180
24500,0.47,0.5,0.03,0.096427,0.09323542,0.8162044,159.97
24600,0.5,0.47,0.03,0.09589617,0.09535772,1.096805,173.76
24700,0.53,0.45,0.02,0.0975004,0.0969183,0.9330033,162.11
24800,0.47,0.5,0.03,0.09661569,0.1012283,0.780404,152.18
24900,0.44,0.52,0.04,0.1067383,0.1045552,0.9768064,169.16
25000,0.38,0.59,0.03,0.09856952,0.1019502,0.6376036,174.82
25100,0.54,0.43,0.03,0.1114131,0.09992705,0.7152039,124.65
25200,0.5,0.49,0.01,0.1020529,0.1065856,0.7772019,137.19
25300,0.47,0.47,0.06,0.09897817,0.09724483,1.222011,185.55
25400,0.53,0.45,0.02,0.1142123,0.1023851,0.6896036,159.15
25500,0.56,0.44,0,0.09445639,0.09281901,0.6163995,137.54
25600,0.49,0.46,0.05,0.1031716,0.09360228,0.9414057,181.15
25700,0.48,0.5,0.02,0.1040674,0.1037543,0.7058039,147.76
25800,0.51,0.45,0.04,0.09453701,0.09412036,0.8460055,181.88
25900,0.44,0.48,0.08,0.097716,0.1004656,1.793616,202.97
26000,0.55,0.41,0.04,0.09932284,0.0994498,1.204209,168.73
26100,0.43,0.5,0.07,0.09226565,0.09185465,1.618015,199.73
26200,0.53,0.45,0.02,0.09588707,0.09443381,0.5684022,147.68
26300,0.49,0.49,0.02,0.1022822,0.1024093,0.6134024,165.49
26400,0.57,0.41,0.02,0.09945315,0.100747,1.121404,151.64
26500,0.52,0.45,0.03,0.1021127,0.09737716,0.8400043,173.82
26600,0.51,0.46,0.03,0.09911602,0.1082877,0.9056069,147.82
26700,0.5,0.49,0.01,0.1051756,0.1025041,0.6238022,154.05
26800,0.47,0.5,0.03,0.09979524,0.1055988,0.9340043,174.35
26900,0.46,0.5,0.04,0.09731806,0.1017857,1.151806,187.6
27000,0.56,0.4,0.04,0.09384405,0.09275883,1.008407,163.29
27100,0.4,0.56,0.04,0.1103081,0.09897011,0.9226064,176.08
27200,0.53,0.47,0,0.09777216,0.1012848,0.4749997,149.36
27300,0.44,0.53,0.03,0.09400319,0.09057528,0.7434042,147.9
27400,0.5,0.45,0.05,0.09422279,0.08962389,1.215809,175.24
27500,0.53,0.42,0.05,0.1009908,0.1170139,1.049209,165.39
27600,0.46,0.52,0.02,0.09484312,0.09545102,0.6274032,148.73
27700,0.57,0.39,0.04,0.0814746,0.08347437,1.084208,160.78
27800,0.41,0.56,0.03,0.09912393,0.09983299,0.5690017,160.03
27900,0.53,0.44,0.03,0.1028841,0.1195593,0.8224031,149.25
28000,0.48,0.48,0.04,0.09831151,0.09259899,1.177008,167.98
28100,0.46,0.51,0.03,0.09568033,0.1005996,0.6300039,166.34
28200,0.53,0.44,0.03,0.1027862,0.1044879,1.045407,179.44
28300,0.43,0.55,0.02,0.09582411,0.09202323,0.7090045,147.01
28400,0.49,0.48,0.03,0.09013937,0.09079794,0.950807,152.8
28500,0.51,0.46,0.03,0.09466184,0.09846136,0.9182041,163.54
28600,0.52,0.45,0.03,0.107486,0.1119447,0.8544042,160.07
28700,0.43,0.51,0.06,0.09662233,0.09841293,1.343412,182.85
28800,0.56,0.4,0.04,0.1021142,0.1094557,0.9260063,150.26
28900,0.46,0.51,0.03,0.08763337,0.09051122,0.8564039,163.87
29000,0.43,0.53,0.04,0.09209599,0.1008275,0.9518062,154.86
29100,0.51,0.48,0.01,0.09276006,0.09359404,0.4003997,126.78
29200,0.52,0.48,0,0.09848452,0.09374625,0.5113995,158.28
29300,0.42,0.56,0.02,0.0948737,0.09584816,0.8474047,164.51
29400,0.51,0.46,0.03,0.09924608,0.1053663,0.6878024,157
29500,0.53,0.45,0.02,0.1004971,0.1038517,0.8210048,147.41
29600,0.42,0.56,0.02,0.09258602,0.09139939,0.8042045,141.93
29700,0.48,0.5,0.02,0.09200508,0.09516823,0.7098021,156.53
29800,0.48,0.51,0.01,0.09717454,0.1011339,0.4743996,150.63
29900,0.5,0.48,0.02,0.0905108,0.08896755,0.585202,146.42
30000,0.53,0.45,0.02,0.08822928,0.09093602,0.7232028,147
30100,0.49,0.49,0.02,0.09234626,0.09701041,0.8472042,153.01
30200,0.36,0.58,0.06,0.09528864,0.08956783,0.9696087,182.72
30300,0.44,0.54,0.02,0.0945181,0.1058881,0.8304018,159.32
30400,0.6,0.39,0.01,0.09996489,0.100378,0.5512016,136.76
30500,0.52,0.45,0.03,0.09526287,0.09970491,0.613602,140.93
30600,0.42,0.54,0.04,0.09452178,0.1165908,0.9706061,156.11
30700,0.42,0.53,0.05,0.0895961,0.0989094,0.9712066,165.94
30800,0.51,0.48,0.01,0.09624869,0.09456213,0.5938019,129.44
30900,0.47,0.51,0.02,0.08731046,0.09321486,0.9484043,164.69
31000,0.47,0.5,0.03,0.1039207,0.1056318,0.8786066,140.8
31100,0.51,0.49,0,0.1048568,0.104166,0.5055997,121.08
31200,0.51,0.46,0.03,0.1105014,0.1273549,0.880206,147.25
31300,0.57,0.41,0.02,0.09003741,0.09730918,0.8768045,149.75
31400,0.49,0.48,0.03,0.09947279,0.1034877,0.9452059,162.48
31500,0.46,0.52,0.02,0.1045182,0.1224224,0.624604,115.83
31600,0.57,0.42,0.01,0.09489193,0.09778847,0.5376019,126.91
31700,0.55,0.43,0.02,0.09393601,0.1030943,0.6482021,132.74
31800,0.53,0.45,0.02,0.08693791,0.08842887,0.9222063,165.54
31900,0.52,0.45,0.03,0.08868891,0.08839038,0.8410041,155
32000,0.53,0.42,0.05,0.0815376,0.1020736,1.433411,168.04
32100,0.41,0.55,0.04,0.09159552,0.09034751,1.14941,155.67
32200,0.49,0.5,0.01,0.09455162,0.08926078,0.5414016,130.39
32300,0.41,0.56,0.03,0.1035378,0.09551299,0.9220071,153.93
32400,0.43,0.55,0.02,0.09521211,0.09227391,0.4359997,132.96
32500,0.45,0.52,0.03,0.1055527,0.1113528,0.9428065,162.09
32600,0.43,0.54,0.03,0.09117921,0.09133554,0.5768017,161.25
32700,0.59,0.4,0.01,0.09617826,0.1113714,0.7212017,137.25
32800,0.55,0.45,0,0.1017106,0.1061882,0.3803997,118.82
32900,0.55,0.4,0.05,0.09229694,0.09296837,1.058208,184.79
33000,0.49,0.5,0.01,0.08964,0.08277124,0.4245996,123.24
33100,0.5,0.45,0.05,0.08139989,0.09155926,1.161809,161.55
33200,0.47,0.52,0.01,0.09118928,0.08822248,0.5038023,134.95
33300,0.49,0.49,0.02,0.08624274,0.09133328,0.7336012,157.93
33400,0.51,0.44,0.05,0.1039887,0.1229851,1.041409,157.02
33500,0.54,0.44,0.02,0.09860516,0.0953377,0.8232049,146.96
33600,0.56,0.42,0.02,0.09252185,0.09395207,0.9958046,146.35
33700,0.46,0.51,0.03,0.09548988,0.09062761,1.088007,173.58
33800,0.52,0.46,0.02,0.09707754,0.1067015,0.633202,150.75
33900,0.53,0.44,0.03,0.09580342,0.09461869,0.7454038,128.71
34000,0.5,0.49,0.01,0.08822934,0.09290718,0.5136021,153.28
34100,0.47,0.51,0.02,0.1031691,0.1141044,0.9470043,164.92
34200,0.51,0.48,0.01,0.09170293,0.09175073,0.6182011,147.89
34300,0.51,0.47,0.02,0.1058509,0.1194543,0.6718041,150.01
34400,0.51,0.48,0.01,0.08960254,0.1065397,0.6478031,152.32
34500,0.44,0.53,0.03,0.09410766,0.09505465,0.609802,147.02
34600,0.47,0.51,0.02,0.09451506,0.1007785,0.9180038,134.81
34700,0.48,0.51,0.01,0.09785726,0.09889857,0.7940041,140.3
34800,0.48,0.5,0.02,0.0980835,0.09372879,0.7246041,132.71
34900,0.53,0.44,0.03,0.09703847,0.1019458,0.9518055,165.08
35000,0.54,0.44,0.02,0.1048841,0.1148754,0.7814023,142.15
35100,0.47,0.52,0.01,0.09657726,0.1143974,0.6950022,133.8
35200,0.45,0.53,0.02,0.1037696,0.1005252,0.710404,146.59
35300,0.59,0.37,0.04,0.1004275,0.113436,1.147809,149.88
35400,0.44,0.56,0,0.09485494,0.09226376,0.4993996,150.96
35500,0.51,0.46,0.03,0.08732586,0.09579678,1.067207,139.79
35600,0.45,0.49,0.06,0.09484705,0.09507158,0.9920084,157.62
35700,0.5,0.48,0.02,0.09251839,0.09104086,0.7396044,128.77
35800,0.43,0.51,0.06,0.1041792,0.1183481,1.049807,190.04
35900,0.44,0.53,0.03,0.09734623,0.09079231,0.9746067,146.88
36000,0.39,0.6,0.01,0.09325843,0.08785459,0.3247997,134.7
36100,0.45,0.53,0.02,0.0948255,0.08901493,0.7270039,160.05
36200,0.43,0.56,0.01,0.0907589,0.09174713,0.5656015,144.58
36300,0.46,0.53,0.01,0.09049394,0.08580856,0.5818018,147.91
36400,0.44,0.55,0.01,0.08488008,0.09091173,0.3087998,124.34
36500,0.42,0.57,0.01,0.08782473,0.08589794,0.3593997,147.71
36600,0.54,0.46,0,0.08650681,0.09347606,0.5365995,139.28
36700,0.51,0.47,0.02,0.09962568,0.09977055,0.5254018,138.65
36800,0.53,0.4,0.07,0.1009515,0.1187196,1.717614,197.46
36900,0.51,0.49,0,0.1049149,0.1071045,0.3765997,125.93
37000,0.52,0.48,0,0.09294911,0.09732567,0.5301996,130.07
37100,0.4,0.6,0,0.08685227,0.0977602,0.3021998,134.62
37200,0.42,0.58,0,0.09954529,0.09503875,0.4035997,134.82
37300,0.53,0.46,0.01,0.08036001,0.0856496,0.4321997,146.85
37400,0.48,0.5,0.02,0.1029747,0.1085923,0.5844014,151.73
37500,0.43,0.52,0.05,0.09767152,0.09522012,0.8784062,162.87
37600,0.5,0.5,0,0.09316792,0.1070331,0.3729998,123.39
37700,0.47,0.51,0.02,0.08951245,0.09683003,0.6830018,142.49
37800,0.43,0.53,0.04,0.08999851,0.09375546,0.7148042,157.05
37900,0.58,0.4,0.02,0.1012207,0.1151076,0.7546018,151.84
38000,0.48,0.48,0.04,0.1115114,0.1236665,1.111006,157.72
38100,0.46,0.51,0.03,0.09036814,0.09143043,0.8954065,136.23
38200,0.54,0.45,0.01,0.1039152,0.1131109,0.5926021,122.56
