Episode,Winner,RunnerAcc,PursuerAcc,RunnerJitter,PursuerJitter,NearMissTime
1,Runner,1.000,0.000,0.086,0.125,0.00
2,Pursuer,0.500,0.500,0.149,0.207,0.00
3,Pursuer,0.333,0.667,0.107,0.170,0.00
4,Pursuer,0.250,0.750,0.143,0.160,0.00
5,Runner,0.400,0.600,0.140,0.155,0.52
6,Pursuer,0.333,0.667,0.145,0.153,0.00
7,Draw,0.286,0.571,0.146,0.176,0.00
8,Draw,0.250,0.500,0.145,0.143,0.00
9,Draw,0.222,0.444,0.146,0.163,0.00
10,Draw,0.200,0.400,0.159,0.158,0.00
11,Draw,0.182,0.364,0.165,0.138,0.00
12,Draw,0.167,0.333,0.148,0.145,0.00
13,Draw,0.154,0.308,0.150,0.156,0.00
14,Draw,0.143,0.286,0.144,0.160,0.00
15,Draw,0.133,0.267,0.161,0.151,0.00
16,Draw,0.125,0.250,0.143,0.135,0.00
17,Draw,0.118,0.235,0.138,0.152,0.00
18,Pursuer,0.111,0.278,0.000,0.000,0.00
19,Pursuer,0.105,0.316,0.262,0.187,0.00
20,Draw,0.100,0.300,0.153,0.142,0.00
21,Pursuer,0.095,0.333,0.083,0.046,0.00
22,Draw,0.091,0.318,0.148,0.145,18.80
23,Draw,0.087,0.304,0.141,0.160,0.98
24,Pursuer,0.083,0.333,0.142,0.152,0.00
25,Draw,0.080,0.320,0.153,0.146,0.00
26,Draw,0.077,0.308,0.165,0.153,0.00
27,Pursuer,0.074,0.333,0.143,0.146,0.00
28,Draw,0.071,0.321,0.150,0.145,0.00
29,Draw,0.069,0.310,0.155,0.145,0.00
30,Draw,0.067,0.300,0.161,0.147,0.00
31,Draw,0.065,0.290,0.155,0.141,0.00
32,Draw,0.063,0.281,0.155,0.155,6.44
33,Draw,0.061,0.273,0.152,0.139,0.00
34,Draw,0.059,0.265,0.150,0.148,0.48
35,Draw,0.057,0.257,0.147,0.146,0.00
36,Draw,0.056,0.250,0.155,0.148,0.00
37,Draw,0.054,0.243,0.152,0.142,0.00
38,Pursuer,0.053,0.263,0.147,0.178,0.00
39,Draw,0.051,0.256,0.155,0.150,0.00
40,Pursuer,0.050,0.275,0.000,0.000,0.00
41,Draw,0.049,0.268,0.148,0.148,0.00
42,Pursuer,0.048,0.286,0.142,0.162,0.00
43,Draw,0.047,0.279,0.151,0.153,0.00
44,Pursuer,0.045,0.295,0.151,0.144,0.00
45,Draw,0.044,0.289,0.155,0.151,19.40
46,Draw,0.043,0.283,0.149,0.155,2.74
47,Runner,0.064,0.277,0.160,0.140,1.60
48,Draw,0.063,0.271,0.162,0.148,0.00
49,Draw,0.061,0.265,0.138,0.168,1.78
50,Draw,0.060,0.260,0.165,0.164,0.00
51,Draw,0.059,0.255,0.155,0.155,17.38
52,Draw,0.058,0.250,0.147,0.153,0.00
53,Draw,0.057,0.245,0.146,0.139,2.26
54,Draw,0.056,0.241,0.151,0.149,0.00
55,Draw,0.055,0.236,0.163,0.140,0.00
56,Draw,0.054,0.232,0.148,0.156,0.00
57,Draw,0.053,0.228,0.147,0.160,0.00
58,Draw,0.052,0.224,0.146,0.143,0.00
59,Pursuer,0.051,0.237,0.148,0.142,0.00
60,Draw,0.050,0.233,0.141,0.143,10.00
61,Draw,0.049,0.230,0.146,0.141,0.00
62,Draw,0.048,0.226,0.145,0.163,0.00
63,Pursuer,0.048,0.238,0.139,0.150,0.00
64,Pursuer,0.047,0.250,0.152,0.159,0.00
65,Draw,0.046,0.246,0.143,0.146,0.00
66,Draw,0.045,0.242,0.142,0.140,0.00
67,Draw,0.045,0.239,0.145,0.143,0.00
68,Draw,0.044,0.235,0.155,0.151,0.00
69,Draw,0.043,0.232,0.160,0.156,0.00
70,Draw,0.043,0.229,0.150,0.156,8.70
71,Pursuer,0.042,0.239,0.000,0.000,0.00
72,Draw,0.042,0.236,0.156,0.146,0.00
73,Draw,0.041,0.233,0.151,0.171,0.00
74,Draw,0.041,0.230,0.150,0.141,0.00
75,Draw,0.040,0.227,0.156,0.147,18.80
76,Pursuer,0.039,0.237,0.000,0.000,0.00
77,Draw,0.039,0.234,0.145,0.154,0.00
78,Runner,0.051,0.231,0.130,0.144,0.00
79,Draw,0.051,0.228,0.153,0.145,5.84
80,Draw,0.050,0.225,0.142,0.145,0.00
81,Pursuer,0.049,0.235,0.148,0.146,0.00
82,Draw,0.049,0.232,0.139,0.152,11.64
83,Draw,0.048,0.229,0.156,0.150,0.00
84,Draw,0.048,0.226,0.152,0.148,17.46
85,Runner,0.059,0.224,0.152,0.143,0.00
86,Pursuer,0.058,0.233,0.038,0.077,0.00
87,Pursuer,0.057,0.241,0.146,0.143,0.00
88,Draw,0.057,0.239,0.148,0.143,0.00
89,Draw,0.056,0.236,0.153,0.150,0.00
90,Draw,0.056,0.233,0.147,0.145,0.00
91,Draw,0.055,0.231,0.152,0.159,0.40
92,Draw,0.054,0.228,0.149,0.154,0.00
93,Draw,0.054,0.226,0.161,0.151,0.00
94,Draw,0.053,0.223,0.165,0.154,19.98
95,Draw,0.053,0.221,0.152,0.159,0.00
96,Draw,0.052,0.219,0.159,0.153,11.78
97,Pursuer,0.052,0.227,0.151,0.155,0.00
98,Draw,0.051,0.224,0.138,0.150,0.00
99,Draw,0.051,0.222,0.146,0.159,0.00
100,Runner,0.060,0.220,0.153,0.149,0.00
101,Runner,0.069,0.218,0.146,0.151,0.00
102,Draw,0.069,0.216,0.146,0.143,0.00
103,Draw,0.068,0.214,0.152,0.147,0.00
104,Draw,0.067,0.212,0.153,0.146,0.00
105,Pursuer,0.067,0.219,0.157,0.159,0.00
106,Draw,0.066,0.217,0.147,0.157,6.08
107,Runner,0.075,0.215,0.191,0.083,0.00
108,Pursuer,0.074,0.222,0.157,0.142,0.00
109,Draw,0.073,0.220,0.155,0.146,0.00
110,Draw,0.073,0.218,0.156,0.145,19.98
111,Pursuer,0.072,0.225,0.000,0.000,0.00
112,Pursuer,0.071,0.232,0.123,0.165,0.00
113,Draw,0.071,0.230,0.150,0.170,0.00
114,Draw,0.070,0.228,0.148,0.146,0.00
115,Pursuer,0.070,0.235,0.140,0.133,0.00
116,Draw,0.069,0.233,0.156,0.151,0.00
117,Pursuer,0.068,0.239,0.149,0.154,0.00
118,Draw,0.068,0.237,0.153,0.155,19.98
119,Pursuer,0.067,0.244,0.143,0.156,0.00
120,Draw,0.067,0.242,0.155,0.151,0.00
121,Draw,0.066,0.240,0.140,0.151,0.00
122,Draw,0.066,0.238,0.144,0.149,3.54
123,Draw,0.065,0.236,0.146,0.158,0.00
124,Draw,0.065,0.234,0.151,0.141,0.00
125,Runner,0.072,0.232,0.138,0.151,0.00
126,Draw,0.071,0.230,0.145,0.140,12.18
127,Runner,0.079,0.228,0.142,0.149,0.00
128,Draw,0.078,0.227,0.143,0.155,19.98
129,Runner,0.085,0.225,0.133,0.155,0.00
130,Draw,0.085,0.223,0.157,0.139,0.00
131,Pursuer,0.084,0.229,0.000,0.000,0.00
132,Draw,0.083,0.227,0.149,0.147,6.12
133,Draw,0.083,0.226,0.142,0.142,0.00
134,Pursuer,0.082,0.231,0.149,0.148,0.00
135,Draw,0.081,0.230,0.156,0.145,4.24
