Episode,Winner,RunnerAcc,PursuerAcc,RunnerJitter,PursuerJitter,NearMissTime
136,Draw,0.081,0.228,0.137,0.164,4.84
137,Draw,0.080,0.226,0.166,0.142,19.98
138,Draw,0.080,0.225,0.149,0.140,0.00
139,Pursuer,0.079,0.230,0.163,0.152,0.00
140,Draw,0.079,0.229,0.157,0.152,0.00
141,Runner,0.085,0.227,0.158,0.146,6.74
142,Pursuer,0.085,0.232,0.000,0.000,0.00
143,Pursuer,0.084,0.238,0.131,0.076,0.00
144,Draw,0.083,0.236,0.153,0.148,13.32
145,Draw,0.083,0.234,0.150,0.145,18.42
146,Draw,0.082,0.233,0.151,0.136,3.46
147,Draw,0.082,0.231,0.146,0.151,0.00
148,Draw,0.081,0.230,0.155,0.148,0.00
149,Pursuer,0.081,0.235,0.139,0.144,0.00
150,Draw,0.080,0.233,0.138,0.140,0.72
151,Draw,0.079,0.232,0.146,0.139,0.00
152,Draw,0.079,0.230,0.143,0.155,0.00
153,Draw,0.078,0.229,0.136,0.140,0.00
154,Runner,0.084,0.227,0.141,0.144,0.00
155,Draw,0.084,0.226,0.149,0.143,0.00
156,Runner,0.090,0.224,0.167,0.121,0.00
157,Draw,0.089,0.223,0.145,0.147,0.00
158,Draw,0.089,0.222,0.143,0.146,0.00
159,Draw,0.088,0.220,0.154,0.140,0.40
160,Pursuer,0.088,0.225,0.153,0.152,0.00
161,Draw,0.087,0.224,0.140,0.144,2.16
162,Runner,0.093,0.222,0.145,0.157,0.02
163,Draw,0.092,0.221,0.142,0.154,1.28
164,Runner,0.098,0.220,0.292,0.126,0.00
165,Draw,0.097,0.218,0.146,0.156,0.00
166,Pursuer,0.096,0.223,0.144,0.157,0.00
167,Draw,0.096,0.222,0.155,0.142,10.26
168,Draw,0.095,0.220,0.149,0.164,0.00
169,Pursuer,0.095,0.225,0.150,0.147,0.00
170,Runner,0.100,0.224,0.139,0.155,0.00
171,Pursuer,0.099,0.228,0.146,0.149,0.00
172,Draw,0.099,0.227,0.150,0.157,0.00
173,Draw,0.098,0.225,0.147,0.154,0.00
174,Draw,0.098,0.224,0.160,0.151,11.78
175,Runner,0.103,0.223,0.147,0.150,0.00
176,Draw,0.102,0.222,0.158,0.151,10.72
177,Draw,0.102,0.220,0.149,0.153,0.00
178,Pursuer,0.101,0.225,0.146,0.147,0.00
179,Draw,0.101,0.223,0.148,0.160,0.00
180,Pursuer,0.100,0.228,0.147,0.139,0.00
181,Draw,0.099,0.227,0.153,0.151,0.00
182,Draw,0.099,0.225,0.156,0.151,0.62
183,Pursuer,0.098,0.230,0.178,0.145,0.00
184,Draw,0.098,0.228,0.141,0.161,7.08
185,Pursuer,0.097,0.232,0.131,0.152,0.00
186,Draw,0.097,0.231,0.159,0.147,2.02
187,Pursuer,0.096,0.235,0.141,0.153,0.00
188,Draw,0.096,0.234,0.151,0.144,0.00
189,Runner,0.101,0.233,0.388,0.132,0.00
190,Draw,0.100,0.232,0.151,0.144,0.00
191,Runner,0.105,0.230,0.247,0.100,0.00
192,Runner,0.109,0.229,0.135,0.144,0.00
193,Runner,0.114,0.228,0.147,0.127,3.38
194,Draw,0.113,0.227,0.150,0.147,0.64
195,Pursuer,0.113,0.231,0.000,0.000,0.00
196,Pursuer,0.112,0.235,0.130,0.193,0.00
197,Draw,0.112,0.234,0.156,0.151,10.74
198,Draw,0.111,0.232,0.146,0.156,0.00
199,Draw,0.111,0.231,0.144,0.148,3.86
200,Pursuer,0.110,0.235,0.000,0.000,0.00
201,Draw,0.109,0.234,0.153,0.135,0.00
202,Pursuer,0.109,0.238,0.000,0.000,0.00
203,Runner,0.113,0.236,0.141,0.136,0.00
204,Draw,0.113,0.235,0.150,0.145,3.26
205,Draw,0.112,0.234,0.138,0.165,0.00
206,Draw,0.112,0.233,0.159,0.152,0.00
207,Draw,0.111,0.232,0.142,0.148,8.18
208,Runner,0.115,0.231,0.159,0.146,0.00
209,Draw,0.115,0.230,0.163,0.148,0.00
210,Pursuer,0.114,0.233,0.145,0.141,0.00
211,Pursuer,0.114,0.237,0.152,0.153,0.00
212,Draw,0.113,0.236,0.154,0.151,12.24
213,Draw,0.113,0.235,0.147,0.155,19.50
214,Draw,0.112,0.234,0.160,0.151,0.00
215,Draw,0.112,0.233,0.148,0.141,0.00
216,Draw,0.111,0.231,0.135,0.152,0.00
217,Draw,0.111,0.230,0.152,0.164,0.00
218,Runner,0.115,0.229,0.133,0.155,1.50
219,Draw,0.114,0.228,0.147,0.155,0.00
220,Draw,0.114,0.227,0.140,0.132,1.14
221,Draw,0.113,0.226,0.142,0.138,0.00
222,Runner,0.117,0.225,0.144,0.162,0.00
223,Draw,0.117,0.224,0.140,0.153,16.68
224,Pursuer,0.116,0.228,0.145,0.146,0.00
225,Runner,0.120,0.227,0.159,0.165,0.00
226,Draw,0.119,0.226,0.152,0.138,0.00
227,Draw,0.119,0.225,0.146,0.152,0.00
228,Pursuer,0.118,0.228,0.104,0.278,0.00
229,Pursuer,0.118,0.231,0.151,0.092,0.00
230,Pursuer,0.117,0.235,0.150,0.139,0.00
231,Pursuer,0.117,0.238,0.153,0.144,0.00
232,Runner,0.121,0.237,0.143,0.132,0.00
233,Draw,0.120,0.236,0.156,0.145,17.42
234,Draw,0.120,0.235,0.144,0.158,0.00
235,Draw,0.119,0.234,0.154,0.161,11.88
236,Draw,0.119,0.233,0.147,0.150,0.00
237,Pursuer,0.118,0.236,0.180,0.137,0.00
238,Draw,0.118,0.235,0.145,0.145,0.00
239,Pursuer,0.117,0.238,0.147,0.156,0.00
240,Pursuer,0.117,0.242,0.147,0.144,0.00
241,Pursuer,0.116,0.245,0.050,0.074,0.00
242,Draw,0.116,0.244,0.152,0.163,0.00
243,Draw,0.115,0.243,0.154,0.139,0.00
244,Draw,0.115,0.242,0.149,0.146,0.00
245,Runner,0.118,0.241,0.176,0.145,3.54
246,Draw,0.118,0.240,0.151,0.145,0.00
247,Draw,0.117,0.239,0.149,0.155,17.70
248,Draw,0.117,0.238,0.142,0.146,0.96
249,Runner,0.120,0.237,0.149,0.147,7.46
250,Draw,0.120,0.236,0.154,0.146,16.46
251,Runner,0.124,0.235,0.148,0.155,8.30
252,Draw,0.123,0.234,0.151,0.147,0.00
253,Draw,0.123,0.233,0.156,0.148,6.68
254,Pursuer,0.122,0.236,0.157,0.158,0.00
255,Draw,0.122,0.235,0.136,0.145,0.00
256,Draw,0.121,0.234,0.145,0.151,0.00
257,Pursuer,0.121,0.237,0.158,0.166,0.00
258,Pursuer,0.120,0.240,0.158,0.155,0.00
259,Pursuer,0.120,0.243,0.161,0.152,0.00
260,Draw,0.119,0.242,0.152,0.141,0.00
261,Pursuer,0.119,0.245,0.171,0.147,0.00
262,Draw,0.118,0.244,0.155,0.154,2.48
263,Draw,0.118,0.243,0.157,0.143,0.54
264,Draw,0.117,0.242,0.158,0.159,5.66
265,Pursuer,0.117,0.245,0.205,0.093,0.00
266,Pursuer,0.117,0.248,0.136,0.146,0.00
267,Draw,0.116,0.247,0.153,0.157,0.00
268,Draw,0.116,0.246,0.144,0.145,2.12
269,Draw,0.115,0.245,0.143,0.152,6.14
270,Runner,0.119,0.244,0.148,0.155,3.64
271,Pursuer,0.118,0.247,0.150,0.134,0.00
272,Draw,0.118,0.246,0.158,0.148,19.98
273,Draw,0.117,0.245,0.144,0.150,0.00
274,Draw,0.117,0.245,0.145,0.151,14.74
275,Runner,0.120,0.244,0.152,0.153,4.14
276,Runner,0.123,0.243,0.156,0.158,0.00
277,Draw,0.123,0.242,0.147,0.145,0.00
278,Runner,0.126,0.241,0.142,0.145,7.18
279,Pursuer,0.125,0.244,0.164,0.154,0.00
280,Pursuer,0.125,0.246,0.121,0.142,0.00
281,Pursuer,0.125,0.249,0.177,0.156,0.00
282,Draw,0.124,0.248,0.171,0.140,0.00
283,Draw,0.124,0.247,0.139,0.143,16.74
284,Pursuer,0.123,0.250,0.153,0.148,0.00
285,Pursuer,0.123,0.253,0.150,0.144,0.00
286,Draw,0.122,0.252,0.146,0.143,0.00
287,Draw,0.122,0.251,0.144,0.148,11.68
288,Draw,0.122,0.250,0.155,0.154,0.00
289,Draw,0.121,0.249,0.149,0.146,0.00
290,Draw,0.121,0.248,0.138,0.149,3.62
291,Pursuer,0.120,0.251,0.154,0.149,0.00
292,Runner,0.123,0.250,0.144,0.126,0.00
293,Runner,0.126,0.249,0.127,0.096,0.00
294,Draw,0.126,0.248,0.150,0.143,7.80
295,Draw,0.125,0.247,0.143,0.142,3.74
296,Runner,0.128,0.247,0.161,0.126,0.00
297,Draw,0.128,0.246,0.144,0.147,8.56
298,Pursuer,0.128,0.248,0.135,0.158,0.00
299,Pursuer,0.127,0.251,0.151,0.134,0.00
300,Runner,0.130,0.250,0.140,0.152,1.98
301,Draw,0.130,0.249,0.155,0.165,0.00
302,Draw,0.129,0.248,0.139,0.150,3.20
303,Runner,0.132,0.248,0.131,0.140,2.90
304,Runner,0.135,0.247,0.144,0.161,0.00
305,Pursuer,0.134,0.249,0.141,0.154,0.00
306,Runner,0.137,0.248,0.136,0.096,0.00
307,Runner,0.140,0.248,0.153,0.152,0.00
308,Draw,0.140,0.247,0.156,0.155,0.00
309,Draw,0.139,0.246,0.153,0.133,0.00
310,Draw,0.139,0.245,0.137,0.154,4.44
311,Draw,0.138,0.244,0.154,0.156,13.26
312,Draw,0.138,0.244,0.149,0.157,0.00
313,Pursuer,0.137,0.246,0.148,0.152,0.00
314,Draw,0.137,0.245,0.153,0.146,7.10
315,Draw,0.137,0.244,0.147,0.152,0.54
316,Pursuer,0.136,0.247,0.131,0.158,0.00
317,Pursuer,0.136,0.249,0.151,0.147,0.00
318,Draw,0.135,0.248,0.154,0.155,10.56
319,Draw,0.135,0.248,0.151,0.148,13.36
320,Runner,0.138,0.247,0.137,0.139,3.52
321,Draw,0.137,0.246,0.141,0.151,0.18
322,Pursuer,0.137,0.248,0.138,0.181,0.00
323,Runner,0.139,0.248,0.143,0.149,0.72
324,Pursuer,0.139,0.250,0.129,0.126,0.00
325,Pursuer,0.138,0.252,0.082,0.150,0.00
326,Runner,0.141,0.252,0.151,0.149,3.90
327,Draw,0.141,0.251,0.145,0.157,0.00
328,Draw,0.140,0.250,0.149,0.134,18.72
329,Pursuer,0.140,0.252,0.135,0.139,0.00
330,Pursuer,0.139,0.255,0.134,0.085,0.00
331,Draw,0.139,0.254,0.143,0.151,0.00
332,Draw,0.139,0.253,0.148,0.173,10.64
333,Pursuer,0.138,0.255,0.165,0.154,0.00
334,Pursuer,0.138,0.257,0.317,0.142,0.00
335,Draw,0.137,0.257,0.153,0.154,0.00
336,Runner,0.140,0.256,0.149,0.160,5.80
337,Draw,0.139,0.255,0.141,0.166,19.10
338,Draw,0.139,0.254,0.152,0.156,19.20
339,Draw,0.139,0.254,0.152,0.138,0.00
340,Draw,0.138,0.253,0.144,0.171,0.00
341,Draw,0.138,0.252,0.147,0.151,11.36
342,Draw,0.137,0.251,0.149,0.147,0.00
343,Draw,0.137,0.251,0.152,0.168,7.56
344,Runner,0.140,0.250,0.175,0.181,0.00
345,Draw,0.139,0.249,0.144,0.171,16.92
346,Draw,0.139,0.249,0.146,0.159,15.16
347,Pursuer,0.138,0.251,0.150,0.151,0.00
348,Pursuer,0.138,0.253,0.154,0.145,0.00
349,Draw,0.138,0.252,0.151,0.148,3.04
350,Draw,0.137,0.251,0.156,0.157,4.96
351,Draw,0.137,0.251,0.156,0.155,6.60
352,Runner,0.139,0.250,0.160,0.164,0.00
353,Draw,0.139,0.249,0.140,0.144,0.00
354,Pursuer,0.138,0.251,0.148,0.146,0.00
355,Pursuer,0.138,0.254,0.162,0.156,0.00
356,Runner,0.140,0.253,0.145,0.154,0.00
357,Draw,0.140,0.252,0.150,0.147,0.00
358,Pursuer,0.140,0.254,0.000,0.000,0.00
359,Pursuer,0.139,0.256,0.139,0.148,0.00
360,Runner,0.142,0.256,0.145,0.155,7.14
361,Draw,0.141,0.255,0.145,0.147,0.00
362,Pursuer,0.141,0.257,0.097,0.095,0.00
363,Runner,0.143,0.256,0.155,0.145,0.00
364,Draw,0.143,0.255,0.142,0.138,0.00
365,Pursuer,0.142,0.258,0.157,0.156,0.00
366,Draw,0.142,0.257,0.151,0.158,15.54
367,Draw,0.142,0.256,0.163,0.142,0.00
368,Runner,0.144,0.255,0.144,0.155,0.00
369,Pursuer,0.144,0.257,0.103,0.171,0.00
370,Pursuer,0.143,0.259,0.156,0.152,0.00
371,Draw,0.143,0.259,0.154,0.152,0.00
372,Pursuer,0.142,0.261,0.162,0.142,0.00
373,Runner,0.145,0.260,0.167,0.150,0.00
374,Pursuer,0.144,0.262,0.141,0.166,0.00
375,Runner,0.147,0.261,0.000,0.000,0.00
376,Draw,0.146,0.261,0.139,0.150,6.72
377,Draw,0.146,0.260,0.145,0.151,0.00
378,Draw,0.146,0.259,0.154,0.150,0.00
379,Pursuer,0.145,0.261,0.147,0.146,0.00
380,Runner,0.147,0.261,0.000,0.000,0.02
381,Runner,0.150,0.260,0.152,0.152,5.22
382,Draw,0.149,0.259,0.141,0.142,4.62
383,Pursuer,0.149,0.261,0.155,0.114,0.00
384,Pursuer,0.148,0.263,0.145,0.145,0.00
385,Runner,0.151,0.262,0.136,0.157,2.18
386,Pursuer,0.150,0.264,0.149,0.121,0.00
387,Pursuer,0.150,0.266,0.067,0.067,0.00
388,Runner,0.152,0.265,0.154,0.140,3.94
389,Draw,0.152,0.265,0.149,0.140,0.00
390,Pursuer,0.151,0.267,0.164,0.136,0.00
391,Draw,0.151,0.266,0.139,0.147,3.42
392,Pursuer,0.151,0.268,0.000,0.000,0.00
393,Draw,0.150,0.267,0.157,0.149,0.00
394,Draw,0.150,0.266,0.152,0.144,3.00
395,Runner,0.152,0.266,0.142,0.143,7.36
396,Runner,0.154,0.265,0.134,0.144,11.08
397,Draw,0.154,0.264,0.146,0.148,4.08
398,Pursuer,0.153,0.266,0.153,0.149,0.00
399,Draw,0.153,0.266,0.139,0.147,18.32
400,Runner,0.155,0.265,0.139,0.137,0.00
401,Draw,0.155,0.264,0.156,0.144,8.72
402,Draw,0.154,0.264,0.149,0.149,13.12
403,Pursuer,0.154,0.266,0.153,0.140,0.00
404,Draw,0.153,0.265,0.145,0.152,0.00
405,Draw,0.153,0.264,0.161,0.157,3.96
406,Runner,0.155,0.264,0.148,0.158,0.36
407,Draw,0.155,0.263,0.145,0.148,0.00
408,Runner,0.157,0.262,0.152,0.147,10.26
409,Draw,0.156,0.262,0.152,0.152,0.00
410,Pursuer,0.156,0.263,0.156,0.140,0.00
411,Draw,0.156,0.263,0.144,0.161,6.40
412,Draw,0.155,0.262,0.141,0.156,0.00
413,Runner,0.157,0.262,0.131,0.172,0.00
414,Pursuer,0.157,0.263,0.144,0.130,0.00
415,Pursuer,0.157,0.265,0.155,0.157,0.00
416,Pursuer,0.156,0.267,0.145,0.148,0.00
417,Runner,0.158,0.266,0.000,0.000,0.00
418,Runner,0.160,0.266,0.164,0.145,0.00
419,Runner,0.162,0.265,0.161,0.151,0.00
420,Pursuer,0.162,0.267,0.000,0.000,0.00
421,Draw,0.162,0.266,0.153,0.141,8.16
422,Draw,0.161,0.265,0.147,0.151,9.14
423,Runner,0.163,0.265,0.151,0.145,0.00
424,Draw,0.163,0.264,0.149,0.150,0.16
425,Runner,0.165,0.264,0.152,0.151,1.90
426,Runner,0.167,0.263,0.143,0.162,0.00
427,Draw,0.166,0.262,0.145,0.142,0.00
428,Pursuer,0.166,0.264,0.162,0.147,0.00
429,Draw,0.166,0.263,0.155,0.153,6.08
430,Draw,0.165,0.263,0.143,0.145,1.30
431,Pursuer,0.165,0.265,0.141,0.161,0.00
432,Draw,0.164,0.264,0.145,0.148,6.78
433,Draw,0.164,0.263,0.147,0.156,0.42
434,Runner,0.166,0.263,0.139,0.147,4.12
435,Pursuer,0.166,0.264,0.162,0.136,0.00
436,Pursuer,0.165,0.266,0.146,0.156,0.00
437,Pursuer,0.165,0.268,0.134,0.161,0.00
438,Pursuer,0.164,0.269,0.163,0.116,0.00
439,Pursuer,0.164,0.271,0.148,0.138,0.00
440,Runner,0.166,0.270,0.138,0.163,0.00
441,Runner,0.168,0.270,0.143,0.139,6.54
442,Draw,0.167,0.269,0.146,0.149,13.08
443,Pursuer,0.167,0.271,0.151,0.154,0.00
444,Draw,0.167,0.270,0.149,0.159,0.00
445,Pursuer,0.166,0.272,0.154,0.140,0.00
446,Pursuer,0.166,0.274,0.142,0.156,0.00
447,Pursuer,0.166,0.275,0.169,0.151,0.00
448,Draw,0.165,0.275,0.139,0.135,10.90
449,Pursuer,0.165,0.276,0.150,0.155,0.00
450,Pursuer,0.164,0.278,0.133,0.150,0.00
451,Runner,0.166,0.277,0.152,0.165,0.00
452,Pursuer,0.166,0.279,0.144,0.153,0.00
453,Pursuer,0.166,0.280,0.156,0.162,0.00
454,Draw,0.165,0.280,0.134,0.146,10.20
455,Pursuer,0.165,0.281,0.154,0.149,0.00
456,Pursuer,0.164,0.283,0.150,0.146,0.00
457,Runner,0.166,0.282,0.000,0.000,0.00
458,Draw,0.166,0.282,0.146,0.158,1.14
459,Runner,0.168,0.281,0.157,0.143,1.40
460,Pursuer,0.167,0.283,0.157,0.139,0.00
461,Pursuer,0.167,0.284,0.145,0.145,0.00
462,Draw,0.167,0.284,0.141,0.155,11.56
463,Draw,0.166,0.283,0.149,0.165,15.94
464,Pursuer,0.166,0.284,0.141,0.132,0.00
465,Pursuer,0.166,0.286,0.146,0.138,0.00
466,Pursuer,0.165,0.288,0.144,0.150,0.00
467,Runner,0.167,0.287,0.147,0.139,0.00
468,Pursuer,0.167,0.288,0.155,0.170,0.00
469,Pursuer,0.166,0.290,0.134,0.154,0.00
470,Draw,0.166,0.289,0.147,0.135,0.00
471,Draw,0.166,0.289,0.161,0.154,0.00
472,Pursuer,0.165,0.290,0.188,0.126,0.00
473,Pursuer,0.165,0.292,0.154,0.206,0.00
474,Runner,0.167,0.291,0.141,0.157,7.66
475,Pursuer,0.166,0.293,0.000,0.000,0.00
476,Runner,0.168,0.292,0.145,0.148,12.92
477,Runner,0.170,0.291,0.160,0.134,0.00
478,Runner,0.172,0.291,0.141,0.148,8.88
479,Draw,0.171,0.290,0.153,0.150,16.68
480,Draw,0.171,0.290,0.134,0.153,1.88
481,Draw,0.170,0.289,0.145,0.151,6.10
482,Draw,0.170,0.288,0.143,0.155,6.60
483,Runner,0.172,0.288,0.147,0.145,1.00
484,Draw,0.171,0.287,0.137,0.147,0.00
485,Draw,0.171,0.287,0.144,0.148,10.00
486,Draw,0.171,0.286,0.152,0.151,5.38
487,Pursuer,0.170,0.287,0.193,0.160,0.00
488,Runner,0.172,0.287,0.000,0.000,0.00
489,Runner,0.174,0.286,0.145,0.135,4.20
490,Pursuer,0.173,0.288,0.143,0.145,0.00
491,Pursuer,0.173,0.289,0.153,0.141,0.00
492,Pursuer,0.173,0.291,0.136,0.123,0.00
493,Runner,0.174,0.290,0.138,0.153,7.04
494,Draw,0.174,0.289,0.144,0.140,0.00
495,Draw,0.174,0.289,0.143,0.148,17.84
496,Pursuer,0.173,0.290,0.138,0.146,0.00
497,Runner,0.175,0.290,0.143,0.155,2.74
498,Draw,0.175,0.289,0.141,0.148,17.02
499,Draw,0.174,0.289,0.160,0.145,6.62
500,Runner,0.176,0.288,0.138,0.113,0.00
501,Runner,0.178,0.287,0.152,0.142,8.48
502,Draw,0.177,0.287,0.155,0.155,14.36
503,Pursuer,0.177,0.288,0.163,0.184,0.00
504,Draw,0.177,0.288,0.146,0.145,0.00
505,Pursuer,0.176,0.289,0.000,0.000,0.00
506,Pursuer,0.176,0.291,0.144,0.152,0.00
507,Runner,0.178,0.290,0.150,0.138,0.00
508,Pursuer,0.177,0.291,0.111,0.143,0.00
509,Pursuer,0.177,0.293,0.162,0.148,0.00
510,Pursuer,0.176,0.294,0.154,0.148,0.00
511,Runner,0.178,0.294,0.149,0.155,0.00
512,Pursuer,0.178,0.295,0.160,0.104,0.00
513,Pursuer,0.177,0.296,0.139,0.150,0.00
514,Draw,0.177,0.296,0.146,0.144,16.84
515,Runner,0.179,0.295,0.157,0.154,2.28
516,Pursuer,0.178,0.297,0.168,0.136,0.00
517,Runner,0.180,0.296,0.140,0.154,6.76
518,Pursuer,0.180,0.297,0.118,0.107,0.00
519,Draw,0.179,0.297,0.145,0.148,15.54
520,Pursuer,0.179,0.298,0.150,0.120,0.00
521,Runner,0.180,0.298,0.151,0.144,2.42
522,Draw,0.180,0.297,0.137,0.142,10.70
